"StateCode","CovFormBusnIncome","IncludedInBlktBusnIncome","EQCovIndicatorBusnIncome","MaxPeriod","MonthlyLimitOfIndemnity","DisplayValue","DataValue"
"CW","Business Income With Extra Expense","No","No Coverage","No","1/3","Not Applicable","Not Applicable"
"CW","Business Income With Extra Expense","No","Yes, Included in Blanket","No","1/3","Not Applicable","Not Applicable"
"CW","Business Income With Extra Expense","No","Yes, Not Included in Blanket","No","1/3","Not Applicable","Not Applicable"
"CW","Business Income With Extra Expense","Yes","No Coverage","No","1/3","Not Applicable","Not Applicable"
"CW","Business Income With Extra Expense","Yes","Yes, Included in Blanket","No","1/3","Not Applicable","Not Applicable"
"CW","Business Income With Extra Expense","Yes","Yes, Not Included in Blanket","No","1/3","Not Applicable","Not Applicable"
"CW","Business Income With Extra Expense","No","No Coverage","No","1/4","Not Applicable","Not Applicable"
"CW","Business Income With Extra Expense","No","Yes, Included in Blanket","No","1/4","Not Applicable","Not Applicable"
"CW","Business Income With Extra Expense","No","Yes, Not Included in Blanket","No","1/4","Not Applicable","Not Applicable"
"CW","Business Income With Extra Expense","Yes","No Coverage","No","1/4","Not Applicable","Not Applicable"
"CW","Business Income With Extra Expense","Yes","Yes, Included in Blanket","No","1/4","Not Applicable","Not Applicable"
"CW","Business Income With Extra Expense","Yes","Yes, Not Included in Blanket","No","1/4","Not Applicable","Not Applicable"
"CW","Business Income With Extra Expense","No","No Coverage","No","1/6","Not Applicable","Not Applicable"
"CW","Business Income With Extra Expense","No","Yes, Included in Blanket","No","1/6","Not Applicable","Not Applicable"
"CW","Business Income With Extra Expense","No","Yes, Not Included in Blanket","No","1/6","Not Applicable","Not Applicable"
"CW","Business Income With Extra Expense","Yes","No Coverage","No","1/6","Not Applicable","Not Applicable"
"CW","Business Income With Extra Expense","Yes","Yes, Included in Blanket","No","1/6","Not Applicable","Not Applicable"
"CW","Business Income With Extra Expense","Yes","Yes, Not Included in Blanket","No","1/6","Not Applicable","Not Applicable"
"CW","Business Income With Extra Expense","No","No Coverage","No","Not Applicable","No","No"
"CW","Business Income With Extra Expense","No","Yes, Included in Blanket","No","Not Applicable","No","No"
"CW","Business Income With Extra Expense","No","Yes, Not Included in Blanket","No","Not Applicable","No","No"
"CW","Business Income With Extra Expense","No","No Coverage","No","Not Applicable","Yes","Yes"
"CW","Business Income With Extra Expense","No","Yes, Included in Blanket","No","Not Applicable","Yes","Yes"
"CW","Business Income With Extra Expense","No","Yes, Not Included in Blanket","No","Not Applicable","Yes","Yes"
"CW","Business Income With Extra Expense","Yes","Yes, Not Included in Blanket","No","Not Applicable","No","No"
"CW","Business Income With Extra Expense","Yes","No Coverage","No","Not Applicable","Blanket Agreed Value Option Applies","Blanket Agreed Value Option Applies"
"CW","Business Income With Extra Expense","Yes","Yes, Included in Blanket","No","Not Applicable","Blanket Agreed Value Option Applies","Blanket Agreed Value Option Applies"
