"StateCode","PolicyType","DisplayValue","DataValue"
"CW","Commercial Property Policy","Building Only","Building Only"
"CW","Commercial Property Policy","Personal Property Only","Personal Property Only"
"CW","Commercial Property Policy","Building & Personal Property Combined","Building & Personal Property Combined"
"CW","Commercial Property Policy","Business Income With Extra Expense","Business Income With Extra Expense"
"CW","Commercial Property Policy","Business Income Without Extra Expense","Business Income Without Extra Expense"
"CW","Commercial Property Policy","Builders Risk","Builders Risk"
"CW","Standard Property Policy","Building Only","Building Only"
"CW","Standard Property Policy","Personal Property Only","Personal Property Only"
"CW","Standard Property Policy","Building & Personal Property Combined","Building & Personal Property Combined"
"CW","Standard Property Policy","Builders Risk","Builders Risk"
