"StateCode","BldgCodeEffectivenessGradeClass","DisplayValue","DataValue"
"CW","Building Individually Inspected and Certified as Best Grade 1","1","1"
"CW","Graded-Building Constructed Before Year of Community Grading","Not Eligible","Not Eligible"
"CW","Graded-Building Constructed During or After Year of Community Grading","1","1"
"CW","Graded-Building Constructed During or After Year of Community Grading","2","2"
"CW","Graded-Building Constructed During or After Year of Community Grading","3","3"
"CW","Graded-Building Constructed During or After Year of Community Grading","4","4"
"CW","Graded-Building Constructed During or After Year of Community Grading","5","5"
"CW","Graded-Building Constructed During or After Year of Community Grading","6","6"
"CW","Graded-Building Constructed During or After Year of Community Grading","7","7"
"CW","Graded-Building Constructed During or After Year of Community Grading","8","8"
"CW","Graded-Building Constructed During or After Year of Community Grading","9","9"
"CW","Graded-Building Constructed During or After Year of Community Grading","10","10"
"CW","Not Graded","Ungraded","Ungraded"
