"StateCode","BlanketType","DisplayValue","DataValue"
"CW","Building Only","Not Applicable","Not Applicable"
"CW","Personal Property Only","Not Applicable","Not Applicable"
"CW","Building & Personal Property Combined","Not Applicable","Not Applicable"
"CW","Business Income With Extra Expense","Not Applicable","Not Applicable"
"CW","Business Income With Extra Expense","Bushel Capacity","Bushel Capacity"
"CW","Business Income With Extra Expense","Business Income Values","Business Income Values"
"CW","Business Income With Extra Expense","Floor Area","Floor Area"
"CW","Business Income Without Extra Expense","Not Applicable","Not Applicable"
"CW","Business Income Without Extra Expense","Bushel Capacity","Bushel Capacity"
"CW","Business Income Without Extra Expense","Business Income Values","Business Income Values"
"CW","Business Income Without Extra Expense","Floor Area","Floor Area"
"CW","Builders Risk","Not Applicable","Not Applicable"
