"StateCode","PolicyType","DisplayValue","DataValue"
"CW","Commercial Property Policy","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","250","250"
"CW","Commercial Property Policy","500","500"
"CW","Commercial Property Policy","1,000","1,000"
"CW","Commercial Property Policy","2,500","2,500"
"CW","Commercial Property Policy","5,000","5,000"
"CW","Commercial Property Policy","10,000","10,000"
"CW","Commercial Property Policy","25,000","25,000"
"CW","Commercial Property Policy","50,000","50,000"
"CW","Commercial Property Policy","75,000","75,000"
"CW","Standard Property Policy","Not Applicable","Not Applicable"
