"StateCode","PolicyType","CovTypeBldg","IncludedInBlktBldg","DisplayValue","DataValue"
"CW","Commercial Property Policy","Builders Risk","No","Basic","Basic"
"CW","Commercial Property Policy","Builders Risk","No","Broad","Broad"
"CW","Commercial Property Policy","Builders Risk","No","Special","Special"
"CW","Commercial Property Policy","Builders Risk","Yes","Blanket Cause of Loss Applies","Blanket Cause of Loss Applies"
"CW","Commercial Property Policy","Building","No","Basic","Basic"
"CW","Commercial Property Policy","Building","No","Broad","Broad"
"CW","Commercial Property Policy","Building","No","Special","Special"
"CW","Commercial Property Policy","Building","Yes","Blanket Cause of Loss Applies","Blanket Cause of Loss Applies"
"CW","Commercial Property Policy","Condominium Association","No","Basic","Basic"
"CW","Commercial Property Policy","Condominium Association","No","Broad","Broad"
"CW","Commercial Property Policy","Condominium Association","No","Special","Special"
"CW","Commercial Property Policy","Condominium Association","Yes","Blanket Cause of Loss Applies","Blanket Cause of Loss Applies"
"CW","Commercial Property Policy","Improvements and Betterments","No","Basic","Basic"
"CW","Commercial Property Policy","Improvements and Betterments","No","Broad","Broad"
"CW","Commercial Property Policy","Improvements and Betterments","No","Special","Special"
"CW","Commercial Property Policy","Improvements and Betterments","Yes","Blanket Cause of Loss Applies","Blanket Cause of Loss Applies"
"CW","Commercial Property Policy","Leasehold Interest","No","Basic","Basic"
"CW","Commercial Property Policy","Leasehold Interest","No","Broad","Broad"
"CW","Commercial Property Policy","Leasehold Interest","No","Special","Special"
"CW","Commercial Property Policy","Legal Liability","No","Basic","Basic"
"CW","Commercial Property Policy","Legal Liability","No","Broad","Broad"
"CW","Commercial Property Policy","Legal Liability","No","Special","Special"
"CW","Commercial Property Policy","Legal Liability","Yes","Blanket Cause of Loss Applies","Blanket Cause of Loss Applies"
"CW","Commercial Property Policy","No Coverage","Not Applicable","Not Applicable","Not Applicable"
"CW","Standard Property Policy","Builders Risk","No","Fire","Fire"
"CW","Standard Property Policy","Builders Risk","No","Fire and Allied Lines","Fire and Allied Lines"
"CW","Standard Property Policy","Builders Risk","No","Fire and Sprinkler Leakage","Fire and Sprinkler Leakage"
"CW","Standard Property Policy","Builders Risk","No","Fire and Vandalism","Fire and Vandalism"
"CW","Standard Property Policy","Builders Risk","No","Fire, Sprinkler Leakage and Allied Lines","Fire, Sprinkler Leakage and Allied Lines"
"CW","Standard Property Policy","Builders Risk","No","Fire, Vandalism and Allied Lines","Fire, Vandalism and Allied Lines"
"CW","Standard Property Policy","Builders Risk","No","Fire, Vandalism and Sprinkler Leakage","Fire, Vandalism and Sprinkler Leakage"
"CW","Standard Property Policy","Builders Risk","No","Fire, Vandalism, Sprinkler Leakage and Allied Lines","Fire, Vandalism, Sprinkler Leakage and Allied Lines"
"CW","Standard Property Policy","Builders Risk","Yes","Blanket Cause of Loss Applies","Blanket Cause of Loss Applies"
"CW","Standard Property Policy","Building","No","Fire","Fire"
"CW","Standard Property Policy","Building","No","Fire and Allied Lines","Fire and Allied Lines"
"CW","Standard Property Policy","Building","No","Fire and Sprinkler Leakage","Fire and Sprinkler Leakage"
"CW","Standard Property Policy","Building","No","Fire and Vandalism","Fire and Vandalism"
"CW","Standard Property Policy","Building","No","Fire, Sprinkler Leakage and Allied Lines","Fire, Sprinkler Leakage and Allied Lines"
"CW","Standard Property Policy","Building","No","Fire, Vandalism and Allied Lines","Fire, Vandalism and Allied Lines"
"CW","Standard Property Policy","Building","No","Fire, Vandalism and Sprinkler Leakage","Fire, Vandalism and Sprinkler Leakage"
"CW","Standard Property Policy","Building","No","Fire, Vandalism, Sprinkler Leakage and Allied Lines","Fire, Vandalism, Sprinkler Leakage and Allied Lines"
"CW","Standard Property Policy","Building","Yes","Blanket Cause of Loss Applies","Blanket Cause of Loss Applies"
"CW","Standard Property Policy","Condominium Association","No","Fire","Fire"
"CW","Standard Property Policy","Condominium Association","No","Fire and Allied Lines","Fire and Allied Lines"
"CW","Standard Property Policy","Condominium Association","No","Fire and Sprinkler Leakage","Fire and Sprinkler Leakage"
"CW","Standard Property Policy","Condominium Association","No","Fire and Vandalism","Fire and Vandalism"
"CW","Standard Property Policy","Condominium Association","No","Fire, Sprinkler Leakage and Allied Lines","Fire, Sprinkler Leakage and Allied Lines"
"CW","Standard Property Policy","Condominium Association","No","Fire, Vandalism and Allied Lines","Fire, Vandalism and Allied Lines"
"CW","Standard Property Policy","Condominium Association","No","Fire, Vandalism and Sprinkler Leakage","Fire, Vandalism and Sprinkler Leakage"
"CW","Standard Property Policy","Condominium Association","No","Fire, Vandalism, Sprinkler Leakage and Allied Lines","Fire, Vandalism, Sprinkler Leakage and Allied Lines"
"CW","Standard Property Policy","Condominium Association","Yes","Blanket Cause of Loss Applies","Blanket Cause of Loss Applies"
"CW","Standard Property Policy","Improvements and Betterments","No","Fire","Fire"
"CW","Standard Property Policy","Improvements and Betterments","No","Fire and Allied Lines","Fire and Allied Lines"
"CW","Standard Property Policy","Improvements and Betterments","No","Fire and Sprinkler Leakage","Fire and Sprinkler Leakage"
"CW","Standard Property Policy","Improvements and Betterments","No","Fire and Vandalism","Fire and Vandalism"
"CW","Standard Property Policy","Improvements and Betterments","No","Fire, Sprinkler Leakage and Allied Lines","Fire, Sprinkler Leakage and Allied Lines"
"CW","Standard Property Policy","Improvements and Betterments","No","Fire, Vandalism and Allied Lines","Fire, Vandalism and Allied Lines"
"CW","Standard Property Policy","Improvements and Betterments","No","Fire, Vandalism and Sprinkler Leakage","Fire, Vandalism and Sprinkler Leakage"
"CW","Standard Property Policy","Improvements and Betterments","No","Fire, Vandalism, Sprinkler Leakage and Allied Lines","Fire, Vandalism, Sprinkler Leakage and Allied Lines"
"CW","Standard Property Policy","Improvements and Betterments","Yes","Blanket Cause of Loss Applies","Blanket Cause of Loss Applies"
"CW","Standard Property Policy","No Coverage","Not Applicable","Not Applicable","Not Applicable"
