"StateCode","CovFormBusnIncome","IncludedInBlkt","DisplayValue","DataValue"
"CW","Business Income With Extra Expense","Yes","Blanket Cause of Loss Applies","Blanket Cause of Loss Applies"
"CW","Business Income With Extra Expense","No","Basic","Basic"
"CW","Business Income With Extra Expense","No","Broad","Broad"
"CW","Business Income With Extra Expense","No","Special","Special"
"CW","Business Income Without Extra Expense","Yes","Blanket Cause of Loss Applies","Blanket Cause of Loss Applies"
"CW","Business Income Without Extra Expense","No","Basic","Basic"
"CW","Business Income Without Extra Expense","No","Broad","Broad"
"CW","Business Income Without Extra Expense","No","Special","Special"
"CW","Extra Expense Only","No","Basic","Basic"
"CW","Extra Expense Only","No","Broad","Broad"
"CW","Extra Expense Only","No","Special","Special"
"CW","Not Applicable","No","Not Applicable","Not Applicable"
