"StateCode","PolicyType","CauseOfLossAllTypes","BlanketCauseOfLoss","DisplayValue","DataValue"
"CW","Commercial Property Policy","Basic","Not Applicable","Basic","Basic"
"CW","Commercial Property Policy","Basic","Not Applicable","Broad","Broad"
"CW","Commercial Property Policy","Basic","Not Applicable","Special","Special"
"CW","Commercial Property Policy","Broad","Not Applicable","Basic","Basic"
"CW","Commercial Property Policy","Broad","Not Applicable","Broad","Broad"
"CW","Commercial Property Policy","Broad","Not Applicable","Special","Special"
"CW","Commercial Property Policy","Special","Not Applicable","Basic","Basic"
"CW","Commercial Property Policy","Special","Not Applicable","Broad","Broad"
"CW","Commercial Property Policy","Special","Not Applicable","Special","Special"
"CW","Commercial Property Policy","Blanket Cause of Loss Applies","Basic","Basic","Basic"
"CW","Commercial Property Policy","Blanket Cause of Loss Applies","Basic","Broad","Broad"
"CW","Commercial Property Policy","Blanket Cause of Loss Applies","Basic","Special","Special"
"CW","Commercial Property Policy","Blanket Cause of Loss Applies","Broad","Basic","Basic"
"CW","Commercial Property Policy","Blanket Cause of Loss Applies","Broad","Broad","Broad"
"CW","Commercial Property Policy","Blanket Cause of Loss Applies","Broad","Special","Special"
"CW","Commercial Property Policy","Blanket Cause of Loss Applies","Special","Basic","Basic"
"CW","Commercial Property Policy","Blanket Cause of Loss Applies","Special","Broad","Broad"
"CW","Commercial Property Policy","Blanket Cause of Loss Applies","Special","Special","Special"
"CW","Commercial Property Policy","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Not Applicable","Basic","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Not Applicable","Broad","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Not Applicable","Special","Not Applicable","Not Applicable"
"CW","Standard Property Policy","Fire","Not Applicable","Fire","Fire"
"CW","Standard Property Policy","Fire and Allied Lines","Not Applicable","Fire and Allied Lines","Fire and Allied Lines"
"CW","Standard Property Policy","Fire and Sprinkler Leakage","Not Applicable","Fire and Sprinkler Leakage","Fire and Sprinkler Leakage"
"CW","Standard Property Policy","Fire and Vandalism","Not Applicable","Fire and Vandalism","Fire and Vandalism"
"CW","Standard Property Policy","Fire, Sprinkler Leakage and Allied Lines","Not Applicable","Fire, Sprinkler Leakage and Allied Lines","Fire, Sprinkler Leakage and Allied Lines"
"CW","Standard Property Policy","Fire, Vandalism and Allied Lines","Not Applicable","Fire, Vandalism and Allied Lines","Fire, Vandalism and Allied Lines"
"CW","Standard Property Policy","Fire, Vandalism and Sprinkler Leakage","Not Applicable","Fire, Vandalism and Sprinkler Leakage","Fire, Vandalism and Sprinkler Leakage"
"CW","Standard Property Policy","Fire, Vandalism, Sprinkler Leakage and Allied Lines","Not Applicable","Fire, Vandalism, Sprinkler Leakage and Allied Lines","Fire, Vandalism, Sprinkler Leakage and Allied Lines"
"CW","Standard Property Policy","Blanket Cause of Loss Applies","Fire","Fire","Fire"
"CW","Standard Property Policy","Blanket Cause of Loss Applies","Fire and Allied Lines","Fire and Allied Lines","Fire and Allied Lines"
"CW","Standard Property Policy","Blanket Cause of Loss Applies","Fire and Sprinkler Leakage","Fire and Sprinkler Leakage","Fire and Sprinkler Leakage"
"CW","Standard Property Policy","Blanket Cause of Loss Applies","Fire and Vandalism","Fire and Vandalism","Fire and Vandalism"
"CW","Standard Property Policy","Blanket Cause of Loss Applies","Fire, Sprinkler Leakage and Allied Lines","Fire, Sprinkler Leakage and Allied Lines","Fire, Sprinkler Leakage and Allied Lines"
"CW","Standard Property Policy","Blanket Cause of Loss Applies","Fire, Vandalism and Allied Lines","Fire, Vandalism and Allied Lines","Fire, Vandalism and Allied Lines"
"CW","Standard Property Policy","Blanket Cause of Loss Applies","Fire, Vandalism and Sprinkler Leakage","Fire, Vandalism and Sprinkler Leakage","Fire, Vandalism and Sprinkler Leakage"
"CW","Standard Property Policy","Blanket Cause of Loss Applies","Fire, Vandalism, Sprinkler Leakage and Allied Lines","Fire, Vandalism, Sprinkler Leakage and Allied Lines","Fire, Vandalism, Sprinkler Leakage and Allied Lines"
"CW","Standard Property Policy","Not Applicable","Fire","Not Applicable","Not Applicable"
"CW","Standard Property Policy","Not Applicable","Fire and Allied Lines","Not Applicable","Not Applicable"
"CW","Standard Property Policy","Not Applicable","Fire and Sprinkler Leakage","Not Applicable","Not Applicable"
"CW","Standard Property Policy","Not Applicable","Fire and Vandalism","Not Applicable","Not Applicable"
"CW","Standard Property Policy","Not Applicable","Fire, Sprinkler Leakage and Allied Lines","Not Applicable","Not Applicable"
"CW","Standard Property Policy","Not Applicable","Fire, Vandalism and Allied Lines","Not Applicable","Not Applicable"
"CW","Standard Property Policy","Not Applicable","Fire, Vandalism and Sprinkler Leakage","Not Applicable","Not Applicable"
"CW","Standard Property Policy","Not Applicable","Fire, Vandalism, Sprinkler Leakage and Allied Lines","Not Applicable","Not Applicable"
"CW","Standard Property Policy","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
