"StateCode","PolicyType","DisplayValue","DataValue"
"CW","Commercial Property Policy","Basic","Basic"
"CW","Commercial Property Policy","Broad","Broad"
"CW","Commercial Property Policy","Special","Special"
"CW","Standard Property Policy","Fire","Fire"
"CW","Standard Property Policy","Fire and Allied Lines","Fire and Allied Lines"
"CW","Standard Property Policy","Fire and Sprinkler Leakage","Fire and Sprinkler Leakage"
"CW","Standard Property Policy","Fire and Vandalism","Fire and Vandalism"
"CW","Standard Property Policy","Fire, Sprinkler Leakage and Allied Lines","Fire, Sprinkler Leakage and Allied Lines"
"CW","Standard Property Policy","Fire, Vandalism and Allied Lines","Fire, Vandalism and Allied Lines"
"CW","Standard Property Policy","Fire, Vandalism and Sprinkler Leakage","Fire, Vandalism and Sprinkler Leakage"
"CW","Standard Property Policy","Fire, Vandalism, Sprinkler Leakage and Allied Lines","Fire, Vandalism, Sprinkler Leakage and Allied Lines"
