"StateCode","RatingType","DisplayValue","DataValue"
"CW","Class","0074","0074"
"CW","Class","0075","0075"
"CW","Class","0076","0076"
"CW","Class","0077","0077"
"CW","Class","0078","0078"
"CW","Class","0079","0079"
"CW","Class","0196","0196"
"CW","Class","0197","0197"
"CW","Class","0198","0198"
"CW","Class","0311","0311"
"CW","Class","0312","0312"
"CW","Class","0313","0313"
"CW","Class","0321","0321"
"CW","Class","0322","0322"
"CW","Class","0323","0323"
"CW","Class","0331","0331"
"CW","Class","0332","0332"
"CW","Class","0333","0333"
"CW","Class","0341","0341"
"CW","Class","0342","0342"
"CW","Class","0343","0343"
"CW","Class","0511","0511"
"CW","Class","0512","0512"
"CW","Class","0520","0520"
"CW","Class","0531","0531"
"CW","Class","0532","0532"
"CW","Class","0533","0533"
"CW","Class","0534","0534"
"CW","Class","0541","0541"
"CW","Class","0545","0545"
"CW","Class","0550","0550"
"CW","Class","0561","0561"
"CW","Class","0562","0562"
"CW","Class","0563","0563"
"CW","Class","0564","0564"
"CW","Class","0565","0565"
"CW","Class","0566","0566"
"CW","Class","0567","0567"
"CW","Class","0570","0570"
"CW","Class","0580","0580"
"CW","Class","0581","0581"
"CW","Class","0582","0582"
"CW","Class","0701","0701"
"CW","Class","0702","0702"
"CW","Class","0742","0742"
"CW","Class","0743","0743"
"CW","Class","0744","0744"
"CW","Class","0745","0745"
"CW","Class","0746","0746"
"CW","Class","0747","0747"
"CW","Class","0755","0755"
"CW","Class","0756","0756"
"CW","Class","0757","0757"
"CW","Class","0831","0831"
"CW","Class","0832","0832"
"CW","Class","0833","0833"
"CW","Class","0834","0834"
"CW","Class","0841","0841"
"CW","Class","0843","0843"
"CW","Class","0844","0844"
"CW","Class","0845","0845"
"CW","Class","0846","0846"
"CW","Class","0851","0851"
"CW","Class","0852","0852"
"CW","Class","0900","0900"
"CW","Class","0911","0911"
"CW","Class","0912","0912"
"CW","Class","0913","0913"
"CW","Class","0921","0921"
"CW","Class","0922","0922"
"CW","Class","0923","0923"
"CW","Class","0931","0931"
"CW","Class","0932","0932"
"CW","Class","0933","0933"
"CW","Class","0934","0934"
"CW","Class","0940","0940"
"CW","Class","0951","0951"
"CW","Class","0952","0952"
"CW","Class","1000","1000"
"CW","Class","1051","1051"
"CW","Class","1052","1052"
"CW","Class","1070","1070"
"CW","Class","1150","1150"
"CW","Class","1211","1211"
"CW","Class","1212","1212"
"CW","Class","1213","1213"
"CW","Class","1220","1220"
"CW","Class","1230","1230"
"CW","Class","1400","1400"
"CW","Class","1650","1650"
"CW","Class","1700","1700"
"CW","Class","1751","1751"
"CW","Class","1752","1752"
"CW","Class","2200","2200"
"CW","Class","2350","2350"
"CW","Class","2459","2459"
"CW","Class","2800","2800"
"CW","Class","3409","3409"
"CW","Class","4809","4809"
"CW","Specific","0074","0074"
"CW","Specific","0075","0075"
"CW","Specific","0076","0076"
"CW","Specific","0077","0077"
"CW","Specific","0078","0078"
"CW","Specific","0079","0079"
"CW","Specific","0311","0311"
"CW","Specific","0312","0312"
"CW","Specific","0313","0313"
"CW","Specific","0321","0321"
"CW","Specific","0322","0322"
"CW","Specific","0323","0323"
"CW","Specific","0331","0331"
"CW","Specific","0332","0332"
"CW","Specific","0333","0333"
"CW","Specific","0341","0341"
"CW","Specific","0342","0342"
"CW","Specific","0343","0343"
"CW","Specific","0432","0432"
"CW","Specific","0511","0511"
"CW","Specific","0512","0512"
"CW","Specific","0520","0520"
"CW","Specific","0531","0531"
"CW","Specific","0532","0532"
"CW","Specific","0533","0533"
"CW","Specific","0534","0534"
"CW","Specific","0541","0541"
"CW","Specific","0542","0542"
"CW","Specific","0545","0545"
"CW","Specific","0550","0550"
"CW","Specific","0561","0561"
"CW","Specific","0562","0562"
"CW","Specific","0563","0563"
"CW","Specific","0564","0564"
"CW","Specific","0565","0565"
"CW","Specific","0566","0566"
"CW","Specific","0567","0567"
"CW","Specific","0570","0570"
"CW","Specific","0580","0580"
"CW","Specific","0701","0701"
"CW","Specific","0702","0702"
"CW","Specific","0742","0742"
"CW","Specific","0743","0743"
"CW","Specific","0744","0744"
"CW","Specific","0745","0745"
"CW","Specific","0746","0746"
"CW","Specific","0747","0747"
"CW","Specific","0755","0755"
"CW","Specific","0756","0756"
"CW","Specific","0757","0757"
"CW","Specific","0831","0831"
"CW","Specific","0832","0832"
"CW","Specific","0833","0833"
"CW","Specific","0834","0834"
"CW","Specific","0841","0841"
"CW","Specific","0843","0843"
"CW","Specific","0844","0844"
"CW","Specific","0845","0845"
"CW","Specific","0846","0846"
"CW","Specific","0851","0851"
"CW","Specific","0852","0852"
"CW","Specific","0900","0900"
"CW","Specific","0911","0911"
"CW","Specific","0912","0912"
"CW","Specific","0913","0913"
"CW","Specific","0921","0921"
"CW","Specific","0922","0922"
"CW","Specific","0923","0923"
"CW","Specific","0931","0931"
"CW","Specific","0932","0932"
"CW","Specific","0933","0933"
"CW","Specific","0934","0934"
"CW","Specific","0940","0940"
"CW","Specific","0951","0951"
"CW","Specific","0952","0952"
"CW","Specific","1000","1000"
"CW","Specific","1051","1051"
"CW","Specific","1052","1052"
"CW","Specific","1070","1070"
"CW","Specific","1211","1211"
"CW","Specific","1212","1212"
"CW","Specific","1213","1213"
"CW","Specific","1220","1220"
"CW","Specific","1230","1230"
"CW","Specific","1251","1251"
"CW","Specific","1252","1252"
"CW","Specific","1300","1300"
"CW","Specific","1400","1400"
"CW","Specific","1450","1450"
"CW","Specific","1501","1501"
"CW","Specific","1502","1502"
"CW","Specific","1550","1550"
"CW","Specific","1610","1610"
"CW","Specific","1751","1751"
"CW","Specific","1752","1752"
"CW","Specific","2000","2000"
"CW","Specific","2059","2059"
"CW","Specific","2150","2150"
"CW","Specific","2200","2200"
"CW","Specific","2250","2250"
"CW","Specific","2300","2300"
"CW","Specific","2350","2350"
"CW","Specific","2400","2400"
"CW","Specific","2459","2459"
"CW","Specific","2550","2550"
"CW","Specific","2600","2600"
"CW","Specific","2750","2750"
"CW","Specific","2800","2800"
"CW","Specific","2805","2805"
"CW","Specific","3009","3009"
"CW","Specific","3409","3409"
"CW","Specific","3809","3809"
"CW","Specific","3959","3959"
"CW","Specific","4400","4400"
"CW","Specific","4450","4450"
"CW","Specific","4809","4809"
"CW","Specific","5000","5000"
"CW","Specific","5050","5050"
"CW","Specific","5100","5100"
"CW","Specific","5500","5500"
"CW","Specific","5759","5759"
"CW","Specific","6009","6009"
"CW","Specific","6210","6210"
"CW","Specific","6250","6250"
"CW","Specific","6810","6810"
"CW","Specific","6850","6850"
"CW","Specific","6900","6900"
"CW","Specific","7300","7300"
"CW","Specific","7350","7350"
"CW","Specific","7409","7409"
"CW","Specific","7500","7500"
"CW","Specific","7600","7600"
"CW","Specific","7700","7700"
"CW","Tentative","0074","0074"
"CW","Tentative","0075","0075"
"CW","Tentative","0076","0076"
"CW","Tentative","0077","0077"
"CW","Tentative","0078","0078"
"CW","Tentative","0079","0079"
"CW","Tentative","0311","0311"
"CW","Tentative","0312","0312"
"CW","Tentative","0313","0313"
"CW","Tentative","0321","0321"
"CW","Tentative","0322","0322"
"CW","Tentative","0323","0323"
"CW","Tentative","0331","0331"
"CW","Tentative","0332","0332"
"CW","Tentative","0333","0333"
"CW","Tentative","0341","0341"
"CW","Tentative","0342","0342"
"CW","Tentative","0343","0343"
"CW","Tentative","0432","0432"
"CW","Tentative","0511","0511"
"CW","Tentative","0512","0512"
"CW","Tentative","0520","0520"
"CW","Tentative","0531","0531"
"CW","Tentative","0532","0532"
"CW","Tentative","0533","0533"
"CW","Tentative","0534","0534"
"CW","Tentative","0541","0541"
"CW","Tentative","0542","0542"
"CW","Tentative","0545","0545"
"CW","Tentative","0550","0550"
"CW","Tentative","0561","0561"
"CW","Tentative","0562","0562"
"CW","Tentative","0563","0563"
"CW","Tentative","0564","0564"
"CW","Tentative","0565","0565"
"CW","Tentative","0566","0566"
"CW","Tentative","0567","0567"
"CW","Tentative","0570","0570"
"CW","Tentative","0580","0580"
"CW","Tentative","0701","0701"
"CW","Tentative","0702","0702"
"CW","Tentative","0742","0742"
"CW","Tentative","0743","0743"
"CW","Tentative","0744","0744"
"CW","Tentative","0745","0745"
"CW","Tentative","0746","0746"
"CW","Tentative","0747","0747"
"CW","Tentative","0755","0755"
"CW","Tentative","0756","0756"
"CW","Tentative","0757","0757"
"CW","Tentative","0831","0831"
"CW","Tentative","0832","0832"
"CW","Tentative","0833","0833"
"CW","Tentative","0834","0834"
"CW","Tentative","0841","0841"
"CW","Tentative","0843","0843"
"CW","Tentative","0844","0844"
"CW","Tentative","0845","0845"
"CW","Tentative","0846","0846"
"CW","Tentative","0851","0851"
"CW","Tentative","0852","0852"
"CW","Tentative","0900","0900"
"CW","Tentative","0911","0911"
"CW","Tentative","0912","0912"
"CW","Tentative","0913","0913"
"CW","Tentative","0921","0921"
"CW","Tentative","0922","0922"
"CW","Tentative","0923","0923"
"CW","Tentative","0931","0931"
"CW","Tentative","0932","0932"
