"StateCode","RatingType","ClassCodeBldg","DisplayValue","DataValue"
"CW","Class","0074","Boarding and Lodging Houses, Rooming Houses, Fraternities and Sororities, Dormitories - Up to 10 Units","Boarding and Lodging Houses, Rooming Houses, Fraternities and Sororities, Dormitories - Up to 10 Units"
"CW","Class","0075","Boarding and Lodging Houses, Rooming Houses, Fraternities and Sororities, Dormitories - 11 to 30 Units","Boarding and Lodging Houses, Rooming Houses, Fraternities and Sororities, Dormitories - 11 to 30 Units"
"CW","Class","0076","Boarding and Lodging Houses, Rooming Houses, Fraternities and Sororities, Dormitories - Over 30 Units","Boarding and Lodging Houses, Rooming Houses, Fraternities and Sororities, Dormitories - Over 30 Units"
"CW","Class","0077","Convents or Monasteries - Up to 10 units","Convents or Monasteries - Up to 10 units"
"CW","Class","0078","Convents or Monasteries - 11 to 30 units","Convents or Monasteries - 11 to 30 units"
"CW","Class","0079","Convents or Monasteries - Over 30 units","Convents or Monasteries - Over 30 units"
"CW","Class","0196","Dwellings Written in Conjunction with Commercial Risks from the Commercial Lines Manual (lessor's risk only) - 1 Family","Dwellings Written in Conjunction with Commercial Risks from the Commercial Lines Manual (lessor's risk only) - 1 Family"
"CW","Class","0197","Dwellings Written in Conjunction with Commercial Risks from the Commercial Lines Manual (lessor's risk only) - 2 Family","Dwellings Written in Conjunction with Commercial Risks from the Commercial Lines Manual (lessor's risk only) - 2 Family"
"CW","Class","0198","Dwellings Written in Conjunction with Commercial Risks from the Commercial Lines Manual (lessor's risk only) - 3 or 4 Family","Dwellings Written in Conjunction with Commercial Risks from the Commercial Lines Manual (lessor's risk only) - 3 or 4 Family"
"CW","Class","0311","Apartments without Mercantile Occupancies - Up to 10 Units","Apartments without Mercantile Occupancies - Up to 10 Units"
"CW","Class","0312","Apartments without Mercantile Occupancies - 11 to 30 Units","Apartments without Mercantile Occupancies - 11 to 30 Units"
"CW","Class","0313","Apartments without Mercantile Occupancies - Over 30 Units","Apartments without Mercantile Occupancies - Over 30 Units"
"CW","Class","0321","Apartments with Mercantile Occupancies - Up to 10 Units","Apartments with Mercantile Occupancies - Up to 10 Units"
"CW","Class","0322","Apartments with Mercantile Occupancies - 11 to 30 Units","Apartments with Mercantile Occupancies - 11 to 30 Units"
"CW","Class","0323","Apartments with Mercantile Occupancies - Over 30 Units","Apartments with Mercantile Occupancies - Over 30 Units"
"CW","Class","0331","Condominiums - residential (association risk only) - without mercantile occupancies - Up to 10 units","Condominiums - residential (association risk only) - without mercantile occupancies - Up to 10 units"
"CW","Class","0332","Condominiums - residential (association risk only) - without mercantile occupancies - 11 to 30 units","Condominiums - residential (association risk only) - without mercantile occupancies - 11 to 30 units"
"CW","Class","0333","Condominiums - residential (association risk only) - without mercantile occupancies - Over 30 units","Condominiums - residential (association risk only) - without mercantile occupancies - Over 30 units"
"CW","Class","0341","Condominiums - residential (association risk only) - with mercantile occupancies - Up to 10 units","Condominiums - residential (association risk only) - with mercantile occupancies - Up to 10 units"
"CW","Class","0342","Condominiums - residential (association risk only) - with mercantile occupancies - 11 to 30 units","Condominiums - residential (association risk only) - with mercantile occupancies - 11 to 30 units"
"CW","Class","0343","Condominiums - residential (association risk only) - with mercantile occupancies - Over 30 units","Condominiums - residential (association risk only) - with mercantile occupancies - Over 30 units"
"CW","Class","0511","Hide Dealers and Distributors - raw","Hide Dealers and Distributors - raw"
"CW","Class","0511","Marble Products - Sales or storage","Marble Products - Sales or storage"
"CW","Class","0511","Mercantile NOC - Sole occupant - Risks having low susceptibility personal property - Not large area (15,000 sq. ft. or less)","Mercantile NOC - Sole occupant - Risks having low susceptibility personal property - Not large area (15,000 sq. ft. or less)"
"CW","Class","0511","Metal Dealers or Distributors - Ingots, pigs, pipe, bars, rail, rods, plates, sheets, and uninsulated wire","Metal Dealers or Distributors - Ingots, pigs, pipe, bars, rail, rods, plates, sheets, and uninsulated wire"
"CW","Class","0511","Monuments, Tombstones and Statuary - Sales and/or storage","Monuments, Tombstones and Statuary - Sales and/or storage"
"CW","Class","0511","Rubber - sales and/or storage - Crude rubber, heavy industrial goods and belts","Rubber - sales and/or storage - Crude rubber, heavy industrial goods and belts"
"CW","Class","0511","Trailer Dealers - sales","Trailer Dealers - sales"
"CW","Class","0512","Automobile Parts and Supplies Distributors or Stores","Automobile Parts and Supplies Distributors or Stores"
"CW","Class","0512","Automobile Repair or Service Shops - Seat cover padding and trim work or top repair exclusively","Automobile Repair or Service Shops - Seat cover padding and trim work or top repair exclusively"
"CW","Class","0512","Rubber - sales and/or storage - Rubber tires","Rubber - sales and/or storage - Rubber tires"
"CW","Class","0512","Tire Dealers - Sales or storage","Tire Dealers - Sales or storage"
"CW","Class","0520","Carpet or Rug - Sales","Carpet or Rug - Sales"
"CW","Class","0520","Clothing Mfg. - Stores","Clothing Mfg. - Stores"
"CW","Class","0520","Cotton or Wool Merchants - Cotton cloth","Cotton or Wool Merchants - Cotton cloth"
"CW","Class","0520","Fabric - Distributors","Fabric - Distributors"
"CW","Class","0520","Fabric - Stores","Fabric - Stores"
"CW","Class","0520","Floor Covering Stores - Carpets","Floor Covering Stores - Carpets"
"CW","Class","0520","Formal Wear or Costumes - rental agencies","Formal Wear or Costumes - rental agencies"
"CW","Class","0520","Fur Distributors - garments and pelts","Fur Distributors - garments and pelts"
"CW","Class","0520","Laundry and Dry Cleaning or Dyeing Receiving Stations - No pressing","Laundry and Dry Cleaning or Dyeing Receiving Stations - No pressing"
"CW","Class","0520","Shoe Stores - No repair","Shoe Stores - No repair"
"CW","Class","0520","Tailor Merchants; Tailoring or Dressmaking Establishments - custom - With 10 employees or less engaged in custom alterations or","Tailor Merchants; Tailoring or Dressmaking Establishments - custom - With 10 employees or less engaged in custom alterations or"
"CW","Class","0531","Beverage Distributors - Alcoholic beverages including beer; or beer primarily","Beverage Distributors - Alcoholic beverages including beer; or beer primarily"
"CW","Class","0531","Beverage Stores - Alcoholic beverages other than beer","Beverage Stores - Alcoholic beverages other than beer"
"CW","Class","0531","Beverage Stores - Beer is principal stock","Beverage Stores - Beer is principal stock"
"CW","Class","0532","Bakeries - No baking on premises - sales only","Bakeries - No baking on premises - sales only"
