"StateCode","PolicyType","CovTypeBldg","CauseOfLossBldg","IncludedInBlktBldg","ValuationTypeBldg","AgreedValueBldg","DisplayValue","DataValue"
"CW","Commercial Property Policy","Builders Risk","Basic","No","Not Applicable","Blanket Agreed Value Option Applies","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Builders Risk","Basic","Yes","Not Applicable","Blanket Agreed Value Option Applies","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Builders Risk","Basic","No","Not Applicable","No","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Builders Risk","Basic","Yes","Not Applicable","No","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Builders Risk","Basic","No","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Builders Risk","Basic","Yes","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Builders Risk","Basic","No","Not Applicable","Yes","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Builders Risk","Basic","Yes","Not Applicable","Yes","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Builders Risk","Blanket Cause of Loss Applies","Yes","Not Applicable","Blanket Agreed Value Option Applies","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Builders Risk","Blanket Cause of Loss Applies","Yes","Not Applicable","No","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Builders Risk","Blanket Cause of Loss Applies","Yes","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Builders Risk","Blanket Cause of Loss Applies","Yes","Not Applicable","Yes","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Builders Risk","Broad","No","Not Applicable","Blanket Agreed Value Option Applies","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Builders Risk","Broad","No","Not Applicable","No","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Builders Risk","Broad","No","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Builders Risk","Broad","No","Not Applicable","Yes","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Builders Risk","Special","No","Not Applicable","Blanket Agreed Value Option Applies","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Builders Risk","Special","Yes","Not Applicable","Blanket Agreed Value Option Applies","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Builders Risk","Special","No","Not Applicable","No","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Builders Risk","Special","Yes","Not Applicable","No","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Builders Risk","Special","No","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Builders Risk","Special","Yes","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Builders Risk","Special","No","Not Applicable","Yes","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Builders Risk","Special","Yes","Not Applicable","Yes","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Building","Basic","No","Actual Cash Value","No","50%","50%"
"CW","Commercial Property Policy","Building","Basic","No","Actual Cash Value","No","60%","60%"
"CW","Commercial Property Policy","Building","Basic","No","Actual Cash Value","No","70%","70%"
"CW","Commercial Property Policy","Building","Basic","No","Actual Cash Value","No","80%","80%"
"CW","Commercial Property Policy","Building","Basic","No","Actual Cash Value","No","90%","90%"
"CW","Commercial Property Policy","Building","Basic","No","Actual Cash Value","No","100%","100%"
"CW","Commercial Property Policy","Building","Basic","No","Actual Cash Value","No","None","None"
"CW","Commercial Property Policy","Building","Basic","No","Functional Valuation","No","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Building","Basic","No","Replacement Cost","No","80%","80%"
"CW","Commercial Property Policy","Building","Basic","No","Replacement Cost","No","90%","90%"
"CW","Commercial Property Policy","Building","Basic","No","Replacement Cost","No","100%","100%"
"CW","Commercial Property Policy","Building","Basic","No","Functional Valuation","Not Applicable","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Building","Basic","No","Actual Cash Value","Yes","80%","80%"
"CW","Commercial Property Policy","Building","Basic","No","Actual Cash Value","Yes","90%","90%"
"CW","Commercial Property Policy","Building","Basic","No","Actual Cash Value","Yes","100%","100%"
