"StateCode","CauseOfLossBusnIncome","TypeOfRisk","EQCovIndicatorBusnIncome","AgreedValueBusnIncome","ExtendedPeriodApplies","DisplayValue","DataValue"
"CW","Basic","Combined Educational Institutes and Rental Operations","No Coverage","No","No","No Coinsurance","No Coinsurance"
"CW","Basic","Combined Educational Institutes and Rental Operations","No Coverage","No","No","50%","50%"
"CW","Basic","Combined Educational Institutes and Rental Operations","No Coverage","No","No","60%","60%"
"CW","Basic","Combined Educational Institutes and Rental Operations","No Coverage","No","No","70%","70%"
"CW","Basic","Combined Educational Institutes and Rental Operations","No Coverage","No","No","80%","80%"
"CW","Basic","Combined Educational Institutes and Rental Operations","No Coverage","No","No","90%","90%"
"CW","Basic","Combined Educational Institutes and Rental Operations","No Coverage","No","No","100%","100%"
"CW","Basic","Combined Educational Institutes and Rental Operations","No Coverage","No","No","125%","125%"
"CW","Basic","Combined Educational Institutes and Rental Operations","No Coverage","Not Applicable","No","Not Applicable","Not Applicable"
"CW","Basic","Combined Educational Institutes and Rental Operations","No Coverage","Yes","No","50%","50%"
"CW","Basic","Combined Educational Institutes and Rental Operations","No Coverage","Yes","No","60%","60%"
"CW","Basic","Combined Educational Institutes and Rental Operations","No Coverage","Yes","No","70%","70%"
"CW","Basic","Combined Educational Institutes and Rental Operations","No Coverage","Yes","No","80%","80%"
"CW","Basic","Combined Educational Institutes and Rental Operations","No Coverage","Yes","No","90%","90%"
"CW","Basic","Combined Educational Institutes and Rental Operations","No Coverage","Yes","No","100%","100%"
"CW","Basic","Combined Educational Institutes and Rental Operations","No Coverage","Yes","No","125%","125%"
"CW","Basic","Combined Manufacturing and Mercantile Operations","No Coverage","No","No","No Coinsurance","No Coinsurance"
"CW","Basic","Combined Manufacturing and Mercantile Operations","No Coverage","No","No","50%","50%"
"CW","Basic","Combined Manufacturing and Mercantile Operations","No Coverage","No","No","60%","60%"
"CW","Basic","Combined Manufacturing and Mercantile Operations","No Coverage","No","No","70%","70%"
"CW","Basic","Combined Manufacturing and Mercantile Operations","No Coverage","No","No","80%","80%"
"CW","Basic","Combined Manufacturing and Mercantile Operations","No Coverage","No","No","90%","90%"
"CW","Basic","Combined Manufacturing and Mercantile Operations","No Coverage","No","No","100%","100%"
"CW","Basic","Combined Manufacturing and Mercantile Operations","No Coverage","No","No","125%","125%"
"CW","Basic","Combined Manufacturing and Mercantile Operations","No Coverage","Not Applicable","No","Not Applicable","Not Applicable"
"CW","Basic","Combined Manufacturing and Mercantile Operations","No Coverage","Yes","No","50%","50%"
"CW","Basic","Combined Manufacturing and Mercantile Operations","No Coverage","Yes","No","60%","60%"
"CW","Basic","Combined Manufacturing and Mercantile Operations","No Coverage","Yes","No","70%","70%"
"CW","Basic","Combined Manufacturing and Mercantile Operations","No Coverage","Yes","No","80%","80%"
"CW","Basic","Combined Manufacturing and Mercantile Operations","No Coverage","Yes","No","90%","90%"
"CW","Basic","Combined Manufacturing and Mercantile Operations","No Coverage","Yes","No","100%","100%"
"CW","Basic","Combined Manufacturing and Mercantile Operations","No Coverage","Yes","No","125%","125%"
"CW","Basic","Combined Manufacturing and Rental Operations","No Coverage","No","No","No Coinsurance","No Coinsurance"
"CW","Basic","Combined Manufacturing and Rental Operations","No Coverage","No","No","50%","50%"
"CW","Basic","Combined Manufacturing and Rental Operations","No Coverage","No","No","60%","60%"
"CW","Basic","Combined Manufacturing and Rental Operations","No Coverage","No","No","70%","70%"
"CW","Basic","Combined Manufacturing and Rental Operations","No Coverage","No","No","80%","80%"
"CW","Basic","Combined Manufacturing and Rental Operations","No Coverage","No","No","90%","90%"
"CW","Basic","Combined Manufacturing and Rental Operations","No Coverage","No","No","100%","100%"
"CW","Basic","Combined Manufacturing and Rental Operations","No Coverage","No","No","125%","125%"
"CW","Basic","Combined Manufacturing and Rental Operations","No Coverage","Not Applicable","No","Not Applicable","Not Applicable"
"CW","Basic","Combined Manufacturing and Rental Operations","No Coverage","Yes","No","50%","50%"
"CW","Basic","Combined Manufacturing and Rental Operations","No Coverage","Yes","No","60%","60%"
"CW","Basic","Combined Manufacturing and Rental Operations","No Coverage","Yes","No","70%","70%"
"CW","Basic","Combined Manufacturing and Rental Operations","No Coverage","Yes","No","80%","80%"
"CW","Basic","Combined Manufacturing and Rental Operations","No Coverage","Yes","No","90%","90%"
"CW","Basic","Combined Manufacturing and Rental Operations","No Coverage","Yes","No","100%","100%"
"CW","Basic","Combined Manufacturing and Rental Operations","No Coverage","Yes","No","125%","125%"
"CW","Basic","Combined Mercantile and Rental Operations","No Coverage","No","No","No Coinsurance","No Coinsurance"
"CW","Basic","Combined Mercantile and Rental Operations","No Coverage","No","No","50%","50%"
"CW","Basic","Combined Mercantile and Rental Operations","No Coverage","No","No","60%","60%"
"CW","Basic","Combined Mercantile and Rental Operations","No Coverage","No","No","70%","70%"
"CW","Basic","Combined Mercantile and Rental Operations","No Coverage","No","No","80%","80%"
"CW","Basic","Combined Mercantile and Rental Operations","No Coverage","No","No","90%","90%"
"CW","Basic","Combined Mercantile and Rental Operations","No Coverage","No","No","100%","100%"
"CW","Basic","Combined Mercantile and Rental Operations","No Coverage","No","No","125%","125%"
"CW","Basic","Combined Mercantile and Rental Operations","No Coverage","Not Applicable","No","Not Applicable","Not Applicable"
"CW","Basic","Combined Mercantile and Rental Operations","No Coverage","Yes","No","50%","50%"
"CW","Basic","Combined Mercantile and Rental Operations","No Coverage","Yes","No","60%","60%"
"CW","Basic","Combined Mercantile and Rental Operations","No Coverage","Yes","No","70%","70%"
"CW","Basic","Combined Mercantile and Rental Operations","No Coverage","Yes","No","80%","80%"
"CW","Basic","Combined Mercantile and Rental Operations","No Coverage","Yes","No","90%","90%"
"CW","Basic","Combined Mercantile and Rental Operations","No Coverage","Yes","No","100%","100%"
"CW","Basic","Combined Mercantile and Rental Operations","No Coverage","Yes","No","125%","125%"
"CW","Basic","Educational Institutions","No Coverage","No","No","50%","50%"
"CW","Basic","Educational Institutions","No Coverage","No","No","60%","60%"
"CW","Basic","Educational Institutions","No Coverage","No","No","70%","70%"
"CW","Basic","Educational Institutions","No Coverage","No","No","80%","80%"
"CW","Basic","Educational Institutions","No Coverage","No","No","90%","90%"
"CW","Basic","Educational Institutions","No Coverage","No","No","100%","100%"
"CW","Basic","Educational Institutions","No Coverage","No","No","125%","125%"
"CW","Basic","Educational Institutions","No Coverage","Not Applicable","No","Not Applicable","Not Applicable"
"CW","Basic","Educational Institutions","No Coverage","Yes","No","50%","50%"
"CW","Basic","Educational Institutions","No Coverage","Yes","No","60%","60%"
"CW","Basic","Educational Institutions","No Coverage","Yes","No","70%","70%"
"CW","Basic","Educational Institutions","No Coverage","Yes","No","80%","80%"
"CW","Basic","Educational Institutions","No Coverage","Yes","No","90%","90%"
"CW","Basic","Educational Institutions","No Coverage","Yes","No","100%","100%"
"CW","Basic","Educational Institutions","No Coverage","Yes","No","125%","125%"
"CW","Basic","Manufacturing","No Coverage","No","No","No Coinsurance","No Coinsurance"
"CW","Basic","Manufacturing","No Coverage","No","No","50%","50%"
"CW","Basic","Manufacturing","No Coverage","No","No","60%","60%"
"CW","Basic","Manufacturing","No Coverage","No","No","70%","70%"
"CW","Basic","Manufacturing","No Coverage","No","No","80%","80%"
"CW","Basic","Manufacturing","No Coverage","No","No","90%","90%"
"CW","Basic","Manufacturing","No Coverage","No","No","100%","100%"
"CW","Basic","Manufacturing","No Coverage","No","No","125%","125%"
"CW","Basic","Manufacturing","No Coverage","Not Applicable","No","Not Applicable","Not Applicable"
"CW","Basic","Manufacturing","No Coverage","Yes","No","50%","50%"
"CW","Basic","Manufacturing","No Coverage","Yes","No","60%","60%"
"CW","Basic","Manufacturing","No Coverage","Yes","No","70%","70%"
"CW","Basic","Manufacturing","No Coverage","Yes","No","80%","80%"
"CW","Basic","Manufacturing","No Coverage","Yes","No","90%","90%"
"CW","Basic","Manufacturing","No Coverage","Yes","No","100%","100%"
"CW","Basic","Manufacturing","No Coverage","Yes","No","125%","125%"
"CW","Basic","Mercantile and Non-manufacturing","No Coverage","No","No","No Coinsurance","No Coinsurance"
"CW","Basic","Mercantile and Non-manufacturing","No Coverage","No","No","50%","50%"
"CW","Basic","Mercantile and Non-manufacturing","No Coverage","No","No","60%","60%"
"CW","Basic","Mercantile and Non-manufacturing","No Coverage","No","No","70%","70%"
"CW","Basic","Mercantile and Non-manufacturing","No Coverage","No","No","80%","80%"
"CW","Basic","Mercantile and Non-manufacturing","No Coverage","No","No","90%","90%"
"CW","Basic","Mercantile and Non-manufacturing","No Coverage","No","No","100%","100%"
"CW","Basic","Mercantile and Non-manufacturing","No Coverage","No","No","125%","125%"
"CW","Basic","Mercantile and Non-manufacturing","No Coverage","Not Applicable","No","Not Applicable","Not Applicable"
"CW","Basic","Mercantile and Non-manufacturing","No Coverage","Yes","No","50%","50%"
"CW","Basic","Mercantile and Non-manufacturing","No Coverage","Yes","No","60%","60%"
"CW","Basic","Mercantile and Non-manufacturing","No Coverage","Yes","No","70%","70%"
"CW","Basic","Mercantile and Non-manufacturing","No Coverage","Yes","No","80%","80%"
