"StateCode","CauseOfLossAllTypes","DisplayValue","DataValue"
"CW","Basic","None","None"
"CW","Basic","50%","50%"
"CW","Basic","60%","60%"
"CW","Basic","70%","70%"
"CW","Basic","80%","80%"
"CW","Basic","90%","90%"
"CW","Basic","100%","100%"
"CW","Broad","80%","80%"
"CW","Broad","90%","90%"
"CW","Broad","100%","100%"
"CW","Special","80%","80%"
"CW","Special","90%","90%"
"CW","Special","100%","100%"
"CW","Fire","None","None"
"CW","Fire","50%","50%"
"CW","Fire","60%","60%"
"CW","Fire","70%","70%"
"CW","Fire","80%","80%"
"CW","Fire","90%","90%"
"CW","Fire","100%","100%"
"CW","Fire and Allied Lines","None","None"
"CW","Fire and Allied Lines","50%","50%"
"CW","Fire and Allied Lines","60%","60%"
"CW","Fire and Allied Lines","70%","70%"
"CW","Fire and Allied Lines","80%","80%"
"CW","Fire and Allied Lines","90%","90%"
"CW","Fire and Allied Lines","100%","100%"
"CW","Fire and Vandalism","None","None"
"CW","Fire and Vandalism","50%","50%"
"CW","Fire and Vandalism","60%","60%"
"CW","Fire and Vandalism","70%","70%"
"CW","Fire and Vandalism","80%","80%"
"CW","Fire and Vandalism","90%","90%"
"CW","Fire and Vandalism","100%","100%"
"CW","Fire and Sprinkler Leakage","None","None"
"CW","Fire and Sprinkler Leakage","50%","50%"
"CW","Fire and Sprinkler Leakage","60%","60%"
"CW","Fire and Sprinkler Leakage","70%","70%"
"CW","Fire and Sprinkler Leakage","80%","80%"
"CW","Fire and Sprinkler Leakage","90%","90%"
"CW","Fire and Sprinkler Leakage","100%","100%"
"CW","Fire, Vandalism and Sprinkler Leakage","None","None"
"CW","Fire, Vandalism and Sprinkler Leakage","50%","50%"
"CW","Fire, Vandalism and Sprinkler Leakage","60%","60%"
"CW","Fire, Vandalism and Sprinkler Leakage","70%","70%"
"CW","Fire, Vandalism and Sprinkler Leakage","80%","80%"
"CW","Fire, Vandalism and Sprinkler Leakage","90%","90%"
"CW","Fire, Vandalism and Sprinkler Leakage","100%","100%"
"CW","Fire, Vandalism and Allied Lines","None","None"
"CW","Fire, Vandalism and Allied Lines","50%","50%"
"CW","Fire, Vandalism and Allied Lines","60%","60%"
"CW","Fire, Vandalism and Allied Lines","70%","70%"
"CW","Fire, Vandalism and Allied Lines","80%","80%"
"CW","Fire, Vandalism and Allied Lines","90%","90%"
"CW","Fire, Vandalism and Allied Lines","100%","100%"
"CW","Fire, Sprinkler Leakage and Allied Lines","None","None"
"CW","Fire, Sprinkler Leakage and Allied Lines","50%","50%"
"CW","Fire, Sprinkler Leakage and Allied Lines","60%","60%"
"CW","Fire, Sprinkler Leakage and Allied Lines","70%","70%"
"CW","Fire, Sprinkler Leakage and Allied Lines","80%","80%"
"CW","Fire, Sprinkler Leakage and Allied Lines","90%","90%"
"CW","Fire, Sprinkler Leakage and Allied Lines","100%","100%"
"CW","Fire, Vandalism, Sprinkler Leakage and Allied Lines","None","None"
"CW","Fire, Vandalism, Sprinkler Leakage and Allied Lines","50%","50%"
"CW","Fire, Vandalism, Sprinkler Leakage and Allied Lines","60%","60%"
"CW","Fire, Vandalism, Sprinkler Leakage and Allied Lines","70%","70%"
"CW","Fire, Vandalism, Sprinkler Leakage and Allied Lines","80%","80%"
"CW","Fire, Vandalism, Sprinkler Leakage and Allied Lines","90%","90%"
"CW","Fire, Vandalism, Sprinkler Leakage and Allied Lines","100%","100%"
