"StateCode","PolicyType","CovForm","CauseOfLossPrsnlProp","IncludedInBlktPrsnlProp","ValuationTypePrsnlProp","AgreedValueBldg","DisplayValue","DataValue"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Basic","No","Actual Cash Value","No","None","None"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Basic","No","Actual Cash Value","No","50%","50%"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Basic","No","Actual Cash Value","No","60%","60%"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Basic","No","Actual Cash Value","No","70%","70%"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Basic","No","Actual Cash Value","No","80%","80%"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Basic","No","Actual Cash Value","No","90%","90%"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Basic","No","Actual Cash Value","No","100%","100%"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Basic","No","Actual Cash Value","No","Daily Reporting","Daily Reporting"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Basic","No","Actual Cash Value","No","Weekly Reporting","Weekly Reporting"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Basic","No","Actual Cash Value","No","Monthly Reporting","Monthly Reporting"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Basic","No","Actual Cash Value","No","Quarterly Reporting","Quarterly Reporting"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Basic","No","Actual Cash Value","No","Policy Year Reporting","Policy Year Reporting"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Basic","No","Actual Cash Value","Yes","80%","80%"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Basic","No","Actual Cash Value","Yes","90%","90%"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Basic","No","Actual Cash Value","Yes","100%","100%"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Broad","No","Actual Cash Value","No","80%","80%"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Broad","No","Actual Cash Value","No","90%","90%"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Broad","No","Actual Cash Value","No","100%","100%"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Broad","No","Actual Cash Value","No","Daily Reporting","Daily Reporting"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Broad","No","Actual Cash Value","No","Weekly Reporting","Weekly Reporting"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Broad","No","Actual Cash Value","No","Monthly Reporting","Monthly Reporting"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Broad","No","Actual Cash Value","No","Quarterly Reporting","Quarterly Reporting"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Broad","No","Actual Cash Value","No","Policy Year Reporting","Policy Year Reporting"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Broad","No","Actual Cash Value","Yes","80%","80%"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Broad","No","Actual Cash Value","Yes","90%","90%"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Broad","No","Actual Cash Value","Yes","100%","100%"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Special","No","Actual Cash Value","No","80%","80%"
