"StateCode","PolicyType","CauseOfLossSpecialClass","IncludedInBlktSpecialClass","ValuationTypeSpecialClass","AgreedValueBldg","DisplayValue","DataValue"
"CW","Commercial Property Policy","Basic","No","Actual Cash Value","Blanket Agreed Value Option Applies","50%","50%"
"CW","Commercial Property Policy","Basic","No","Actual Cash Value","Blanket Agreed Value Option Applies","60%","60%"
"CW","Commercial Property Policy","Basic","No","Actual Cash Value","Blanket Agreed Value Option Applies","70%","70%"
"CW","Commercial Property Policy","Basic","No","Actual Cash Value","Blanket Agreed Value Option Applies","80%","80%"
"CW","Commercial Property Policy","Basic","No","Actual Cash Value","Blanket Agreed Value Option Applies","90%","90%"
"CW","Commercial Property Policy","Basic","No","Actual Cash Value","Blanket Agreed Value Option Applies","100%","100%"
"CW","Commercial Property Policy","Basic","No","Actual Cash Value","Blanket Agreed Value Option Applies","None","None"
"CW","Commercial Property Policy","Basic","No","Actual Cash Value","No","50%","50%"
"CW","Commercial Property Policy","Basic","No","Actual Cash Value","No","60%","60%"
"CW","Commercial Property Policy","Basic","No","Actual Cash Value","No","70%","70%"
"CW","Commercial Property Policy","Basic","No","Actual Cash Value","No","80%","80%"
"CW","Commercial Property Policy","Basic","No","Actual Cash Value","No","90%","90%"
"CW","Commercial Property Policy","Basic","No","Actual Cash Value","No","100%","100%"
"CW","Commercial Property Policy","Basic","No","Actual Cash Value","No","None","None"
"CW","Commercial Property Policy","Basic","No","Actual Cash Value","Not Applicable","50%","50%"
"CW","Commercial Property Policy","Basic","No","Actual Cash Value","Not Applicable","60%","60%"
"CW","Commercial Property Policy","Basic","No","Actual Cash Value","Not Applicable","70%","70%"
"CW","Commercial Property Policy","Basic","No","Actual Cash Value","Not Applicable","80%","80%"
"CW","Commercial Property Policy","Basic","No","Actual Cash Value","Not Applicable","90%","90%"
"CW","Commercial Property Policy","Basic","No","Actual Cash Value","Not Applicable","100%","100%"
"CW","Commercial Property Policy","Basic","No","Actual Cash Value","Not Applicable","None","None"
"CW","Commercial Property Policy","Basic","No","Actual Cash Value","Yes","80%","80%"
"CW","Commercial Property Policy","Basic","No","Actual Cash Value","Yes","90%","90%"
"CW","Commercial Property Policy","Basic","No","Actual Cash Value","Yes","100%","100%"
"CW","Commercial Property Policy","Basic","No","Not Applicable","Blanket Agreed Value Option Applies","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Basic","No","Not Applicable","No","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Basic","No","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Basic","No","Not Applicable","Yes","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Basic","No","Replacement Cost","Blanket Agreed Value Option Applies","80%","80%"
"CW","Commercial Property Policy","Basic","No","Replacement Cost","Blanket Agreed Value Option Applies","90%","90%"
"CW","Commercial Property Policy","Basic","No","Replacement Cost","Blanket Agreed Value Option Applies","100%","100%"
"CW","Commercial Property Policy","Basic","No","Replacement Cost","No","80%","80%"
"CW","Commercial Property Policy","Basic","No","Replacement Cost","No","90%","90%"
"CW","Commercial Property Policy","Basic","No","Replacement Cost","No","100%","100%"
"CW","Commercial Property Policy","Basic","No","Replacement Cost","Not Applicable","80%","80%"
"CW","Commercial Property Policy","Basic","No","Replacement Cost","Not Applicable","90%","90%"
"CW","Commercial Property Policy","Basic","No","Replacement Cost","Not Applicable","100%","100%"
"CW","Commercial Property Policy","Basic","No","Replacement Cost","Yes","80%","80%"
"CW","Commercial Property Policy","Basic","No","Replacement Cost","Yes","90%","90%"
"CW","Commercial Property Policy","Basic","No","Replacement Cost","Yes","100%","100%"
"CW","Commercial Property Policy","Basic","Yes","Not Applicable","Blanket Agreed Value Option Applies","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Basic","Yes","Not Applicable","No","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Basic","Yes","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Basic","Yes","Not Applicable","Yes","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Blanket Cause of Loss Applies","Yes","Actual Cash Value","Blanket Agreed Value Option Applies","Blanket Coinsurance Percentage Applies","Blanket Coinsurance Percentage Applies"
"CW","Commercial Property Policy","Blanket Cause of Loss Applies","Yes","Actual Cash Value","No","Blanket Coinsurance Percentage Applies","Blanket Coinsurance Percentage Applies"
"CW","Commercial Property Policy","Blanket Cause of Loss Applies","Yes","Actual Cash Value","Not Applicable","Blanket Coinsurance Percentage Applies","Blanket Coinsurance Percentage Applies"
"CW","Commercial Property Policy","Blanket Cause of Loss Applies","Yes","Actual Cash Value","Yes","Blanket Coinsurance Percentage Applies","Blanket Coinsurance Percentage Applies"
"CW","Commercial Property Policy","Blanket Cause of Loss Applies","Yes","Not Applicable","Blanket Agreed Value Option Applies","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Blanket Cause of Loss Applies","Yes","Not Applicable","No","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Blanket Cause of Loss Applies","Yes","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Blanket Cause of Loss Applies","Yes","Not Applicable","Yes","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Blanket Cause of Loss Applies","Yes","Replacement Cost","Blanket Agreed Value Option Applies","Blanket Coinsurance Percentage Applies","Blanket Coinsurance Percentage Applies"
"CW","Commercial Property Policy","Blanket Cause of Loss Applies","Yes","Replacement Cost","No","Blanket Coinsurance Percentage Applies","Blanket Coinsurance Percentage Applies"
"CW","Commercial Property Policy","Blanket Cause of Loss Applies","Yes","Replacement Cost","Not Applicable","Blanket Coinsurance Percentage Applies","Blanket Coinsurance Percentage Applies"
"CW","Commercial Property Policy","Blanket Cause of Loss Applies","Yes","Replacement Cost","Yes","Blanket Coinsurance Percentage Applies","Blanket Coinsurance Percentage Applies"
"CW","Commercial Property Policy","Broad","No","Actual Cash Value","Blanket Agreed Value Option Applies","80%","80%"
"CW","Commercial Property Policy","Broad","No","Actual Cash Value","Blanket Agreed Value Option Applies","90%","90%"
"CW","Commercial Property Policy","Broad","No","Actual Cash Value","Blanket Agreed Value Option Applies","100%","100%"
"CW","Commercial Property Policy","Broad","No","Actual Cash Value","No","80%","80%"
"CW","Commercial Property Policy","Broad","No","Actual Cash Value","No","90%","90%"
"CW","Commercial Property Policy","Broad","No","Actual Cash Value","No","100%","100%"
"CW","Commercial Property Policy","Broad","No","Actual Cash Value","Not Applicable","80%","80%"
"CW","Commercial Property Policy","Broad","No","Actual Cash Value","Not Applicable","90%","90%"
"CW","Commercial Property Policy","Broad","No","Actual Cash Value","Not Applicable","100%","100%"
"CW","Commercial Property Policy","Broad","No","Actual Cash Value","Yes","80%","80%"
"CW","Commercial Property Policy","Broad","No","Actual Cash Value","Yes","90%","90%"
"CW","Commercial Property Policy","Broad","No","Actual Cash Value","Yes","100%","100%"
"CW","Commercial Property Policy","Broad","No","Not Applicable","Blanket Agreed Value Option Applies","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Broad","No","Not Applicable","No","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Broad","No","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Broad","No","Not Applicable","Yes","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Broad","No","Replacement Cost","Blanket Agreed Value Option Applies","80%","80%"
"CW","Commercial Property Policy","Broad","No","Replacement Cost","Blanket Agreed Value Option Applies","90%","90%"
"CW","Commercial Property Policy","Broad","No","Replacement Cost","Blanket Agreed Value Option Applies","100%","100%"
"CW","Commercial Property Policy","Broad","No","Replacement Cost","No","80%","80%"
"CW","Commercial Property Policy","Broad","No","Replacement Cost","No","90%","90%"
"CW","Commercial Property Policy","Broad","No","Replacement Cost","No","100%","100%"
"CW","Commercial Property Policy","Broad","No","Replacement Cost","Not Applicable","80%","80%"
"CW","Commercial Property Policy","Broad","No","Replacement Cost","Not Applicable","90%","90%"
"CW","Commercial Property Policy","Broad","No","Replacement Cost","Not Applicable","100%","100%"
