"StateCode","NFIPFloodZone","DisplayValue","DataValue"
"CW","A","1","1"
"CW","A","2","2"
"CW","A","3","3"
"CW","A","4","4"
"CW","A","5","5"
"CW","A","6","6"
"CW","A","7","7"
"CW","A","8","8"
"CW","A","9","9"
"CW","A","10","10"
"CW","A","Unknown","Unknown"
"CW","AE","1","1"
"CW","AE","2","2"
"CW","AE","3","3"
"CW","AE","4","4"
"CW","AE","5","5"
"CW","AE","6","6"
"CW","AE","7","7"
"CW","AE","8","8"
"CW","AE","9","9"
"CW","AE","10","10"
"CW","AE","Unknown","Unknown"
"CW","A1-A30","1","1"
"CW","A1-A30","2","2"
"CW","A1-A30","3","3"
"CW","A1-A30","4","4"
"CW","A1-A30","5","5"
"CW","A1-A30","6","6"
"CW","A1-A30","7","7"
"CW","A1-A30","8","8"
"CW","A1-A30","9","9"
"CW","A1-A30","10","10"
"CW","A1-A30","Unknown","Unknown"
"CW","A99","1","1"
"CW","A99","2","2"
"CW","A99","3","3"
"CW","A99","4","4"
"CW","A99","5","5"
"CW","A99","6","6"
"CW","A99","7","7"
"CW","A99","8","8"
"CW","A99","9","9"
"CW","A99","10","10"
"CW","A99","Unknown","Unknown"
"CW","AH","1","1"
"CW","AH","2","2"
"CW","AH","3","3"
"CW","AH","4","4"
"CW","AH","5","5"
"CW","AH","6","6"
"CW","AH","7","7"
"CW","AH","8","8"
"CW","AH","9","9"
"CW","AH","10","10"
"CW","AH","Unknown","Unknown"
"CW","AHB","1","1"
"CW","AHB","2","2"
"CW","AHB","3","3"
"CW","AHB","4","4"
"CW","AHB","5","5"
"CW","AHB","6","6"
"CW","AHB","7","7"
"CW","AHB","8","8"
"CW","AHB","9","9"
"CW","AHB","10","10"
"CW","AHB","Unknown","Unknown"
"CW","AO","1","1"
"CW","AO","2","2"
"CW","AO","3","3"
"CW","AO","4","4"
"CW","AO","5","5"
"CW","AO","6","6"
"CW","AO","7","7"
"CW","AO","8","8"
"CW","AO","9","9"
"CW","AO","10","10"
"CW","AO","Unknown","Unknown"
"CW","AOB","1","1"
"CW","AOB","2","2"
"CW","AOB","3","3"
"CW","AOB","4","4"
"CW","AOB","5","5"
"CW","AOB","6","6"
"CW","AOB","7","7"
"CW","AOB","8","8"
"CW","AOB","9","9"
"CW","AOB","10","10"
"CW","AOB","Unknown","Unknown"
"CW","V","1","1"
"CW","V","2","2"
"CW","V","3","3"
"CW","V","4","4"
"CW","V","5","5"
"CW","V","6","6"
"CW","V","7","7"
"CW","V","8","8"
"CW","V","9","9"
"CW","V","10","10"
"CW","V","Unknown","Unknown"
"CW","VE","1","1"
"CW","VE","2","2"
"CW","VE","3","3"
"CW","VE","4","4"
"CW","VE","5","5"
"CW","VE","6","6"
"CW","VE","7","7"
"CW","VE","8","8"
"CW","VE","9","9"
"CW","VE","10","10"
"CW","VE","Unknown","Unknown"
"CW","V1-V30","1","1"
"CW","V1-V30","2","2"
"CW","V1-V30","3","3"
"CW","V1-V30","4","4"
"CW","V1-V30","5","5"
"CW","V1-V30","6","6"
"CW","V1-V30","7","7"
"CW","V1-V30","8","8"
"CW","V1-V30","9","9"
"CW","V1-V30","10","10"
"CW","V1-V30","Unknown","Unknown"
"CW","AR","1","1"
"CW","AR","2","2"
"CW","AR","3","3"
"CW","AR","4","4"
"CW","AR","5","5"
"CW","AR","6","6"
"CW","AR","7","7"
"CW","AR","8","8"
"CW","AR","9","9"
"CW","AR","10","10"
