"StateCode","PolicyType","RatingType","DisplayValue","DataValue"
"CW","Commercial Property Policy","Class","Building and Personal Property Coverage Form","Building and Personal Property Coverage Form"
"CW","Commercial Property Policy","Class","Condominium Association Coverage Form","Condominium Association Coverage Form"
"CW","Commercial Property Policy","Class","Condominium Commercial Unit Owners Coverage","Condominium Commercial Unit Owners Coverage"
"CW","Commercial Property Policy","Class","Legal Liability Coverage Form","Legal Liability Coverage Form"
"CW","Commercial Property Policy","Class","Tobacco Sales Warehouse Coverage Form","Tobacco Sales Warehouse Coverage Form"
"CW","Commercial Property Policy","Class","Class Rated Building Only, No Personal Property Coverage","Class Rated Building Only, No Personal Property Coverage"
"CW","Standard Property Policy","Class","Standard Property Policy","Standard Property Policy"
"CW","Standard Property Policy","Class","Condominium Association Coverage Form","Condominium Association Coverage Form"
"CW","Standard Property Policy","Class","Condominium Commercial Unit Owners Coverage","Condominium Commercial Unit Owners Coverage"
"CW","Standard Property Policy","Class","Class Rated Building Only, No Personal Property Coverage","Class Rated Building Only, No Personal Property Coverage"
"CW","Commercial Property Policy","Specific","Building and Personal Property Coverage Form","Building and Personal Property Coverage Form"
"CW","Commercial Property Policy","Specific","Condominium Association Coverage Form","Condominium Association Coverage Form"
"CW","Commercial Property Policy","Specific","Condominium Commercial Unit Owners Coverage","Condominium Commercial Unit Owners Coverage"
"CW","Commercial Property Policy","Specific","Legal Liability Coverage Form","Legal Liability Coverage Form"
"CW","Commercial Property Policy","Specific","Tobacco Sales Warehouse Coverage Form","Tobacco Sales Warehouse Coverage Form"
"CW","Commercial Property Policy","Tentative","Building and Personal Property Coverage Form","Building and Personal Property Coverage Form"
"CW","Commercial Property Policy","Tentative","Condominium Association Coverage Form","Condominium Association Coverage Form"
"CW","Commercial Property Policy","Tentative","Condominium Commercial Unit Owners Coverage","Condominium Commercial Unit Owners Coverage"
"CW","Commercial Property Policy","Tentative","Legal Liability Coverage Form","Legal Liability Coverage Form"
"CW","Commercial Property Policy","Tentative","Tobacco Sales Warehouse Coverage Form","Tobacco Sales Warehouse Coverage Form"
"CW","Standard Property Policy","Specific","Standard Property Policy","Standard Property Policy"
"CW","Standard Property Policy","Specific","Condominium Association Coverage Form","Condominium Association Coverage Form"
"CW","Standard Property Policy","Specific","Condominium Commercial Unit Owners Coverage","Condominium Commercial Unit Owners Coverage"
"CW","Standard Property Policy","Tentative","Standard Property Policy","Standard Property Policy"
"CW","Standard Property Policy","Tentative","Condominium Association Coverage Form","Condominium Association Coverage Form"
"CW","Standard Property Policy","Tentative","Condominium Commercial Unit Owners Coverage","Condominium Commercial Unit Owners Coverage"
