"StateCode","PolicyType","DisplayValue","DataValue"
"CW","Commercial Property Policy","No Coverage","No Coverage"
"CW","Commercial Property Policy","Builders Risk","Builders Risk"
"CW","Commercial Property Policy","Building","Building"
"CW","Commercial Property Policy","Condominium Association","Condominium Association"
"CW","Commercial Property Policy","Improvements and Betterments","Improvements and Betterments"
"CW","Commercial Property Policy","Leasehold Interest","Leasehold Interest"
"CW","Commercial Property Policy","Legal Liability","Legal Liability"
"CW","Standard Property Policy","No Coverage","No Coverage"
"CW","Standard Property Policy","Builders Risk","Builders Risk"
"CW","Standard Property Policy","Building","Building"
"CW","Standard Property Policy","Condominium Association","Condominium Association"
"CW","Standard Property Policy","Improvements and Betterments","Improvements and Betterments"
