"StateCode","PolicyType","CovForm","DisplayValue","DataValue"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","All Other Personal Property","All Other Personal Property"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","All Personal Property","All Personal Property"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Contents Except Stock","Contents Except Stock"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Fixtures","Fixtures"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Furniture","Furniture"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Machinery and Equipment","Machinery and Equipment"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Non-Owned Trailers","Non-Owned Trailers"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Personal Property in a Vault with an Approved Fire Rating","Personal Property in a Vault with an Approved Fire Rating"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Property of Others","Property of Others"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Property Other than Categories Listed Above","Property Other than Categories Listed Above"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Stock","Stock"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Tenants Improvements and Betterments","Tenants Improvements and Betterments"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Valuable Papers and Records - Other Than Electronic Data","Valuable Papers and Records - Other Than Electronic Data"
"CW","Commercial Property Policy","Condominium Commercial Unit Owners Coverage","All Other Personal Property","All Other Personal Property"
"CW","Commercial Property Policy","Condominium Commercial Unit Owners Coverage","All Personal Property","All Personal Property"
"CW","Commercial Property Policy","Condominium Commercial Unit Owners Coverage","Contents Except Stock","Contents Except Stock"
"CW","Commercial Property Policy","Condominium Commercial Unit Owners Coverage","Fixtures, Improvements and Alterations","Fixtures, Improvements and Alterations"
"CW","Commercial Property Policy","Condominium Commercial Unit Owners Coverage","Furniture","Furniture"
"CW","Commercial Property Policy","Condominium Commercial Unit Owners Coverage","Machinery and Equipment","Machinery and Equipment"
"CW","Commercial Property Policy","Condominium Commercial Unit Owners Coverage","Non-Owned Trailers","Non-Owned Trailers"
"CW","Commercial Property Policy","Condominium Commercial Unit Owners Coverage","Personal Property in a Vault with an Approved Fire Rating","Personal Property in a Vault with an Approved Fire Rating"
"CW","Commercial Property Policy","Condominium Commercial Unit Owners Coverage","Property of Others","Property of Others"
"CW","Commercial Property Policy","Condominium Commercial Unit Owners Coverage","Property Other than Categories Listed Above","Property Other than Categories Listed Above"
"CW","Commercial Property Policy","Condominium Commercial Unit Owners Coverage","Stock","Stock"
"CW","Commercial Property Policy","Condominium Commercial Unit Owners Coverage","Valuable Papers and Records - Other Than Electronic Data","Valuable Papers and Records - Other Than Electronic Data"
"CW","Commercial Property Policy","Condominium Association Coverage Form","All Personal Property","All Personal Property"
"CW","Commercial Property Policy","Legal Liability Coverage Form","Personal Property of Others","Personal Property of Others"
"CW","Commercial Property Policy","Tobacco Sales Warehouse Coverage Form","All Personal Property","All Personal Property"
"CW","Commercial Property Policy","Class Rated Building Only, No Personal Property Coverage","Not Applicable","Not Applicable"
"CW","Standard Property Policy","Standard Property Policy","All Other Personal Property","All Other Personal Property"
"CW","Standard Property Policy","Standard Property Policy","All Personal Property","All Personal Property"
"CW","Standard Property Policy","Standard Property Policy","Contents Except Stock","Contents Except Stock"
"CW","Standard Property Policy","Standard Property Policy","Fixtures","Fixtures"
"CW","Standard Property Policy","Standard Property Policy","Furniture","Furniture"
"CW","Standard Property Policy","Standard Property Policy","Machinery and Equipment","Machinery and Equipment"
"CW","Standard Property Policy","Standard Property Policy","Non-Owned Trailers","Non-Owned Trailers"
"CW","Standard Property Policy","Standard Property Policy","Personal Property in a Vault with an Approved Fire Rating","Personal Property in a Vault with an Approved Fire Rating"
"CW","Standard Property Policy","Standard Property Policy","Property of Others","Property of Others"
"CW","Standard Property Policy","Standard Property Policy","Property Other than Categories Listed Above","Property Other than Categories Listed Above"
"CW","Standard Property Policy","Standard Property Policy","Stock","Stock"
"CW","Standard Property Policy","Standard Property Policy","Tenants Improvements and Betterments","Tenants Improvements and Betterments"
"CW","Standard Property Policy","Standard Property Policy","Valuable Papers and Records - Other Than Electronic Data","Valuable Papers and Records - Other Than Electronic Data"
"CW","Standard Property Policy","Condominium Commercial Unit Owners Coverage","All Other Personal Property","All Other Personal Property"
"CW","Standard Property Policy","Condominium Commercial Unit Owners Coverage","All Personal Property","All Personal Property"
"CW","Standard Property Policy","Condominium Commercial Unit Owners Coverage","Contents Except Stock","Contents Except Stock"
"CW","Standard Property Policy","Condominium Commercial Unit Owners Coverage","Fixtures, Improvements and Alterations","Fixtures, Improvements and Alterations"
"CW","Standard Property Policy","Condominium Commercial Unit Owners Coverage","Furniture","Furniture"
"CW","Standard Property Policy","Condominium Commercial Unit Owners Coverage","Machinery and Equipment","Machinery and Equipment"
"CW","Standard Property Policy","Condominium Commercial Unit Owners Coverage","Non-Owned Trailers","Non-Owned Trailers"
"CW","Standard Property Policy","Condominium Commercial Unit Owners Coverage","Personal Property in a Vault with an Approved Fire Rating","Personal Property in a Vault with an Approved Fire Rating"
"CW","Standard Property Policy","Condominium Commercial Unit Owners Coverage","Property of Others","Property of Others"
"CW","Standard Property Policy","Condominium Commercial Unit Owners Coverage","Property Other than Categories Listed Above","Property Other than Categories Listed Above"
"CW","Standard Property Policy","Condominium Commercial Unit Owners Coverage","Stock","Stock"
"CW","Standard Property Policy","Condominium Commercial Unit Owners Coverage","Valuable Papers and Records - Other Than Electronic Data","Valuable Papers and Records - Other Than Electronic Data"
"CW","Standard Property Policy","Condominium Association Coverage Form","All Other Personal Property","All Other Personal Property"
"CW","Standard Property Policy","Class Rated Building Only, No Personal Property Coverage","Not Applicable","Not Applicable"
