"StateCode","CauseOfLossForBlanket","DisplayValue","DataValue"
"CW","Basic","No","No"
"CW","Basic","Yes","Yes"
"CW","Broad","No","No"
"CW","Broad","Yes","Yes"
"CW","Special","No","No"
"CW","Special","Yes","Yes"
"CW","Earthquake Only","Yes","Yes"
"CW","Fire","No","No"
"CW","Fire","Yes","Yes"
"CW","Fire and Allied Lines","No","No"
"CW","Fire and Allied Lines","Yes","Yes"
"CW","Fire and Vandalism","No","No"
"CW","Fire and Vandalism","Yes","Yes"
"CW","Fire and Sprinkler Leakage","No","No"
"CW","Fire and Sprinkler Leakage","Yes","Yes"
"CW","Fire, Vandalism and Sprinkler Leakage","No","No"
"CW","Fire, Vandalism and Sprinkler Leakage","Yes","Yes"
"CW","Fire, Vandalism and Allied Lines","No","No"
"CW","Fire, Vandalism and Allied Lines","Yes","Yes"
"CW","Fire, Sprinkler Leakage and Allied Lines","No","No"
"CW","Fire, Sprinkler Leakage and Allied Lines","Yes","Yes"
"CW","Fire, Vandalism, Sprinkler Leakage and Allied Lines","No","No"
"CW","Fire, Vandalism, Sprinkler Leakage and Allied Lines","Yes","Yes"
