"StateCode","EQCauseOfLossForm","DisplayValue","DataValue"
"CW","Earthquake Form (CP 10 40)","1C","1C"
"CW","Earthquake Form (CP 10 40)","1D","1D"
"CW","Earthquake Form (CP 10 40)","2A","2A"
"CW","Earthquake Form (CP 10 40)","2B","2B"
"CW","Earthquake Form (CP 10 40)","3A","3A"
"CW","Earthquake Form (CP 10 40)","3B","3B"
"CW","Earthquake Form (CP 10 40)","3C","3C"
"CW","Earthquake Form (CP 10 40)","4A","4A"
"CW","Earthquake Form (CP 10 40)","4B","4B"
"CW","Earthquake Form (CP 10 40)","4C","4C"
"CW","Earthquake Form (CP 10 40)","4D","4D"
"CW","Earthquake Form (CP 10 40)","5A","5A"
"CW","Earthquake Form (CP 10 40)","5AA","5AA"
"CW","Earthquake Form (CP 10 40)","5B","5B"
"CW","Earthquake Form (CP 10 40)","5C","5C"
"CW","Earthquake Form (CP 10 28)","1C","1C"
"CW","Earthquake Form (CP 10 28)","1D","1D"
"CW","Earthquake Form (CP 10 28)","2A","2A"
"CW","Earthquake Form (CP 10 28)","2B","2B"
"CW","Earthquake Form (CP 10 28)","3A","3A"
"CW","Earthquake Form (CP 10 28)","3B","3B"
"CW","Earthquake Form (CP 10 28)","3C","3C"
"CW","Earthquake Form (CP 10 28)","4A","4A"
"CW","Earthquake Form (CP 10 28)","4B","4B"
"CW","Earthquake Form (CP 10 28)","4C","4C"
"CW","Earthquake Form (CP 10 28)","4D","4D"
"CW","Earthquake Form (CP 10 28)","5A","5A"
"CW","Earthquake Form (CP 10 28)","5AA","5AA"
"CW","Earthquake Form (CP 10 28)","5B","5B"
"CW","Earthquake Form (CP 10 28)","5C","5C"
"CW","Not Applicable","Not Applicable","Not Applicable"
"CW","Earthquake Sub-Limit Form (CP 10 45)","1C","1C"
"CW","Earthquake Sub-Limit Form (CP 10 45)","1D","1D"
"CW","Earthquake Sub-Limit Form (CP 10 45)","2A","2A"
"CW","Earthquake Sub-Limit Form (CP 10 45)","2B","2B"
"CW","Earthquake Sub-Limit Form (CP 10 45)","3A","3A"
"CW","Earthquake Sub-Limit Form (CP 10 45)","3B","3B"
"CW","Earthquake Sub-Limit Form (CP 10 45)","3C","3C"
"CW","Earthquake Sub-Limit Form (CP 10 45)","4A","4A"
"CW","Earthquake Sub-Limit Form (CP 10 45)","4B","4B"
"CW","Earthquake Sub-Limit Form (CP 10 45)","4C","4C"
"CW","Earthquake Sub-Limit Form (CP 10 45)","4D","4D"
"CW","Earthquake Sub-Limit Form (CP 10 45)","5A","5A"
"CW","Earthquake Sub-Limit Form (CP 10 45)","5AA","5AA"
"CW","Earthquake Sub-Limit Form (CP 10 45)","5B","5B"
"CW","Earthquake Sub-Limit Form (CP 10 45)","5C","5C"
"CW","Earthquake Sub-Limit Form (CP 10 29)","1C","1C"
"CW","Earthquake Sub-Limit Form (CP 10 29)","1D","1D"
"CW","Earthquake Sub-Limit Form (CP 10 29)","2A","2A"
"CW","Earthquake Sub-Limit Form (CP 10 29)","2B","2B"
"CW","Earthquake Sub-Limit Form (CP 10 29)","3A","3A"
"CW","Earthquake Sub-Limit Form (CP 10 29)","3B","3B"
"CW","Earthquake Sub-Limit Form (CP 10 29)","3C","3C"
"CW","Earthquake Sub-Limit Form (CP 10 29)","4A","4A"
"CW","Earthquake Sub-Limit Form (CP 10 29)","4B","4B"
"CW","Earthquake Sub-Limit Form (CP 10 29)","4C","4C"
"CW","Earthquake Sub-Limit Form (CP 10 29)","4D","4D"
"CW","Earthquake Sub-Limit Form (CP 10 29)","5A","5A"
"CW","Earthquake Sub-Limit Form (CP 10 29)","5AA","5AA"
"CW","Earthquake Sub-Limit Form (CP 10 29)","5B","5B"
"CW","Earthquake Sub-Limit Form (CP 10 29)","5C","5C"
