"StateCode","Coinsurance","EQCovIndicator","EQCauseOfLossForm","DisplayValue","DataValue"
"CW","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"CW","Not Applicable","No Coverage","Not Applicable","Not Applicable","Not Applicable"
"CW","50%","No Coverage","Not Applicable","Not Applicable","Not Applicable"
"CW","60%","No Coverage","Not Applicable","Not Applicable","Not Applicable"
"CW","70%","No Coverage","Not Applicable","Not Applicable","Not Applicable"
"CW","80%","No Coverage","Not Applicable","Not Applicable","Not Applicable"
"CW","90%","No Coverage","Not Applicable","Not Applicable","Not Applicable"
"CW","100%","No Coverage","Not Applicable","Not Applicable","Not Applicable"
"CW","Daily Reporting","No Coverage","Not Applicable","Not Applicable","Not Applicable"
"CW","Weekly Reporting","No Coverage","Not Applicable","Not Applicable","Not Applicable"
"CW","Monthly Reporting","No Coverage","Not Applicable","Not Applicable","Not Applicable"
"CW","Quarterly Reporting","No Coverage","Not Applicable","Not Applicable","Not Applicable"
"CW","Policy Year Reporting","No Coverage","Not Applicable","Not Applicable","Not Applicable"
"CW","None","No Coverage","Not Applicable","Not Applicable","Not Applicable"
"CW","Blanket Coinsurance Percentage Applies","No Coverage","Not Applicable","Not Applicable","Not Applicable"
"CW","Not Applicable","No Coverage","Earthquake Form (CP 10 40)","Not Applicable","Not Applicable"
"CW","50%","No Coverage","Earthquake Form (CP 10 40)","Not Applicable","Not Applicable"
"CW","60%","No Coverage","Earthquake Form (CP 10 40)","Not Applicable","Not Applicable"
"CW","70%","No Coverage","Earthquake Form (CP 10 40)","Not Applicable","Not Applicable"
"CW","80%","No Coverage","Earthquake Form (CP 10 40)","Not Applicable","Not Applicable"
"CW","90%","No Coverage","Earthquake Form (CP 10 40)","Not Applicable","Not Applicable"
"CW","100%","No Coverage","Earthquake Form (CP 10 40)","Not Applicable","Not Applicable"
"CW","Daily Reporting","No Coverage","Earthquake Form (CP 10 40)","Not Applicable","Not Applicable"
"CW","Weekly Reporting","No Coverage","Earthquake Form (CP 10 40)","Not Applicable","Not Applicable"
"CW","Monthly Reporting","No Coverage","Earthquake Form (CP 10 40)","Not Applicable","Not Applicable"
"CW","Quarterly Reporting","No Coverage","Earthquake Form (CP 10 40)","Not Applicable","Not Applicable"
"CW","Policy Year Reporting","No Coverage","Earthquake Form (CP 10 40)","Not Applicable","Not Applicable"
"CW","None","No Coverage","Earthquake Form (CP 10 40)","Not Applicable","Not Applicable"
"CW","Blanket Coinsurance Percentage Applies","No Coverage","Earthquake Form (CP 10 40)","Not Applicable","Not Applicable"
"CW","Not Applicable","Not Applicable","Earthquake Form (CP 10 40)","Not Applicable","Not Applicable"
"CW","50%","Not Applicable","Earthquake Form (CP 10 40)","Not Applicable","Not Applicable"
"CW","60%","Not Applicable","Earthquake Form (CP 10 40)","Not Applicable","Not Applicable"
"CW","70%","Not Applicable","Earthquake Form (CP 10 40)","Not Applicable","Not Applicable"
"CW","80%","Not Applicable","Earthquake Form (CP 10 40)","Not Applicable","Not Applicable"
"CW","90%","Not Applicable","Earthquake Form (CP 10 40)","Not Applicable","Not Applicable"
"CW","100%","Not Applicable","Earthquake Form (CP 10 40)","Not Applicable","Not Applicable"
"CW","Daily Reporting","Not Applicable","Earthquake Form (CP 10 40)","Not Applicable","Not Applicable"
"CW","Weekly Reporting","Not Applicable","Earthquake Form (CP 10 40)","Not Applicable","Not Applicable"
"CW","Monthly Reporting","Not Applicable","Earthquake Form (CP 10 40)","Not Applicable","Not Applicable"
"CW","Quarterly Reporting","Not Applicable","Earthquake Form (CP 10 40)","Not Applicable","Not Applicable"
"CW","Policy Year Reporting","Not Applicable","Earthquake Form (CP 10 40)","Not Applicable","Not Applicable"
"CW","None","Not Applicable","Earthquake Form (CP 10 40)","Not Applicable","Not Applicable"
"CW","Blanket Coinsurance Percentage Applies","Not Applicable","Earthquake Form (CP 10 40)","Not Applicable","Not Applicable"
"CW","Not Applicable","Yes, Included in Blanket","Earthquake Form (CP 10 40)","Not Applicable","Not Applicable"
"CW","50%","Yes, Included in Blanket","Earthquake Form (CP 10 40)","Blanket Coinsurance Percentage Applies","Blanket Coinsurance Percentage Applies"
"CW","60%","Yes, Included in Blanket","Earthquake Form (CP 10 40)","Blanket Coinsurance Percentage Applies","Blanket Coinsurance Percentage Applies"
"CW","70%","Yes, Included in Blanket","Earthquake Form (CP 10 40)","Blanket Coinsurance Percentage Applies","Blanket Coinsurance Percentage Applies"
"CW","80%","Yes, Included in Blanket","Earthquake Form (CP 10 40)","Blanket Coinsurance Percentage Applies","Blanket Coinsurance Percentage Applies"
"CW","90%","Yes, Included in Blanket","Earthquake Form (CP 10 40)","Blanket Coinsurance Percentage Applies","Blanket Coinsurance Percentage Applies"
"CW","100%","Yes, Included in Blanket","Earthquake Form (CP 10 40)","Blanket Coinsurance Percentage Applies","Blanket Coinsurance Percentage Applies"
"CW","Daily Reporting","Yes, Included in Blanket","Earthquake Form (CP 10 40)","Blanket Coinsurance Percentage Applies","Blanket Coinsurance Percentage Applies"
"CW","Weekly Reporting","Yes, Included in Blanket","Earthquake Form (CP 10 40)","Blanket Coinsurance Percentage Applies","Blanket Coinsurance Percentage Applies"
"CW","Monthly Reporting","Yes, Included in Blanket","Earthquake Form (CP 10 40)","Blanket Coinsurance Percentage Applies","Blanket Coinsurance Percentage Applies"
"CW","Quarterly Reporting","Yes, Included in Blanket","Earthquake Form (CP 10 40)","Blanket Coinsurance Percentage Applies","Blanket Coinsurance Percentage Applies"
"CW","Policy Year Reporting","Yes, Included in Blanket","Earthquake Form (CP 10 40)","Blanket Coinsurance Percentage Applies","Blanket Coinsurance Percentage Applies"
