"StateCode","DisplayValue","DataValue"
"CW","Association","Association"
"CW","C Corporation","C Corporation"
"CW","Corporation","Corporation"
"CW","Domestic Profit Corporation","Domestic Profit Corporation"
"CW","Foreign Corporation","Foreign Corporation"
"CW","Foreign Limited Liability Company","Foreign Limited Liability Company"
"CW","Foreign Limited Partnerships","Foreign Limited Partnerships"
"CW","General Partnership","General Partnership"
"CW","Governmental Unit","Governmental Unit"
"CW","Individual","Individual"
"CW","Joint Venture","Joint Venture"
"CW","Limited Corporation","Limited Corporation"
"CW","Limited Liability Company (LLC)","Limited Liability Company (LLC)"
"CW","Limited Liability Partnerships (LLP)","Limited Liability Partnerships (LLP)"
"CW","Limited Partnerships (LP)","Limited Partnerships (LP)"
"CW","Nonprofit Corporation","Nonprofit Corporation"
"CW","Other","Other"
"CW","Partnership","Partnership"
"CW","Professional Corporation","Professional Corporation"
"CW","Religious Organization","Religious Organization"
"CW","S Corporation","S Corporation"
"CW","Sole Proprietorship","Sole Proprietorship"
