"StateCode","TypeOfRisk","MaxPeriod","MonthlyLimitOfIndemnity","DisplayValue","DataValue"
"CW","Mercantile and Non-manufacturing","Yes","Not Applicable","Not Applicable","Not Applicable"
"CW","Mercantile and Non-manufacturing","No","1/3","Not Applicable","Not Applicable"
"CW","Mercantile and Non-manufacturing","No","1/3","90","90"
"CW","Mercantile and Non-manufacturing","No","1/3","120","120"
"CW","Mercantile and Non-manufacturing","No","1/3","150","150"
"CW","Mercantile and Non-manufacturing","No","1/3","180","180"
"CW","Mercantile and Non-manufacturing","No","1/3","270","270"
"CW","Mercantile and Non-manufacturing","No","1/3","365","365"
"CW","Mercantile and Non-manufacturing","No","1/3","450","450"
"CW","Mercantile and Non-manufacturing","No","1/3","540","540"
"CW","Mercantile and Non-manufacturing","No","1/3","630","630"
"CW","Mercantile and Non-manufacturing","No","1/3","730","730"
"CW","Mercantile and Non-manufacturing","No","1/4","Not Applicable","Not Applicable"
"CW","Mercantile and Non-manufacturing","No","1/4","90","90"
"CW","Mercantile and Non-manufacturing","No","1/4","120","120"
"CW","Mercantile and Non-manufacturing","No","1/4","150","150"
"CW","Mercantile and Non-manufacturing","No","1/4","180","180"
"CW","Mercantile and Non-manufacturing","No","1/4","270","270"
"CW","Mercantile and Non-manufacturing","No","1/4","365","365"
"CW","Mercantile and Non-manufacturing","No","1/4","450","450"
"CW","Mercantile and Non-manufacturing","No","1/4","540","540"
"CW","Mercantile and Non-manufacturing","No","1/4","630","630"
"CW","Mercantile and Non-manufacturing","No","1/4","730","730"
"CW","Mercantile and Non-manufacturing","No","1/6","Not Applicable","Not Applicable"
"CW","Mercantile and Non-manufacturing","No","1/6","90","90"
"CW","Mercantile and Non-manufacturing","No","1/6","120","120"
"CW","Mercantile and Non-manufacturing","No","1/6","150","150"
"CW","Mercantile and Non-manufacturing","No","1/6","180","180"
"CW","Mercantile and Non-manufacturing","No","1/6","270","270"
"CW","Mercantile and Non-manufacturing","No","1/6","365","365"
"CW","Mercantile and Non-manufacturing","No","1/6","450","450"
"CW","Mercantile and Non-manufacturing","No","1/6","540","540"
"CW","Mercantile and Non-manufacturing","No","1/6","630","630"
"CW","Mercantile and Non-manufacturing","No","1/6","730","730"
"CW","Mercantile and Non-manufacturing","No","Not Applicable","Not Applicable","Not Applicable"
"CW","Mercantile and Non-manufacturing","No","Not Applicable","90","90"
"CW","Mercantile and Non-manufacturing","No","Not Applicable","120","120"
"CW","Mercantile and Non-manufacturing","No","Not Applicable","150","150"
"CW","Mercantile and Non-manufacturing","No","Not Applicable","180","180"
"CW","Mercantile and Non-manufacturing","No","Not Applicable","270","270"
"CW","Mercantile and Non-manufacturing","No","Not Applicable","365","365"
"CW","Mercantile and Non-manufacturing","No","Not Applicable","450","450"
"CW","Mercantile and Non-manufacturing","No","Not Applicable","540","540"
"CW","Mercantile and Non-manufacturing","No","Not Applicable","630","630"
"CW","Mercantile and Non-manufacturing","No","Not Applicable","730","730"
"CW","Mercantile and Non-manufacturing","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"CW","Mercantile and Non-manufacturing","Not Applicable","Not Applicable","90","90"
"CW","Mercantile and Non-manufacturing","Not Applicable","Not Applicable","120","120"
"CW","Mercantile and Non-manufacturing","Not Applicable","Not Applicable","150","150"
"CW","Mercantile and Non-manufacturing","Not Applicable","Not Applicable","180","180"
"CW","Mercantile and Non-manufacturing","Not Applicable","Not Applicable","270","270"
"CW","Mercantile and Non-manufacturing","Not Applicable","Not Applicable","365","365"
"CW","Mercantile and Non-manufacturing","Not Applicable","Not Applicable","450","450"
"CW","Mercantile and Non-manufacturing","Not Applicable","Not Applicable","540","540"
"CW","Mercantile and Non-manufacturing","Not Applicable","Not Applicable","630","630"
"CW","Mercantile and Non-manufacturing","Not Applicable","Not Applicable","730","730"
"CW","Manufacturing","Yes","Not Applicable","Not Applicable","Not Applicable"
"CW","Manufacturing","No","1/3","Not Applicable","Not Applicable"
"CW","Manufacturing","No","1/3","90","90"
"CW","Manufacturing","No","1/3","120","120"
"CW","Manufacturing","No","1/3","150","150"
"CW","Manufacturing","No","1/3","180","180"
"CW","Manufacturing","No","1/3","270","270"
"CW","Manufacturing","No","1/3","365","365"
"CW","Manufacturing","No","1/3","450","450"
"CW","Manufacturing","No","1/3","540","540"
"CW","Manufacturing","No","1/3","630","630"
"CW","Manufacturing","No","1/3","730","730"
"CW","Manufacturing","No","1/4","Not Applicable","Not Applicable"
"CW","Manufacturing","No","1/4","90","90"
"CW","Manufacturing","No","1/4","120","120"
"CW","Manufacturing","No","1/4","150","150"
"CW","Manufacturing","No","1/4","180","180"
"CW","Manufacturing","No","1/4","270","270"
"CW","Manufacturing","No","1/4","365","365"
"CW","Manufacturing","No","1/4","450","450"
"CW","Manufacturing","No","1/4","540","540"
"CW","Manufacturing","No","1/4","630","630"
"CW","Manufacturing","No","1/4","730","730"
"CW","Manufacturing","No","1/6","Not Applicable","Not Applicable"
"CW","Manufacturing","No","1/6","90","90"
"CW","Manufacturing","No","1/6","120","120"
"CW","Manufacturing","No","1/6","150","150"
"CW","Manufacturing","No","1/6","180","180"
"CW","Manufacturing","No","1/6","270","270"
"CW","Manufacturing","No","1/6","365","365"
"CW","Manufacturing","No","1/6","450","450"
"CW","Manufacturing","No","1/6","540","540"
"CW","Manufacturing","No","1/6","630","630"
"CW","Manufacturing","No","1/6","730","730"
"CW","Manufacturing","No","Not Applicable","Not Applicable","Not Applicable"
"CW","Manufacturing","No","Not Applicable","90","90"
"CW","Manufacturing","No","Not Applicable","120","120"
"CW","Manufacturing","No","Not Applicable","150","150"
"CW","Manufacturing","No","Not Applicable","180","180"
"CW","Manufacturing","No","Not Applicable","270","270"
"CW","Manufacturing","No","Not Applicable","365","365"
"CW","Manufacturing","No","Not Applicable","450","450"
"CW","Manufacturing","No","Not Applicable","540","540"
"CW","Manufacturing","No","Not Applicable","630","630"
"CW","Manufacturing","No","Not Applicable","730","730"
"CW","Manufacturing","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"CW","Manufacturing","Not Applicable","Not Applicable","90","90"
"CW","Manufacturing","Not Applicable","Not Applicable","120","120"
"CW","Manufacturing","Not Applicable","Not Applicable","150","150"
"CW","Manufacturing","Not Applicable","Not Applicable","180","180"
"CW","Manufacturing","Not Applicable","Not Applicable","270","270"
"CW","Manufacturing","Not Applicable","Not Applicable","365","365"
"CW","Manufacturing","Not Applicable","Not Applicable","450","450"
"CW","Manufacturing","Not Applicable","Not Applicable","540","540"
"CW","Manufacturing","Not Applicable","Not Applicable","630","630"
"CW","Manufacturing","Not Applicable","Not Applicable","730","730"
"CW","Mining","Yes","Not Applicable","Not Applicable","Not Applicable"
"CW","Mining","No","1/3","Not Applicable","Not Applicable"
"CW","Mining","No","1/3","90","90"
"CW","Mining","No","1/3","120","120"
"CW","Mining","No","1/3","150","150"
"CW","Mining","No","1/3","180","180"
"CW","Mining","No","1/3","270","270"
"CW","Mining","No","1/3","365","365"
"CW","Mining","No","1/3","450","450"
"CW","Mining","No","1/3","540","540"
"CW","Mining","No","1/3","630","630"
"CW","Mining","No","1/3","730","730"
"CW","Mining","No","1/4","Not Applicable","Not Applicable"
"CW","Mining","No","1/4","90","90"
"CW","Mining","No","1/4","120","120"
"CW","Mining","No","1/4","150","150"
"CW","Mining","No","1/4","180","180"
"CW","Mining","No","1/4","270","270"
"CW","Mining","No","1/4","365","365"
"CW","Mining","No","1/4","450","450"
"CW","Mining","No","1/4","540","540"
"CW","Mining","No","1/4","630","630"
"CW","Mining","No","1/4","730","730"
"CW","Mining","No","1/6","Not Applicable","Not Applicable"
"CW","Mining","No","1/6","90","90"
"CW","Mining","No","1/6","120","120"
"CW","Mining","No","1/6","150","150"
"CW","Mining","No","1/6","180","180"
"CW","Mining","No","1/6","270","270"
"CW","Mining","No","1/6","365","365"
"CW","Mining","No","1/6","450","450"
"CW","Mining","No","1/6","540","540"
"CW","Mining","No","1/6","630","630"
"CW","Mining","No","1/6","730","730"
"CW","Mining","No","Not Applicable","Not Applicable","Not Applicable"
"CW","Mining","No","Not Applicable","90","90"
"CW","Mining","No","Not Applicable","120","120"
"CW","Mining","No","Not Applicable","150","150"
"CW","Mining","No","Not Applicable","180","180"
"CW","Mining","No","Not Applicable","270","270"
"CW","Mining","No","Not Applicable","365","365"
"CW","Mining","No","Not Applicable","450","450"
"CW","Mining","No","Not Applicable","540","540"
"CW","Mining","No","Not Applicable","630","630"
"CW","Mining","No","Not Applicable","730","730"
"CW","Mining","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"CW","Mining","Not Applicable","Not Applicable","90","90"
"CW","Mining","Not Applicable","Not Applicable","120","120"
"CW","Mining","Not Applicable","Not Applicable","150","150"
"CW","Mining","Not Applicable","Not Applicable","180","180"
"CW","Mining","Not Applicable","Not Applicable","270","270"
"CW","Mining","Not Applicable","Not Applicable","365","365"
"CW","Mining","Not Applicable","Not Applicable","450","450"
"CW","Mining","Not Applicable","Not Applicable","540","540"
"CW","Mining","Not Applicable","Not Applicable","630","630"
"CW","Mining","Not Applicable","Not Applicable","730","730"
"CW","Combined Educational Institutes and Rental Operations","Yes","Not Applicable","Not Applicable","Not Applicable"
"CW","Combined Educational Institutes and Rental Operations","No","1/3","Not Applicable","Not Applicable"
"CW","Combined Educational Institutes and Rental Operations","No","1/3","90","90"
"CW","Combined Educational Institutes and Rental Operations","No","1/3","120","120"
"CW","Combined Educational Institutes and Rental Operations","No","1/3","150","150"
"CW","Combined Educational Institutes and Rental Operations","No","1/3","180","180"
"CW","Combined Educational Institutes and Rental Operations","No","1/3","270","270"
"CW","Combined Educational Institutes and Rental Operations","No","1/3","365","365"
"CW","Combined Educational Institutes and Rental Operations","No","1/3","450","450"
"CW","Combined Educational Institutes and Rental Operations","No","1/3","540","540"
"CW","Combined Educational Institutes and Rental Operations","No","1/3","630","630"
"CW","Combined Educational Institutes and Rental Operations","No","1/3","730","730"
"CW","Combined Educational Institutes and Rental Operations","No","1/4","Not Applicable","Not Applicable"
"CW","Combined Educational Institutes and Rental Operations","No","1/4","90","90"
"CW","Combined Educational Institutes and Rental Operations","No","1/4","120","120"
"CW","Combined Educational Institutes and Rental Operations","No","1/4","150","150"
