"StateCode","ExtendedPeriod","DisplayValue","DataValue"
"CW","60","No","No"
"CW","60","Yes","Yes"
"CW","90","No","No"
"CW","90","Yes","Yes"
"CW","120","No","No"
"CW","120","Yes","Yes"
"CW","150","No","No"
"CW","150","Yes","Yes"
"CW","180","No","No"
"CW","180","Yes","Yes"
"CW","270","No","No"
"CW","270","Yes","Yes"
"CW","365","No","No"
"CW","365","Yes","Yes"
"CW","450","No","No"
"CW","450","Yes","Yes"
"CW","540","No","No"
"CW","540","Yes","Yes"
"CW","630","No","No"
"CW","630","Yes","Yes"
"CW","730","No","No"
"CW","730","Yes","Yes"
"CW","Not Applicable","No","No"
