"StateCode","NFIPFloodZone","DisplayValue","DataValue"
"CW","A","A","A"
"CW","AE","A","A"
"CW","A1-A30","A","A"
"CW","A99","A","A"
"CW","AH","A","A"
"CW","AHB","A","A"
"CW","AO","A","A"
"CW","AOB","A","A"
"CW","V","A","A"
"CW","VE","A","A"
"CW","V1-V30","A","A"
"CW","AR","A","A"
"CW","AR/AE","A","A"
"CW","AR/A1-30","A","A"
"CW","AR/AH","A","A"
"CW","AR/AO","A","A"
"CW","AR/A","A","A"
"CW","X (shaded)","X500","X500"
"CW","B","X500","X500"
"CW","X500","X500","X500"
"CW","X (unshaded)","X","X"
"CW","C","X","X"
"CW","D","D","D"
"CW","unmapped","D","D"
"CW","communities that do not participate in NFIP","D","D"
