"StateCode","FungusWetRotDryRotBacteriaPolicy","FungusWetRotDryRotBacteriaIncrdPeriodRestoration","DisplayValue","DataValue"
"CW","15,000 Sub Limit","Not Applicable","No","No"
"CW","Policy Limit","Not Applicable","No","No"
"CW","Policy Limit","60","No","No"
"CW","Policy Limit","60","Yes","Yes"
"CW","Policy Limit","90","No","No"
"CW","Policy Limit","90","Yes","Yes"
"CW","Policy Limit","120","No","No"
"CW","Policy Limit","120","Yes","Yes"
"CW","Policy Limit","150","No","No"
"CW","Policy Limit","150","Yes","Yes"
"CW","Policy Limit","180","No","No"
"CW","Policy Limit","180","Yes","Yes"
"CW","Separate Limits","Not Applicable","No","No"
"CW","Separate Limits","60","No","No"
"CW","Separate Limits","60","Yes","Yes"
"CW","Separate Limits","90","No","No"
"CW","Separate Limits","90","Yes","Yes"
"CW","Separate Limits","120","No","No"
"CW","Separate Limits","120","Yes","Yes"
"CW","Separate Limits","150","No","No"
"CW","Separate Limits","150","Yes","Yes"
"CW","Separate Limits","180","No","No"
"CW","Separate Limits","180","Yes","Yes"
"CW","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
