"StateCode","CovTypeBldg","BlktRated","DisplayValue","DataValue"
"CW","Building","No","No","No"
"CW","Building","Yes","No","No"
"CW","Building","Yes","Yes","Yes"
"CW","Condominium Association","No","No","No"
"CW","Condominium Association","Yes","No","No"
"CW","Condominium Association","Yes","Yes","Yes"
"CW","Builders Risk","No","No","No"
"CW","Builders Risk","Yes","No","No"
"CW","Builders Risk","Yes","Yes","Yes"
"CW","Legal Liability","No","No","No"
"CW","Legal Liability","Yes","No","No"
"CW","Leasehold Interest","Yes","No","No"
"CW","Leasehold Interest","No","No","No"
"CW","Improvements and Betterments","No","No","No"
"CW","Improvements and Betterments","Yes","No","No"
"CW","Improvements and Betterments","Yes","Yes","Yes"
"CW","No Coverage","No","Not Applicable","Not Applicable"
"CW","No Coverage","Yes","Not Applicable","Not Applicable"
