"StateCode","CovForm","CovTypePrsnlProp","BlktRated","DisplayValue","DataValue"
"CW","Building and Personal Property Coverage Form","All Other Personal Property","No","No","No"
"CW","Building and Personal Property Coverage Form","All Other Personal Property","Yes","No","No"
"CW","Building and Personal Property Coverage Form","All Other Personal Property","Yes","Yes","Yes"
"CW","Building and Personal Property Coverage Form","All Personal Property","No","No","No"
"CW","Building and Personal Property Coverage Form","All Personal Property","Yes","No","No"
"CW","Building and Personal Property Coverage Form","All Personal Property","Yes","Yes","Yes"
"CW","Building and Personal Property Coverage Form","Contents Except Stock","No","No","No"
"CW","Building and Personal Property Coverage Form","Contents Except Stock","Yes","No","No"
"CW","Building and Personal Property Coverage Form","Contents Except Stock","Yes","Yes","Yes"
"CW","Building and Personal Property Coverage Form","Fixtures","No","No","No"
"CW","Building and Personal Property Coverage Form","Fixtures","Yes","No","No"
"CW","Building and Personal Property Coverage Form","Fixtures","Yes","Yes","Yes"
"CW","Building and Personal Property Coverage Form","Furniture","No","No","No"
"CW","Building and Personal Property Coverage Form","Furniture","Yes","No","No"
"CW","Building and Personal Property Coverage Form","Furniture","Yes","Yes","Yes"
"CW","Building and Personal Property Coverage Form","Machinery and Equipment","No","No","No"
"CW","Building and Personal Property Coverage Form","Machinery and Equipment","Yes","No","No"
"CW","Building and Personal Property Coverage Form","Machinery and Equipment","Yes","Yes","Yes"
"CW","Building and Personal Property Coverage Form","Non-Owned Trailers","No","No","No"
"CW","Building and Personal Property Coverage Form","Non-Owned Trailers","Yes","No","No"
"CW","Building and Personal Property Coverage Form","Personal Property in a Vault with an Approved Fire Rating","No","No","No"
"CW","Building and Personal Property Coverage Form","Personal Property in a Vault with an Approved Fire Rating","Yes","No","No"
"CW","Building and Personal Property Coverage Form","Personal Property in a Vault with an Approved Fire Rating","Yes","Yes","Yes"
"CW","Building and Personal Property Coverage Form","Property of Others","No","No","No"
"CW","Building and Personal Property Coverage Form","Property of Others","Yes","No","No"
"CW","Building and Personal Property Coverage Form","Property of Others","Yes","Yes","Yes"
"CW","Building and Personal Property Coverage Form","Property Other than Categories Listed Above","No","No","No"
"CW","Building and Personal Property Coverage Form","Property Other than Categories Listed Above","Yes","No","No"
"CW","Building and Personal Property Coverage Form","Property Other than Categories Listed Above","Yes","Yes","Yes"
"CW","Building and Personal Property Coverage Form","Stock","No","No","No"
"CW","Building and Personal Property Coverage Form","Stock","Yes","No","No"
"CW","Building and Personal Property Coverage Form","Stock","Yes","Yes","Yes"
"CW","Building and Personal Property Coverage Form","Tenants Improvements and Betterments","No","No","No"
"CW","Building and Personal Property Coverage Form","Tenants Improvements and Betterments","Yes","No","No"
"CW","Building and Personal Property Coverage Form","Tenants Improvements and Betterments","Yes","Yes","Yes"
"CW","Building and Personal Property Coverage Form","Valuable Papers and Records - Other Than Electronic Data","No","No","No"
"CW","Building and Personal Property Coverage Form","Valuable Papers and Records - Other Than Electronic Data","Yes","No","No"
"CW","Class Rated Building Only, No Personal Property Coverage","Not Applicable","No","Not Applicable","Not Applicable"
"CW","Class Rated Building Only, No Personal Property Coverage","Not Applicable","Yes","Not Applicable","Not Applicable"
"CW","Class Rated Building Only, No Personal Property Coverage","Personal Property in a Vault with an Approved Fire Rating","No","No","No"
"CW","Class Rated Building Only, No Personal Property Coverage","Personal Property in a Vault with an Approved Fire Rating","Yes","No","No"
"CW","Class Rated Building Only, No Personal Property Coverage","Personal Property in a Vault with an Approved Fire Rating","Yes","Yes","Yes"
"CW","Condominium Association Coverage Form","All Other Personal Property","No","No","No"
"CW","Condominium Association Coverage Form","All Other Personal Property","Yes","No","No"
"CW","Condominium Association Coverage Form","All Other Personal Property","Yes","Yes","Yes"
"CW","Condominium Association Coverage Form","All Personal Property","No","No","No"
"CW","Condominium Association Coverage Form","All Personal Property","Yes","No","No"
"CW","Condominium Association Coverage Form","All Personal Property","Yes","Yes","Yes"
"CW","Condominium Association Coverage Form","Personal Property in a Vault with an Approved Fire Rating","No","No","No"
"CW","Condominium Association Coverage Form","Personal Property in a Vault with an Approved Fire Rating","Yes","No","No"
"CW","Condominium Association Coverage Form","Personal Property in a Vault with an Approved Fire Rating","Yes","Yes","Yes"
"CW","Condominium Commercial Unit Owners Coverage","All Other Personal Property","No","No","No"
"CW","Condominium Commercial Unit Owners Coverage","All Other Personal Property","Yes","No","No"
"CW","Condominium Commercial Unit Owners Coverage","All Other Personal Property","Yes","Yes","Yes"
"CW","Condominium Commercial Unit Owners Coverage","All Personal Property","No","No","No"
"CW","Condominium Commercial Unit Owners Coverage","All Personal Property","Yes","No","No"
"CW","Condominium Commercial Unit Owners Coverage","All Personal Property","Yes","Yes","Yes"
"CW","Condominium Commercial Unit Owners Coverage","Contents Except Stock","No","No","No"
"CW","Condominium Commercial Unit Owners Coverage","Contents Except Stock","Yes","No","No"
"CW","Condominium Commercial Unit Owners Coverage","Contents Except Stock","Yes","Yes","Yes"
"CW","Condominium Commercial Unit Owners Coverage","Fixtures, Improvements and Alterations","No","No","No"
"CW","Condominium Commercial Unit Owners Coverage","Fixtures, Improvements and Alterations","Yes","No","No"
"CW","Condominium Commercial Unit Owners Coverage","Fixtures, Improvements and Alterations","Yes","Yes","Yes"
"CW","Condominium Commercial Unit Owners Coverage","Furniture","No","No","No"
"CW","Condominium Commercial Unit Owners Coverage","Furniture","Yes","No","No"
"CW","Condominium Commercial Unit Owners Coverage","Furniture","Yes","Yes","Yes"
"CW","Condominium Commercial Unit Owners Coverage","Machinery and Equipment","No","No","No"
"CW","Condominium Commercial Unit Owners Coverage","Machinery and Equipment","Yes","No","No"
"CW","Condominium Commercial Unit Owners Coverage","Machinery and Equipment","Yes","Yes","Yes"
"CW","Condominium Commercial Unit Owners Coverage","Non-Owned Trailers","No","No","No"
"CW","Condominium Commercial Unit Owners Coverage","Non-Owned Trailers","Yes","No","No"
"CW","Condominium Commercial Unit Owners Coverage","Personal Property in a Vault with an Approved Fire Rating","No","No","No"
"CW","Condominium Commercial Unit Owners Coverage","Personal Property in a Vault with an Approved Fire Rating","Yes","No","No"
"CW","Condominium Commercial Unit Owners Coverage","Personal Property in a Vault with an Approved Fire Rating","Yes","Yes","Yes"
"CW","Condominium Commercial Unit Owners Coverage","Property of Others","No","No","No"
"CW","Condominium Commercial Unit Owners Coverage","Property of Others","Yes","No","No"
"CW","Condominium Commercial Unit Owners Coverage","Property of Others","Yes","Yes","Yes"
"CW","Condominium Commercial Unit Owners Coverage","Property Other than Categories Listed Above","No","No","No"
"CW","Condominium Commercial Unit Owners Coverage","Property Other than Categories Listed Above","Yes","No","No"
"CW","Condominium Commercial Unit Owners Coverage","Property Other than Categories Listed Above","Yes","Yes","Yes"
"CW","Condominium Commercial Unit Owners Coverage","Stock","No","No","No"
"CW","Condominium Commercial Unit Owners Coverage","Stock","Yes","No","No"
"CW","Condominium Commercial Unit Owners Coverage","Stock","Yes","Yes","Yes"
"CW","Condominium Commercial Unit Owners Coverage","Valuable Papers and Records - Other Than Electronic Data","No","No","No"
"CW","Condominium Commercial Unit Owners Coverage","Valuable Papers and Records - Other Than Electronic Data","Yes","No","No"
"CW","Legal Liability Coverage Form","Personal Property in a Vault with an Approved Fire Rating","No","No","No"
"CW","Legal Liability Coverage Form","Personal Property in a Vault with an Approved Fire Rating","Yes","No","No"
"CW","Legal Liability Coverage Form","Personal Property in a Vault with an Approved Fire Rating","Yes","Yes","Yes"
"CW","Legal Liability Coverage Form","Personal Property of Others","No","No","No"
"CW","Legal Liability Coverage Form","Personal Property of Others","Yes","No","No"
"CW","Standard Property Policy","All Other Personal Property","No","No","No"
"CW","Standard Property Policy","All Other Personal Property","Yes","No","No"
"CW","Standard Property Policy","All Other Personal Property","Yes","Yes","Yes"
