"StateCode","PolicyType","BlanketType","DisplayValue","DataValue"
"CW","Commercial Property Policy","Building Only","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Building Only","2%","2%"
"CW","Commercial Property Policy","Building Only","4%","4%"
"CW","Commercial Property Policy","Building Only","6%","6%"
"CW","Commercial Property Policy","Building Only","8%","8%"
"CW","Commercial Property Policy","Building Only","10%","10%"
"CW","Commercial Property Policy","Building Only","12%","12%"
"CW","Commercial Property Policy","Building Only","14%","14%"
"CW","Commercial Property Policy","Building Only","16%","16%"
"CW","Commercial Property Policy","Building Only","18%","18%"
"CW","Commercial Property Policy","Building Only","20%","20%"
"CW","Commercial Property Policy","Building Only","22%","22%"
"CW","Commercial Property Policy","Building Only","24%","24%"
"CW","Commercial Property Policy","Building Only","26%","26%"
"CW","Commercial Property Policy","Building Only","28%","28%"
"CW","Commercial Property Policy","Personal Property Only","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Personal Property Only","2%","2%"
"CW","Commercial Property Policy","Personal Property Only","4%","4%"
"CW","Commercial Property Policy","Personal Property Only","6%","6%"
"CW","Commercial Property Policy","Personal Property Only","8%","8%"
"CW","Commercial Property Policy","Personal Property Only","10%","10%"
"CW","Commercial Property Policy","Personal Property Only","12%","12%"
"CW","Commercial Property Policy","Personal Property Only","14%","14%"
"CW","Commercial Property Policy","Personal Property Only","16%","16%"
"CW","Commercial Property Policy","Personal Property Only","18%","18%"
"CW","Commercial Property Policy","Personal Property Only","20%","20%"
"CW","Commercial Property Policy","Personal Property Only","22%","22%"
"CW","Commercial Property Policy","Personal Property Only","24%","24%"
"CW","Commercial Property Policy","Personal Property Only","26%","26%"
"CW","Commercial Property Policy","Personal Property Only","28%","28%"
"CW","Commercial Property Policy","Building & Personal Property Combined","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Building & Personal Property Combined","2%","2%"
"CW","Commercial Property Policy","Building & Personal Property Combined","4%","4%"
"CW","Commercial Property Policy","Building & Personal Property Combined","6%","6%"
"CW","Commercial Property Policy","Building & Personal Property Combined","8%","8%"
"CW","Commercial Property Policy","Building & Personal Property Combined","10%","10%"
"CW","Commercial Property Policy","Building & Personal Property Combined","12%","12%"
"CW","Commercial Property Policy","Building & Personal Property Combined","14%","14%"
"CW","Commercial Property Policy","Building & Personal Property Combined","16%","16%"
"CW","Commercial Property Policy","Building & Personal Property Combined","18%","18%"
"CW","Commercial Property Policy","Building & Personal Property Combined","20%","20%"
"CW","Commercial Property Policy","Building & Personal Property Combined","22%","22%"
"CW","Commercial Property Policy","Building & Personal Property Combined","24%","24%"
"CW","Commercial Property Policy","Building & Personal Property Combined","26%","26%"
"CW","Commercial Property Policy","Building & Personal Property Combined","28%","28%"
"CW","Commercial Property Policy","Business Income With Extra Expense","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Business Income Without Extra Expense","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Builders Risk","Not Applicable","Not Applicable"
"CW","Standard Property Policy","Building Only","Not Applicable","Not Applicable"
"CW","Standard Property Policy","Personal Property Only","Not Applicable","Not Applicable"
"CW","Standard Property Policy","Building & Personal Property Combined","Not Applicable","Not Applicable"
"CW","Standard Property Policy","Builders Risk","Not Applicable","Not Applicable"
