"StateCode","PolicyType","CovTypeBldg","IncludedInBlktBldg","EQCovIndicatorBldg","DisplayValue","DataValue"
"CW","Commercial Property Policy","Builders Risk","No","No Coverage","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Builders Risk","No","Yes, Included in Blanket","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Builders Risk","No","Yes, Not Included in Blanket","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Builders Risk","Yes","No Coverage","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Builders Risk","Yes","Yes, Included in Blanket","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Builders Risk","Yes","Yes, Not Included in Blanket","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Building","No","No Coverage","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Building","No","No Coverage","2%","2%"
"CW","Commercial Property Policy","Building","No","No Coverage","4%","4%"
"CW","Commercial Property Policy","Building","No","No Coverage","6%","6%"
"CW","Commercial Property Policy","Building","No","No Coverage","8%","8%"
"CW","Commercial Property Policy","Building","No","No Coverage","10%","10%"
"CW","Commercial Property Policy","Building","No","No Coverage","12%","12%"
"CW","Commercial Property Policy","Building","No","No Coverage","14%","14%"
"CW","Commercial Property Policy","Building","No","No Coverage","16%","16%"
"CW","Commercial Property Policy","Building","No","No Coverage","18%","18%"
"CW","Commercial Property Policy","Building","No","No Coverage","20%","20%"
"CW","Commercial Property Policy","Building","No","No Coverage","22%","22%"
"CW","Commercial Property Policy","Building","No","No Coverage","24%","24%"
"CW","Commercial Property Policy","Building","No","No Coverage","26%","26%"
"CW","Commercial Property Policy","Building","No","No Coverage","28%","28%"
"CW","Commercial Property Policy","Building","No","Yes, Included in Blanket","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Building","No","Yes, Included in Blanket","2%","2%"
"CW","Commercial Property Policy","Building","No","Yes, Included in Blanket","4%","4%"
"CW","Commercial Property Policy","Building","No","Yes, Included in Blanket","6%","6%"
"CW","Commercial Property Policy","Building","No","Yes, Included in Blanket","8%","8%"
"CW","Commercial Property Policy","Building","No","Yes, Included in Blanket","10%","10%"
"CW","Commercial Property Policy","Building","No","Yes, Included in Blanket","12%","12%"
"CW","Commercial Property Policy","Building","No","Yes, Included in Blanket","14%","14%"
"CW","Commercial Property Policy","Building","No","Yes, Included in Blanket","16%","16%"
"CW","Commercial Property Policy","Building","No","Yes, Included in Blanket","18%","18%"
"CW","Commercial Property Policy","Building","No","Yes, Included in Blanket","20%","20%"
"CW","Commercial Property Policy","Building","No","Yes, Included in Blanket","22%","22%"
"CW","Commercial Property Policy","Building","No","Yes, Included in Blanket","24%","24%"
"CW","Commercial Property Policy","Building","No","Yes, Included in Blanket","26%","26%"
"CW","Commercial Property Policy","Building","No","Yes, Included in Blanket","28%","28%"
"CW","Commercial Property Policy","Building","No","Yes, Not Included in Blanket","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Building","No","Yes, Not Included in Blanket","2%","2%"
"CW","Commercial Property Policy","Building","No","Yes, Not Included in Blanket","4%","4%"
"CW","Commercial Property Policy","Building","No","Yes, Not Included in Blanket","6%","6%"
"CW","Commercial Property Policy","Building","No","Yes, Not Included in Blanket","8%","8%"
"CW","Commercial Property Policy","Building","No","Yes, Not Included in Blanket","10%","10%"
"CW","Commercial Property Policy","Building","No","Yes, Not Included in Blanket","12%","12%"
"CW","Commercial Property Policy","Building","No","Yes, Not Included in Blanket","14%","14%"
"CW","Commercial Property Policy","Building","No","Yes, Not Included in Blanket","16%","16%"
"CW","Commercial Property Policy","Building","No","Yes, Not Included in Blanket","18%","18%"
"CW","Commercial Property Policy","Building","No","Yes, Not Included in Blanket","20%","20%"
"CW","Commercial Property Policy","Building","No","Yes, Not Included in Blanket","22%","22%"
"CW","Commercial Property Policy","Building","No","Yes, Not Included in Blanket","24%","24%"
"CW","Commercial Property Policy","Building","No","Yes, Not Included in Blanket","26%","26%"
"CW","Commercial Property Policy","Building","No","Yes, Not Included in Blanket","28%","28%"
"CW","Commercial Property Policy","Building","Yes","No Coverage","Blanket Inflation Guard Value Applies","Blanket Inflation Guard Value Applies"
"CW","Commercial Property Policy","Building","Yes","Yes, Included in Blanket","Blanket Inflation Guard Value Applies","Blanket Inflation Guard Value Applies"
"CW","Commercial Property Policy","Building","Yes","Yes, Not Included in Blanket","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Building","Yes","Yes, Not Included in Blanket","2%","2%"
"CW","Commercial Property Policy","Building","Yes","Yes, Not Included in Blanket","4%","4%"
"CW","Commercial Property Policy","Building","Yes","Yes, Not Included in Blanket","6%","6%"
"CW","Commercial Property Policy","Building","Yes","Yes, Not Included in Blanket","8%","8%"
"CW","Commercial Property Policy","Building","Yes","Yes, Not Included in Blanket","10%","10%"
"CW","Commercial Property Policy","Building","Yes","Yes, Not Included in Blanket","12%","12%"
"CW","Commercial Property Policy","Building","Yes","Yes, Not Included in Blanket","14%","14%"
"CW","Commercial Property Policy","Building","Yes","Yes, Not Included in Blanket","16%","16%"
"CW","Commercial Property Policy","Building","Yes","Yes, Not Included in Blanket","18%","18%"
"CW","Commercial Property Policy","Building","Yes","Yes, Not Included in Blanket","20%","20%"
"CW","Commercial Property Policy","Building","Yes","Yes, Not Included in Blanket","22%","22%"
"CW","Commercial Property Policy","Building","Yes","Yes, Not Included in Blanket","24%","24%"
"CW","Commercial Property Policy","Building","Yes","Yes, Not Included in Blanket","26%","26%"
"CW","Commercial Property Policy","Building","Yes","Yes, Not Included in Blanket","28%","28%"
"CW","Commercial Property Policy","Condominium Association","No","No Coverage","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Condominium Association","No","No Coverage","2%","2%"
"CW","Commercial Property Policy","Condominium Association","No","No Coverage","4%","4%"
"CW","Commercial Property Policy","Condominium Association","No","No Coverage","6%","6%"
"CW","Commercial Property Policy","Condominium Association","No","No Coverage","8%","8%"
"CW","Commercial Property Policy","Condominium Association","No","No Coverage","10%","10%"
"CW","Commercial Property Policy","Condominium Association","No","No Coverage","12%","12%"
"CW","Commercial Property Policy","Condominium Association","No","No Coverage","14%","14%"
"CW","Commercial Property Policy","Condominium Association","No","No Coverage","16%","16%"
"CW","Commercial Property Policy","Condominium Association","No","No Coverage","18%","18%"
"CW","Commercial Property Policy","Condominium Association","No","No Coverage","20%","20%"
"CW","Commercial Property Policy","Condominium Association","No","No Coverage","22%","22%"
"CW","Commercial Property Policy","Condominium Association","No","No Coverage","24%","24%"
"CW","Commercial Property Policy","Condominium Association","No","No Coverage","26%","26%"
