"StateCode","CovFormBusnIncome","TypeOfRisk","IncludedInBlktBusnIncome","EQCovIndicatorBusnIncome","DisplayValue","DataValue"
"CW","Business Income With Extra Expense","Combined Manufacturing and Mercantile Operations","Yes","No Coverage","Not Applicable","Not Applicable"
"CW","Business Income With Extra Expense","Combined Manufacturing and Mercantile Operations","Yes","Yes, Included in Blanket","Not Applicable","Not Applicable"
"CW","Business Income With Extra Expense","Combined Manufacturing and Rental Operations","Yes","No Coverage","Not Applicable","Not Applicable"
"CW","Business Income With Extra Expense","Combined Manufacturing and Rental Operations","Yes","Yes, Included in Blanket","Not Applicable","Not Applicable"
"CW","Business Income With Extra Expense","Combined Mercantile and Rental Operations","Yes","No Coverage","Not Applicable","Not Applicable"
"CW","Business Income With Extra Expense","Combined Mercantile and Rental Operations","Yes","Yes, Included in Blanket","Not Applicable","Not Applicable"
"CW","Business Income With Extra Expense","Combined Educational Institutes and Rental Operations","No","No Coverage","Not Applicable","Not Applicable"
"CW","Business Income With Extra Expense","Combined Educational Institutes and Rental Operations","No","Yes, Included in Blanket","Not Applicable","Not Applicable"
"CW","Business Income With Extra Expense","Combined Educational Institutes and Rental Operations","No","Yes, Not Included in Blanket","Not Applicable","Not Applicable"
"CW","Business Income With Extra Expense","Combined Educational Institutes and Rental Operations","Yes","No Coverage","Not Applicable","Not Applicable"
"CW","Business Income With Extra Expense","Combined Educational Institutes and Rental Operations","Yes","Yes, Included in Blanket","Not Applicable","Not Applicable"
"CW","Business Income With Extra Expense","Combined Educational Institutes and Rental Operations","Yes","Yes, Not Included in Blanket","Not Applicable","Not Applicable"
"CW","Business Income With Extra Expense","Educational Institutions","No","No Coverage","Not Applicable","Not Applicable"
"CW","Business Income With Extra Expense","Educational Institutions","No","Yes, Included in Blanket","Not Applicable","Not Applicable"
"CW","Business Income With Extra Expense","Educational Institutions","No","Yes, Not Included in Blanket","Not Applicable","Not Applicable"
"CW","Business Income With Extra Expense","Educational Institutions","Yes","No Coverage","Not Applicable","Not Applicable"
"CW","Business Income With Extra Expense","Educational Institutions","Yes","Yes, Included in Blanket","Not Applicable","Not Applicable"
"CW","Business Income With Extra Expense","Educational Institutions","Yes","Yes, Not Included in Blanket","Not Applicable","Not Applicable"
"CW","Business Income With Extra Expense","Manufacturing","Yes","No Coverage","Not Applicable","Not Applicable"
"CW","Business Income With Extra Expense","Manufacturing","Yes","Yes, Included in Blanket","Not Applicable","Not Applicable"
"CW","Business Income With Extra Expense","Mercantile and Non-manufacturing","Yes","No Coverage","Not Applicable","Not Applicable"
"CW","Business Income With Extra Expense","Mercantile and Non-manufacturing","Yes","Yes, Included in Blanket","Not Applicable","Not Applicable"
"CW","Business Income With Extra Expense","Mining","No","No Coverage","Not Applicable","Not Applicable"
"CW","Business Income With Extra Expense","Mining","No","Yes, Included in Blanket","Not Applicable","Not Applicable"
"CW","Business Income With Extra Expense","Mining","No","Yes, Not Included in Blanket","Not Applicable","Not Applicable"
