"StateCode","MaxPeriod","TypeOfRisk","IncludedInBlktBusnIncome","EQCovIndicatorBusnIncome","DisplayValue","DataValue"
"CW","No","Combined Manufacturing and Mercantile Operations","No","No Coverage","Not Applicable","Not Applicable"
"CW","No","Combined Manufacturing and Mercantile Operations","No","Yes, Included in Blanket","Not Applicable","Not Applicable"
"CW","No","Combined Manufacturing and Mercantile Operations","No","Yes, Not Included in Blanket","Not Applicable","Not Applicable"
"CW","No","Combined Manufacturing and Mercantile Operations","Yes","Yes, Not Included in Blanket","Not Applicable","Not Applicable"
"CW","No","Combined Manufacturing and Rental Operations","No","No Coverage","Not Applicable","Not Applicable"
"CW","No","Combined Manufacturing and Rental Operations","No","Yes, Included in Blanket","Not Applicable","Not Applicable"
"CW","No","Combined Manufacturing and Rental Operations","No","Yes, Not Included in Blanket","Not Applicable","Not Applicable"
"CW","No","Combined Manufacturing and Rental Operations","Yes","Yes, Not Included in Blanket","Not Applicable","Not Applicable"
"CW","No","Combined Mercantile and Rental Operations","No","No Coverage","Not Applicable","Not Applicable"
"CW","No","Combined Mercantile and Rental Operations","No","Yes, Included in Blanket","Not Applicable","Not Applicable"
"CW","No","Combined Mercantile and Rental Operations","No","Yes, Not Included in Blanket","Not Applicable","Not Applicable"
"CW","No","Combined Mercantile and Rental Operations","Yes","Yes, Not Included in Blanket","Not Applicable","Not Applicable"
"CW","No","Combined Educational Institutes and Rental Operations","No","No Coverage","Not Applicable","Not Applicable"
"CW","No","Combined Educational Institutes and Rental Operations","No","Yes, Included in Blanket","Not Applicable","Not Applicable"
"CW","No","Combined Educational Institutes and Rental Operations","No","Yes, Not Included in Blanket","Not Applicable","Not Applicable"
"CW","No","Combined Educational Institutes and Rental Operations","Yes","Yes, Not Included in Blanket","Not Applicable","Not Applicable"
"CW","No","Manufacturing","No","No Coverage","Not Applicable","Not Applicable"
"CW","No","Manufacturing","No","Yes, Included in Blanket","Not Applicable","Not Applicable"
"CW","No","Manufacturing","No","Yes, Not Included in Blanket","Not Applicable","Not Applicable"
"CW","No","Manufacturing","Yes","Yes, Not Included in Blanket","Not Applicable","Not Applicable"
"CW","No","Mercantile and Non-manufacturing","No","No Coverage","Not Applicable","Not Applicable"
"CW","No","Mercantile and Non-manufacturing","No","Yes, Included in Blanket","Not Applicable","Not Applicable"
"CW","No","Mercantile and Non-manufacturing","No","Yes, Not Included in Blanket","Not Applicable","Not Applicable"
"CW","No","Mercantile and Non-manufacturing","Yes","Yes, Not Included in Blanket","Not Applicable","Not Applicable"
"CW","No","Rental Properties","No","No Coverage","Not Applicable","Not Applicable"
"CW","No","Rental Properties","No","Yes, Included in Blanket","Not Applicable","Not Applicable"
"CW","No","Rental Properties","No","Yes, Not Included in Blanket","Not Applicable","Not Applicable"
"CW","No","Rental Properties","Yes","Yes, Not Included in Blanket","Not Applicable","Not Applicable"
"CW","Not Applicable","Combined Manufacturing and Mercantile Operations","Yes","Yes, Included in Blanket","Not Applicable","Not Applicable"
"CW","Not Applicable","Combined Manufacturing and Mercantile Operations","Yes","No Coverage","Not Applicable","Not Applicable"
"CW","Not Applicable","Combined Manufacturing and Rental Operations","Yes","Yes, Included in Blanket","Not Applicable","Not Applicable"
