"StateCode","DisplayValue","DataValue"
"CW","A","A"
"CW","AE","AE"
"CW","A1-A30","A1-A30"
"CW","A99","A99"
"CW","AH","AH"
"CW","AHB","AHB"
"CW","AO","AO"
"CW","AOB","AOB"
"CW","V","V"
"CW","VE","VE"
"CW","V1-V30","V1-V30"
"CW","AR","AR"
"CW","AR/AE","AR/AE"
"CW","AR/A1-30","AR/A1-30"
"CW","AR/AH","AR/AH"
"CW","AR/AO","AR/AO"
"CW","AR/A","AR/A"
"CW","X (shaded)","X (shaded)"
"CW","B","B"
"CW","X500","X500"
"CW","X (unshaded)","X (unshaded)"
"CW","C","C"
"CW","D","D"
"CW","unmapped","unmapped"
"CW","communities that do not participate in NFIP","communities that do not participate in NFIP"
