"StateCode","IncludingMasonryVeneerOption","EQClass","DisplayValue","DataValue"
"CW","Yes","1C","10% to 25%","10% to 25%"
"CW","Yes","1C","25% to 50%","25% to 50%"
"CW","Yes","1C","Over 50%","Over 50%"
"CW","No","1C","Masonry Veneer Limitation Applies","Masonry Veneer Limitation Applies"
"CW","Yes","1D","10% to 25%","10% to 25%"
"CW","Yes","1D","25% to 50%","25% to 50%"
"CW","Yes","1D","Over 50%","Over 50%"
"CW","No","1D","Masonry Veneer Limitation Applies","Masonry Veneer Limitation Applies"
"CW","Yes","2A","Not Applicable","Not Applicable"
"CW","No","2A","Not Applicable","Not Applicable"
"CW","Yes","2B","Not Applicable","Not Applicable"
"CW","No","2B","Not Applicable","Not Applicable"
"CW","Yes","3A","Not Applicable","Not Applicable"
"CW","No","3A","Not Applicable","Not Applicable"
"CW","Yes","3B","Not Applicable","Not Applicable"
"CW","No","3B","Not Applicable","Not Applicable"
"CW","Yes","3C","Not Applicable","Not Applicable"
"CW","No","3C","Not Applicable","Not Applicable"
"CW","Yes","4A","Not Applicable","Not Applicable"
"CW","No","4A","Not Applicable","Not Applicable"
"CW","Yes","4B","Not Applicable","Not Applicable"
"CW","No","4B","Not Applicable","Not Applicable"
"CW","Yes","4C","Not Applicable","Not Applicable"
"CW","No","4C","Not Applicable","Not Applicable"
"CW","Yes","4D","Not Applicable","Not Applicable"
"CW","No","4D","Not Applicable","Not Applicable"
"CW","Yes","5A","Not Applicable","Not Applicable"
"CW","No","5A","Not Applicable","Not Applicable"
"CW","Yes","5AA","Not Applicable","Not Applicable"
"CW","No","5AA","Not Applicable","Not Applicable"
"CW","Yes","5B","Not Applicable","Not Applicable"
"CW","No","5B","Not Applicable","Not Applicable"
"CW","Yes","5C","Not Applicable","Not Applicable"
"CW","No","5C","Not Applicable","Not Applicable"
"CW","Yes","Not Applicable","Not Applicable","Not Applicable"
"CW","No","Not Applicable","Not Applicable","Not Applicable"
