"StateCode","CauseOfLossAllTypes","BlanketCauseOfLoss","DisplayValue","DataValue"
"CW","Basic","Not Applicable","Limited","Limited"
"CW","Basic","Not Applicable","Broad","Broad"
"CW","Broad","Not Applicable","Limited","Limited"
"CW","Broad","Not Applicable","Broad","Broad"
"CW","Special","Not Applicable","Broad","Broad"
"CW","Blanket Cause of Loss Applies","Basic","Limited","Limited"
"CW","Blanket Cause of Loss Applies","Basic","Broad","Broad"
"CW","Blanket Cause of Loss Applies","Broad","Limited","Limited"
"CW","Blanket Cause of Loss Applies","Broad","Broad","Broad"
"CW","Blanket Cause of Loss Applies","Special","Broad","Broad"
"CW","Fire","Not Applicable","Limited","Limited"
"CW","Fire","Not Applicable","Broad","Broad"
"CW","Fire and Allied Lines","Not Applicable","Limited","Limited"
"CW","Fire and Allied Lines","Not Applicable","Broad","Broad"
"CW","Fire and Vandalism","Not Applicable","Limited","Limited"
"CW","Fire and Vandalism","Not Applicable","Broad","Broad"
"CW","Fire and Sprinkler Leakage","Not Applicable","Limited","Limited"
"CW","Fire and Sprinkler Leakage","Not Applicable","Broad","Broad"
"CW","Fire, Vandalism and Sprinkler Leakage","Not Applicable","Limited","Limited"
"CW","Fire, Vandalism and Sprinkler Leakage","Not Applicable","Broad","Broad"
"CW","Fire, Vandalism and Allied Lines","Not Applicable","Limited","Limited"
"CW","Fire, Vandalism and Allied Lines","Not Applicable","Broad","Broad"
"CW","Fire, Sprinkler Leakage and Allied Lines","Not Applicable","Limited","Limited"
"CW","Fire, Sprinkler Leakage and Allied Lines","Not Applicable","Broad","Broad"
"CW","Fire, Vandalism, Sprinkler Leakage and Allied Lines","Not Applicable","Limited","Limited"
"CW","Fire, Vandalism, Sprinkler Leakage and Allied Lines","Not Applicable","Broad","Broad"
"CW","Blanket Cause of Loss Applies","Fire","Limited","Limited"
"CW","Blanket Cause of Loss Applies","Fire","Broad","Broad"
"CW","Blanket Cause of Loss Applies","Fire and Allied Lines","Limited","Limited"
"CW","Blanket Cause of Loss Applies","Fire and Allied Lines","Broad","Broad"
"CW","Blanket Cause of Loss Applies","Fire and Vandalism","Limited","Limited"
"CW","Blanket Cause of Loss Applies","Fire and Vandalism","Broad","Broad"
"CW","Blanket Cause of Loss Applies","Fire and Sprinkler Leakage","Limited","Limited"
"CW","Blanket Cause of Loss Applies","Fire and Sprinkler Leakage","Broad","Broad"
"CW","Blanket Cause of Loss Applies","Fire, Vandalism and Sprinkler Leakage","Limited","Limited"
"CW","Blanket Cause of Loss Applies","Fire, Vandalism and Sprinkler Leakage","Broad","Broad"
"CW","Blanket Cause of Loss Applies","Fire, Vandalism and Allied Lines","Limited","Limited"
"CW","Blanket Cause of Loss Applies","Fire, Vandalism and Allied Lines","Broad","Broad"
"CW","Blanket Cause of Loss Applies","Fire, Sprinkler Leakage and Allied Lines","Limited","Limited"
"CW","Blanket Cause of Loss Applies","Fire, Sprinkler Leakage and Allied Lines","Broad","Broad"
"CW","Blanket Cause of Loss Applies","Fire, Vandalism, Sprinkler Leakage and Allied Lines","Limited","Limited"
"CW","Blanket Cause of Loss Applies","Fire, Vandalism, Sprinkler Leakage and Allied Lines","Broad","Broad"
