"StateCode","SpecialClassDescription","DisplayValue","DataValue"
"CW","Other - Masonry or Metal or Other Non-combustible Materials, Stock or Equipment","1190","1190"
"CW","Other - Metal or Other Non-combustible Materials W Combustible Wrappings, or on Combustible Pallets","1190","1190"
"CW","Other - Materials, Stock or Equipment Which Are Combustible or Part Combustible","1190","1190"
"CW","Aircraft Stored in the Open","1190","1190"
"CW","Aircraft Beacons, Blinkers and Other Lighting Equipment - Metal Supports","1190","1190"
"CW","Aircraft Beacons, Blinkers and Other Lighting Equipment - Wood Supports","1190","1190"
"CW","Amusement Equipment in the Open (Commercial Enterprises) - Metal or Other Non-combustible Equipment","1190","1190"
"CW","Amusement Equipment in the Open (Commercial Enterprises) - Combustible Equipment","1190","1190"
"CW","Artificial Turf","1190","1190"
"CW","Awnings or Canopies (when Insured Separately) - Entirely Non-combustible, Including Supports","1190","1190"
"CW","Awnings or Canopies (when Insured Separately) - Other than Above","1190","1190"
"CW","Billboards and Signs (Not on Buildings) - Entirely Metal, Including Frame and Supports","1185","1185"
"CW","Billboards and Signs (Not on Buildings) - Other than Above","1185","1185"
"CW","Bleachers","1190","1190"
"CW","Boats, Dredges or Vessels on Land or Permanently Anchored","1190","1190"
"CW","Bridges, Aqueducts - Concrete, Including Supports and Deck","1200","1200"
"CW","Bridges, Aqueducts - Metal, Including Supports and Deck","1200","1200"
"CW","Bridges, Aqueducts - Wood or Part Wood","1200","1200"
"CW","Cooling Towers - Masonry","1190","1190"
"CW","Cooling Towers - Metal","1190","1190"
"CW","Cooling Towers - Wood","1190","1190"
"CW","Cordwood, Felled Timber, Stakes & RR Ties in Open, Not on Prem of a Lumber Mill or Bldrs Supply Yard","1190","1190"
"CW","Cranes and Other Heavy Machinery in the Open","1190","1190"
"CW","Drive in Theaters (Speakers and Screens Only) - Speakers","0833","0833"
"CW","Drive in Theaters (Speakers and Screens Only) - Screens - Concrete","0833","0833"
"CW","Drive in Theaters (Speakers and Screens Only) - Screens - Metal","0833","0833"
"CW","Drive in Theaters (Speakers and Screens Only) - Screens - Wood","0833","0833"
"CW","Electric Transformers in the Open Not Owned by a Public Utility - on Concrete Pads or Steel Supports","1190","1190"
"CW","Electric Transformers in the Open Not Owned by a Public Utility - on Wood Supports","1190","1190"
