"StateCode","SpecialClassDescription","DisplayValue","DataValue"
"CW","Other - Masonry or Metal or Other Non-combustible Materials, Stock or Equipment","Option1","Option1"
"CW","Other - Metal or Other Non-combustible Materials W Combustible Wrappings, or on Combustible Pallets","Option2","Option2"
"CW","Other - Materials, Stock or Equipment Which Are Combustible or Part Combustible","Option3","Option3"
"CW","Aircraft Stored in the Open","Option4","Option4"
"CW","Aircraft Beacons, Blinkers and Other Lighting Equipment - Metal Supports","Option5","Option5"
"CW","Aircraft Beacons, Blinkers and Other Lighting Equipment - Wood Supports","Option6","Option6"
"CW","Amusement Equipment in the Open (Commercial Enterprises) - Metal or Other Non-combustible Equipment","Option7","Option7"
"CW","Amusement Equipment in the Open (Commercial Enterprises) - Combustible Equipment","Option8","Option8"
"CW","Artificial Turf","Option9","Option9"
"CW","Awnings or Canopies (when Insured Separately) - Entirely Non-combustible, Including Supports","Option10","Option10"
"CW","Awnings or Canopies (when Insured Separately) - Other than Above","Option11","Option11"
"CW","Billboards and Signs (Not on Buildings) - Entirely Metal, Including Frame and Supports","Option12","Option12"
"CW","Billboards and Signs (Not on Buildings) - Other than Above","Option13","Option13"
"CW","Bleachers","Option14","Option14"
"CW","Boats, Dredges or Vessels on Land or Permanently Anchored","Option15","Option15"
"CW","Bridges, Aqueducts - Concrete, Including Supports and Deck","Option16","Option16"
"CW","Bridges, Aqueducts - Metal, Including Supports and Deck","Option17","Option17"
"CW","Bridges, Aqueducts - Wood or Part Wood","Option18","Option18"
"CW","Cooling Towers - Masonry","Option19","Option19"
"CW","Cooling Towers - Metal","Option20","Option20"
"CW","Cooling Towers - Wood","Option21","Option21"
"CW","Cordwood, Felled Timber, Stakes & RR Ties in Open, Not on Prem of a Lumber Mill or Bldrs Supply Yard","Option22","Option22"
"CW","Cranes and Other Heavy Machinery in the Open","Option23","Option23"
"CW","Drive in Theaters (Speakers and Screens Only) - Speakers","Option24","Option24"
"CW","Drive in Theaters (Speakers and Screens Only) - Screens - Concrete","Option25","Option25"
"CW","Drive in Theaters (Speakers and Screens Only) - Screens - Metal","Option26","Option26"
"CW","Drive in Theaters (Speakers and Screens Only) - Screens - Wood","Option27","Option27"
"CW","Electric Transformers in the Open Not Owned by a Public Utility - on Concrete Pads or Steel Supports","Option28","Option28"
"CW","Electric Transformers in the Open Not Owned by a Public Utility - on Wood Supports","Option29","Option29"
"CW","Electric Vehicle Charging Stations (Pole Mount or Pedestal; Not Wall Mounted)","Option30","Option30"
"CW","Exhibit Stands and Booths in the Open - Entirely Metal","Option31","Option31"
"CW","Exhibit Stands and Booths in the Open - Wood or Part Wood","Option32","Option32"
"CW","Explosives in the Open","Option33","Option33"
"CW","Fences and Arbors - Metal or Masonry","Option34","Option34"
"CW","Fences and Arbors - Wood","Option35","Option35"
"CW","Incinerators or Refuse Burners Which Are Not Part of a Building - Masonry Construction","Option36","Option36"
"CW","Incinerators or Refuse Burners Which Are Not Part of a Building - All Other Construction","Option37","Option37"
