"StateCode","DisplayValue","DataValue"
"CW","Aircraft Beacons, Blinkers and Other Lighting Equipment - Metal Supports","Aircraft Beacons, Blinkers and Other Lighting Equipment - Metal Supports"
"CW","Aircraft Beacons, Blinkers and Other Lighting Equipment - Wood Supports","Aircraft Beacons, Blinkers and Other Lighting Equipment - Wood Supports"
"CW","Aircraft Stored in the Open","Aircraft Stored in the Open"
"CW","Amusement Equipment in the Open (Commercial Enterprises) - Combustible Equipment","Amusement Equipment in the Open (Commercial Enterprises) - Combustible Equipment"
"CW","Amusement Equipment in the Open (Commercial Enterprises) - Metal or Other Non-combustible Equipment","Amusement Equipment in the Open (Commercial Enterprises) - Metal or Other Non-combustible Equipment"
"CW","Artificial Turf","Artificial Turf"
"CW","Awnings or Canopies (when Insured Separately) - Entirely Non-combustible, Including Supports","Awnings or Canopies (when Insured Separately) - Entirely Non-combustible, Including Supports"
"CW","Awnings or Canopies (when Insured Separately) - Other than Above","Awnings or Canopies (when Insured Separately) - Other than Above"
"CW","Billboards and Signs (Not on Buildings) - Entirely Metal, Including Frame and Supports","Billboards and Signs (Not on Buildings) - Entirely Metal, Including Frame and Supports"
"CW","Billboards and Signs (Not on Buildings) - Other than Above","Billboards and Signs (Not on Buildings) - Other than Above"
"CW","Bleachers","Bleachers"
"CW","Boats, Dredges or Vessels on Land or Permanently Anchored","Boats, Dredges or Vessels on Land or Permanently Anchored"
"CW","Bridges, Aqueducts - Concrete, Including Supports and Deck","Bridges, Aqueducts - Concrete, Including Supports and Deck"
"CW","Bridges, Aqueducts - Metal, Including Supports and Deck","Bridges, Aqueducts - Metal, Including Supports and Deck"
"CW","Bridges, Aqueducts - Wood or Part Wood","Bridges, Aqueducts - Wood or Part Wood"
"CW","Cooling Towers - Masonry","Cooling Towers - Masonry"
"CW","Cooling Towers - Metal","Cooling Towers - Metal"
"CW","Cooling Towers - Wood","Cooling Towers - Wood"
"CW","Cordwood, Felled Timber, Stakes and Railroad Ties in the Open, Not on the Premises of a Lumber Mill or Builders Supply Yard","Cordwood, Felled Timber, Stakes & RR Ties in Open, Not on Prem of a Lumber Mill or Bldrs Supply Yard"
"CW","Cranes and Other Heavy Machinery in the Open","Cranes and Other Heavy Machinery in the Open"
"CW","Drive in Theaters (Speakers and Screens Only) - Screens - Concrete","Drive in Theaters (Speakers and Screens Only) - Screens - Concrete"
"CW","Drive in Theaters (Speakers and Screens Only) - Screens - Metal","Drive in Theaters (Speakers and Screens Only) - Screens - Metal"
"CW","Drive in Theaters (Speakers and Screens Only) - Screens - Wood","Drive in Theaters (Speakers and Screens Only) - Screens - Wood"
"CW","Drive in Theaters (Speakers and Screens Only) - Speakers","Drive in Theaters (Speakers and Screens Only) - Speakers"
"CW","Electric Transformers in the Open Not Owned by a Public Utility - on Concrete Pads or Steel Supports","Electric Transformers in the Open Not Owned by a Public Utility - on Concrete Pads or Steel Supports"
"CW","Electric Transformers in the Open Not Owned by a Public Utility - on Wood Supports","Electric Transformers in the Open Not Owned by a Public Utility - on Wood Supports"
"CW","Electric Vehicle Charging Stations (Pole Mount or Pedestal; Not Wall Mounted)","Electric Vehicle Charging Stations (Pole Mount or Pedestal; Not Wall Mounted)"
"CW","Exhibit Stands and Booths in the Open - Entirely Metal","Exhibit Stands and Booths in the Open - Entirely Metal"
"CW","Exhibit Stands and Booths in the Open - Wood or Part Wood","Exhibit Stands and Booths in the Open - Wood or Part Wood"
"CW","Explosives in the Open","Explosives in the Open"
"CW","Fences and Arbors - Metal or Masonry","Fences and Arbors - Metal or Masonry"
"CW","Fences and Arbors - Wood","Fences and Arbors - Wood"
"CW","Incinerators or Refuse Burners Which Are Not Part of a Building - All Other Construction","Incinerators or Refuse Burners Which Are Not Part of a Building - All Other Construction"
"CW","Incinerators or Refuse Burners Which Are Not Part of a Building - Masonry Construction","Incinerators or Refuse Burners Which Are Not Part of a Building - Masonry Construction"
"CW","Machinery and Equipment in the Open - Processing Combustible Materials Other than Hay, Straw or Fibers","Machinery and Equipmt in the Open - Procg Combustible Materials Other than Hay, Straw or Fibers"
