"StateCode","SpoilageDesc","DisplayValue","DataValue"
"CW","Bakery Goods","Class 1","Class 1"
"CW","Cheese Shops","Class 1","Class 1"
"CW","Delicatessens","Class 1","Class 1"
"CW","Fruits and Vegetables","Class 1","Class 1"
"CW","Restaurants","Class 1","Class 1"
"CW","Dairy Products, Excluding Ice Cream","Class 2","Class 2"
"CW","Grocery Stores","Class 2","Class 2"
"CW","Meat and Poultry Markets","Class 2","Class 2"
"CW","Pharmaceuticals - Non-Manufacturing","Class 2","Class 2"
"CW","Supermarkets","Class 2","Class 2"
"CW","Dairy Products, Including Ice Cream","Class 3","Class 3"
"CW","Florists","Class 3","Class 3"
"CW","Greenhouses","Class 3","Class 3"
"CW","Seafood","Class 3","Class 3"
