"StateCode","DisplayValue","DataValue"
"CW","Bakery Goods","Bakery Goods"
"CW","Cheese Shops","Cheese Shops"
"CW","Dairy Products, Excluding Ice Cream","Dairy Products, Excluding Ice Cream"
"CW","Dairy Products, Including Ice Cream","Dairy Products, Including Ice Cream"
"CW","Delicatessens","Delicatessens"
"CW","Florists","Florists"
"CW","Fruits and Vegetables","Fruits and Vegetables"
"CW","Greenhouses","Greenhouses"
"CW","Grocery Stores","Grocery Stores"
"CW","Meat and Poultry Markets","Meat and Poultry Markets"
"CW","Pharmaceuticals - Non-Manufacturing","Pharmaceuticals - Non-Manufacturing"
"CW","Restaurants","Restaurants"
"CW","Seafood","Seafood"
"CW","Supermarkets","Supermarkets"
