"StateCode","RatingType","DisplayValue","DataValue"
"CW","Class","None","None"
"CW","Class","Sprinklered Building, but Not Rated as Sprinklered","Sprinklered Building, but Not Rated as Sprinklered"
"CW","Specific","None","None"
"CW","Specific","Sprinklered Building, but Not Rated as Sprinklered","Sprinklered Building, but Not Rated as Sprinklered"
"CW","Specific","Rated as Sprinklered; <50% of Value Exposed to Sprinklers","Rated as Sprinklered; <50% of Value Exposed to Sprinklers"
"CW","Specific","Rated as Sprinklered; >50% of Value Exposed to Sprinklers","Rated as Sprinklered; >50% of Value Exposed to Sprinklers"
"CW","Tentative","None","None"
"CW","Tentative","Sprinklered Building, but Not Rated as Sprinklered","Sprinklered Building, but Not Rated as Sprinklered"
"CW","Tentative","Rated as Sprinklered; <50% of Value Exposed to Sprinklers","Rated as Sprinklered; <50% of Value Exposed to Sprinklers"
"CW","Tentative","Rated as Sprinklered; >50% of Value Exposed to Sprinklers","Rated as Sprinklered; >50% of Value Exposed to Sprinklers"
