"StateCode","CovForm","RatingType","DisplayValue","DataValue"
"CW","Building and Personal Property Coverage Form","Class","None","None"
"CW","Building and Personal Property Coverage Form","Class","Sprinklered Building, but Not Rated as Sprinklered","Sprinklered Building, but Not Rated as Sprinklered"
"CW","Building and Personal Property Coverage Form","Specific","None","None"
"CW","Building and Personal Property Coverage Form","Specific","Sprinklered Building, but Not Rated as Sprinklered","Sprinklered Building, but Not Rated as Sprinklered"
"CW","Building and Personal Property Coverage Form","Specific","Rated as Sprinklered; <50% of Value Exposed to Sprinklers","Rated as Sprinklered; <50% of Value Exposed to Sprinklers"
"CW","Building and Personal Property Coverage Form","Specific","Rated as Sprinklered; >50% of Value Exposed to Sprinklers","Rated as Sprinklered; >50% of Value Exposed to Sprinklers"
"CW","Building and Personal Property Coverage Form","Tentative","None","None"
"CW","Building and Personal Property Coverage Form","Tentative","Sprinklered Building, but Not Rated as Sprinklered","Sprinklered Building, but Not Rated as Sprinklered"
"CW","Building and Personal Property Coverage Form","Tentative","Rated as Sprinklered; <50% of Value Exposed to Sprinklers","Rated as Sprinklered; <50% of Value Exposed to Sprinklers"
"CW","Building and Personal Property Coverage Form","Tentative","Rated as Sprinklered; >50% of Value Exposed to Sprinklers","Rated as Sprinklered; >50% of Value Exposed to Sprinklers"
"CW","Condominium Commercial Unit Owners Coverage","Class","None","None"
"CW","Condominium Commercial Unit Owners Coverage","Class","Sprinklered Building, but Not Rated as Sprinklered","Sprinklered Building, but Not Rated as Sprinklered"
"CW","Condominium Commercial Unit Owners Coverage","Specific","None","None"
"CW","Condominium Commercial Unit Owners Coverage","Specific","Sprinklered Building, but Not Rated as Sprinklered","Sprinklered Building, but Not Rated as Sprinklered"
"CW","Condominium Commercial Unit Owners Coverage","Specific","Rated as Sprinklered; <50% of Value Exposed to Sprinklers","Rated as Sprinklered; <50% of Value Exposed to Sprinklers"
"CW","Condominium Commercial Unit Owners Coverage","Specific","Rated as Sprinklered; >50% of Value Exposed to Sprinklers","Rated as Sprinklered; >50% of Value Exposed to Sprinklers"
"CW","Condominium Commercial Unit Owners Coverage","Tentative","None","None"
"CW","Condominium Commercial Unit Owners Coverage","Tentative","Sprinklered Building, but Not Rated as Sprinklered","Sprinklered Building, but Not Rated as Sprinklered"
"CW","Condominium Commercial Unit Owners Coverage","Tentative","Rated as Sprinklered; <50% of Value Exposed to Sprinklers","Rated as Sprinklered; <50% of Value Exposed to Sprinklers"
"CW","Condominium Commercial Unit Owners Coverage","Tentative","Rated as Sprinklered; >50% of Value Exposed to Sprinklers","Rated as Sprinklered; >50% of Value Exposed to Sprinklers"
"CW","Legal Liability Coverage Form","Class","None","None"
"CW","Legal Liability Coverage Form","Class","Sprinklered Building, but Not Rated as Sprinklered","Sprinklered Building, but Not Rated as Sprinklered"
"CW","Legal Liability Coverage Form","Specific","None","None"
"CW","Legal Liability Coverage Form","Specific","Sprinklered Building, but Not Rated as Sprinklered","Sprinklered Building, but Not Rated as Sprinklered"
