"StateCode","PolicyType","CauseOfLossSpecialClass","DisplayValue","DataValue"
"CW","Commercial Property Policy","Basic","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Broad","Not Applicable","Not Applicable"
"CW","Standard Property Policy","Fire","Not Applicable","Not Applicable"
"CW","Standard Property Policy","Fire and Vandalism","Not Applicable","Not Applicable"
"CW","Standard Property Policy","Fire and Allied Lines","Not Applicable","Not Applicable"
"CW","Standard Property Policy","Fire, Vandalism and Allied Lines","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Blanket Cause of Loss Applies","Not Applicable","Not Applicable"
"CW","Standard Property Policy","Blanket Cause of Loss Applies","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Blanket Cause of Loss Applies","250","250"
"CW","Commercial Property Policy","Blanket Cause of Loss Applies","500","500"
"CW","Commercial Property Policy","Blanket Cause of Loss Applies","1,000","1,000"
"CW","Commercial Property Policy","Blanket Cause of Loss Applies","2,500","2,500"
"CW","Commercial Property Policy","Blanket Cause of Loss Applies","5,000","5,000"
"CW","Commercial Property Policy","Blanket Cause of Loss Applies","10,000","10,000"
"CW","Commercial Property Policy","Blanket Cause of Loss Applies","25,000","25,000"
"CW","Commercial Property Policy","Blanket Cause of Loss Applies","50,000","50,000"
"CW","Commercial Property Policy","Blanket Cause of Loss Applies","75,000","75,000"
"CW","Commercial Property Policy","Special","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Special","250","250"
"CW","Commercial Property Policy","Special","500","500"
"CW","Commercial Property Policy","Special","1,000","1,000"
"CW","Commercial Property Policy","Special","2,500","2,500"
"CW","Commercial Property Policy","Special","5,000","5,000"
"CW","Commercial Property Policy","Special","10,000","10,000"
"CW","Commercial Property Policy","Special","25,000","25,000"
"CW","Commercial Property Policy","Special","50,000","50,000"
"CW","Commercial Property Policy","Special","75,000","75,000"
