"StateCode","BlanketType","DisplayValue","DataValue"
"CW","Building Only","Average","Average"
"CW","Building Only","Highest","Highest"
"CW","Personal Property Only","Average","Average"
"CW","Personal Property Only","Highest","Highest"
"CW","Building & Personal Property Combined","Average","Average"
"CW","Building & Personal Property Combined","Highest","Highest"
"CW","Business Income With Extra Expense","Average","Average"
"CW","Business Income With Extra Expense","Highest","Highest"
"CW","Business Income Without Extra Expense","Average","Average"
"CW","Business Income Without Extra Expense","Highest","Highest"
"CW","Builders Risk","Average","Average"
"CW","Builders Risk","Highest","Highest"
