"StateCode","CovFormBusnIncome","IncludedInBlktBusnIncome","DisplayValue","DataValue"
"CW","Business Income With Extra Expense","No","Combined Manufacturing and Mercantile Operations","Combined Manufacturing and Mercantile Operations"
"CW","Business Income With Extra Expense","No","Combined Manufacturing and Rental Operations","Combined Manufacturing and Rental Operations"
"CW","Business Income With Extra Expense","No","Combined Mercantile and Rental Operations","Combined Mercantile and Rental Operations"
"CW","Business Income With Extra Expense","No","Educational Institutions","Educational Institutions"
"CW","Business Income With Extra Expense","No","Manufacturing","Manufacturing"
"CW","Business Income With Extra Expense","No","Mercantile and Non-manufacturing","Mercantile and Non-manufacturing"
"CW","Business Income With Extra Expense","No","Mining","Mining"
"CW","Business Income With Extra Expense","No","Rental Properties","Rental Properties"
"CW","Business Income With Extra Expense","No","Seasonal Leases with Monthly Limit","Seasonal Leases with Monthly Limit"
"CW","Business Income With Extra Expense","No","Combined Educational Institutes and Rental Operations","Combined Educational Institutes and Rental Operations"
"CW","Business Income With Extra Expense","Yes","Combined Manufacturing and Mercantile Operations","Combined Manufacturing and Mercantile Operations"
"CW","Business Income With Extra Expense","Yes","Combined Manufacturing and Rental Operations","Combined Manufacturing and Rental Operations"
"CW","Business Income With Extra Expense","Yes","Combined Mercantile and Rental Operations","Combined Mercantile and Rental Operations"
"CW","Business Income With Extra Expense","Yes","Educational Institutions","Educational Institutions"
"CW","Business Income With Extra Expense","Yes","Manufacturing","Manufacturing"
"CW","Business Income With Extra Expense","Yes","Mercantile and Non-manufacturing","Mercantile and Non-manufacturing"
"CW","Business Income With Extra Expense","Yes","Mining","Mining"
"CW","Business Income With Extra Expense","Yes","Rental Properties","Rental Properties"
"CW","Business Income With Extra Expense","Yes","Combined Educational Institutes and Rental Operations","Combined Educational Institutes and Rental Operations"
"CW","Business Income Without Extra Expense","No","Combined Manufacturing and Mercantile Operations","Combined Manufacturing and Mercantile Operations"
"CW","Business Income Without Extra Expense","No","Combined Manufacturing and Rental Operations","Combined Manufacturing and Rental Operations"
"CW","Business Income Without Extra Expense","No","Combined Mercantile and Rental Operations","Combined Mercantile and Rental Operations"
"CW","Business Income Without Extra Expense","No","Educational Institutions","Educational Institutions"
"CW","Business Income Without Extra Expense","No","Manufacturing","Manufacturing"
"CW","Business Income Without Extra Expense","No","Mercantile and Non-manufacturing","Mercantile and Non-manufacturing"
"CW","Business Income Without Extra Expense","No","Mining","Mining"
"CW","Business Income Without Extra Expense","No","Rental Properties","Rental Properties"
"CW","Business Income Without Extra Expense","No","Seasonal Leases with Monthly Limit","Seasonal Leases with Monthly Limit"
"CW","Business Income Without Extra Expense","No","Combined Educational Institutes and Rental Operations","Combined Educational Institutes and Rental Operations"
"CW","Business Income Without Extra Expense","Yes","Combined Manufacturing and Mercantile Operations","Combined Manufacturing and Mercantile Operations"
"CW","Business Income Without Extra Expense","Yes","Combined Manufacturing and Rental Operations","Combined Manufacturing and Rental Operations"
"CW","Business Income Without Extra Expense","Yes","Combined Mercantile and Rental Operations","Combined Mercantile and Rental Operations"
"CW","Business Income Without Extra Expense","Yes","Educational Institutions","Educational Institutions"
"CW","Business Income Without Extra Expense","Yes","Manufacturing","Manufacturing"
"CW","Business Income Without Extra Expense","Yes","Mercantile and Non-manufacturing","Mercantile and Non-manufacturing"
"CW","Business Income Without Extra Expense","Yes","Mining","Mining"
"CW","Business Income Without Extra Expense","Yes","Rental Properties","Rental Properties"
"CW","Business Income Without Extra Expense","Yes","Combined Educational Institutes and Rental Operations","Combined Educational Institutes and Rental Operations"
"CW","Extra Expense Only","No","Not Applicable","Not Applicable"
"CW","Extra Expense Only","Yes","Not Applicable","Not Applicable"
"CW","Not Applicable","No","Not Applicable","Not Applicable"
