"StateCode","DisplayValue","DataValue"
"CW","Aerial photography, surveillance or inspection (including film and television production)","Aerial photography, surveillance or inspection (including film and television production)"
"CW","Search and rescue","Search and rescue"
"CW","Firefighting","Firefighting"
"CW","Crop spraying","Crop spraying"
"CW","Internet access","Internet access"
"CW","Delivery of Goods or Merchandise","Delivery of Goods or Merchandise"
"CW","Weather and environmental data collection (including storm monitoring)","Weather and environmental data collection (including storm monitoring)"
"CW","Colleges and schools","Colleges and schools"
"CW","Operator (pilot) training","Operator (pilot) training"
"CW","Other Drones","Other Drones"
