"StateCode","PolicyType","CovForm","CovTypePrsnlProp","IncludedInBlktPrsnlProp","EQCovIndicatorPrsnlProp","DisplayValue","DataValue"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","All Other Personal Property","No","No Coverage","Actual Cash Value","Actual Cash Value"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","All Other Personal Property","No","No Coverage","Replacement Cost","Replacement Cost"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","All Other Personal Property","No","Yes, Included in Blanket","Actual Cash Value","Actual Cash Value"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","All Other Personal Property","No","Yes, Included in Blanket","Replacement Cost","Replacement Cost"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","All Other Personal Property","No","Yes, Not Included in Blanket","Actual Cash Value","Actual Cash Value"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","All Other Personal Property","No","Yes, Not Included in Blanket","Replacement Cost","Replacement Cost"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","All Other Personal Property","Yes","No Coverage","Actual Cash Value","Actual Cash Value"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","All Other Personal Property","Yes","No Coverage","Replacement Cost","Replacement Cost"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","All Other Personal Property","Yes","Yes, Included in Blanket","Actual Cash Value","Actual Cash Value"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","All Other Personal Property","Yes","Yes, Included in Blanket","Replacement Cost","Replacement Cost"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","All Other Personal Property","Yes","Yes, Not Included in Blanket","Actual Cash Value","Actual Cash Value"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","All Other Personal Property","Yes","Yes, Not Included in Blanket","Replacement Cost","Replacement Cost"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","All Personal Property","No","No Coverage","Actual Cash Value","Actual Cash Value"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","All Personal Property","No","No Coverage","Replacement Cost","Replacement Cost"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","All Personal Property","No","Yes, Included in Blanket","Actual Cash Value","Actual Cash Value"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","All Personal Property","No","Yes, Included in Blanket","Replacement Cost","Replacement Cost"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","All Personal Property","No","Yes, Not Included in Blanket","Actual Cash Value","Actual Cash Value"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","All Personal Property","No","Yes, Not Included in Blanket","Replacement Cost","Replacement Cost"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","All Personal Property","Yes","No Coverage","Actual Cash Value","Actual Cash Value"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","All Personal Property","Yes","No Coverage","Replacement Cost","Replacement Cost"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","All Personal Property","Yes","Yes, Included in Blanket","Actual Cash Value","Actual Cash Value"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","All Personal Property","Yes","Yes, Included in Blanket","Replacement Cost","Replacement Cost"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","All Personal Property","Yes","Yes, Not Included in Blanket","Actual Cash Value","Actual Cash Value"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","All Personal Property","Yes","Yes, Not Included in Blanket","Replacement Cost","Replacement Cost"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Contents Except Stock","No","No Coverage","Actual Cash Value","Actual Cash Value"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Contents Except Stock","No","No Coverage","Functional Valuation","Functional Valuation"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Contents Except Stock","No","No Coverage","Replacement Cost","Replacement Cost"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Contents Except Stock","No","Yes, Included in Blanket","Actual Cash Value","Actual Cash Value"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Contents Except Stock","No","Yes, Included in Blanket","Functional Valuation","Functional Valuation"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Contents Except Stock","No","Yes, Included in Blanket","Replacement Cost","Replacement Cost"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Contents Except Stock","No","Yes, Not Included in Blanket","Actual Cash Value","Actual Cash Value"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Contents Except Stock","No","Yes, Not Included in Blanket","Functional Valuation","Functional Valuation"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Contents Except Stock","No","Yes, Not Included in Blanket","Replacement Cost","Replacement Cost"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Contents Except Stock","Yes","No Coverage","Actual Cash Value","Actual Cash Value"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Contents Except Stock","Yes","No Coverage","Replacement Cost","Replacement Cost"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Contents Except Stock","Yes","Yes, Included in Blanket","Actual Cash Value","Actual Cash Value"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Contents Except Stock","Yes","Yes, Included in Blanket","Replacement Cost","Replacement Cost"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Contents Except Stock","Yes","Yes, Not Included in Blanket","Actual Cash Value","Actual Cash Value"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Contents Except Stock","Yes","Yes, Not Included in Blanket","Replacement Cost","Replacement Cost"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Fixtures","No","No Coverage","Actual Cash Value","Actual Cash Value"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Fixtures","No","No Coverage","Functional Valuation","Functional Valuation"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Fixtures","No","No Coverage","Replacement Cost","Replacement Cost"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Fixtures","No","Yes, Included in Blanket","Actual Cash Value","Actual Cash Value"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Fixtures","No","Yes, Included in Blanket","Functional Valuation","Functional Valuation"
