"StateCode","Page","TableName","ColumnName","Type","Label","QuoteReadOnly","QuoteRequired","QuoteDisplay","PolicyReadOnly","PolicyRequired","PolicyDisplay","Default","Minimum","Maximum","Help","HelpText","Comment","Condition","RequiredCondition","Auditable","AuditViewOnly","AuditCondition","DomainTableName","Sequence","PrintRequired","Status"
"CW","Additional Location - Special Coinsurance Provisions General Information","CommercialPropertyAdditionalLocationsSpecialCoinsuranceGeneralInformation","OverallLimit","TEXT","Overall Limit","False","True","True","False","True","True","","1","99999999","","","","","","False","False","","",100,"False","A"
"CW","Additional Location - Special Coinsurance Provisions General Information","CommercialPropertyAdditionalLocationsSpecialCoinsuranceGeneralInformation","CauseOfLoss","SELECT","Cause of Loss","False","True","True","False","True","True","","","","","","","","","False","False","","CauseOfLossDS04",150,"False","A"
"CW","Additional Location - Special Coinsurance Provisions General Information","CommercialPropertyAdditionalLocationsSpecialCoinsuranceGeneralInformation","EQCovIndicator","SELECT","EQ Coverage","False","True","True","False","True","True","No","","","","","","","","False","False","","YesNo",175,"False","A"
"CW","Additional Location - Special Coinsurance Provisions General Information","CommercialPropertyAdditionalLocationsSpecialCoinsuranceGeneralInformation","Coinsurance","SELECT","Coinsurance","False","True","True","False","True","True","100%","","","","","","","","False","False","","CoinsuranceAddlLocsSpclCoins",200,"False","A"
"CW","Additional Location - Special Coinsurance Provisions General Information","CommercialPropertyAdditionalLocationsSpecialCoinsuranceGeneralInformation","AcqrdHeader","TEXT","<u>Acquired Locations</u>","True","False","True","True","False","True","","","","","","","","","False","False","","",300,"False","A"
"CW","Additional Location - Special Coinsurance Provisions General Information","CommercialPropertyAdditionalLocationsSpecialCoinsuranceGeneralInformation","YourBusnPrsnlPropAcqrd","TEXT","&nbsp;&nbsp;&nbsp;&nbsp;Your Business Personal Property","False","False","True","False","False","True","0","0","99999999","","","","","","False","False","","",400,"False","A"
"CW","Additional Location - Special Coinsurance Provisions General Information","CommercialPropertyAdditionalLocationsSpecialCoinsuranceGeneralInformation","StockOnlyAcqrd","TEXT","&nbsp;&nbsp;&nbsp;&nbsp;Stock Only","False","False","True","False","False","True","0","0","99999999","","","","","","False","False","","",500,"False","A"
"CW","Additional Location - Special Coinsurance Provisions General Information","CommercialPropertyAdditionalLocationsSpecialCoinsuranceGeneralInformation","PrsnlPropOthersAcqrd","TEXT","&nbsp;&nbsp;&nbsp;&nbsp;Personal Property of Others","False","False","True","False","False","True","0","0","99999999","","","","","","False","False","","",600,"False","A"
"CW","Additional Location - Special Coinsurance Provisions General Information","CommercialPropertyAdditionalLocationsSpecialCoinsuranceGeneralInformation","IncHeader","TEXT","<u>Incidental Locations</u>","True","False","True","True","False","True","","","","","","","","","False","False","","",700,"False","A"
"CW","Additional Location - Special Coinsurance Provisions General Information","CommercialPropertyAdditionalLocationsSpecialCoinsuranceGeneralInformation","YourBusnPrsnlPropInc","TEXT","&nbsp;&nbsp;&nbsp;&nbsp;Your Business Personal Property","False","True","True","False","True","True","0","0","99999999","","","","","","False","False","","",800,"False","A"
"CW","Additional Location - Special Coinsurance Provisions General Information","CommercialPropertyAdditionalLocationsSpecialCoinsuranceGeneralInformation","StockOnlyInc","TEXT","&nbsp;&nbsp;&nbsp;&nbsp;Stock Only","False","True","True","False","True","True","0","0","99999999","","","","","","False","False","","",900,"False","A"
"CW","Additional Location - Special Coinsurance Provisions General Information","CommercialPropertyAdditionalLocationsSpecialCoinsuranceGeneralInformation","PrsnlPropOthersInc","TEXT","&nbsp;&nbsp;&nbsp;&nbsp;Personal Property of Others","False","True","True","False","True","True","0","0","99999999","","","","","","False","False","","",1000,"False","A"
"CW","Additional Location - Special Coinsurance Provisions General Information","CommercialPropertyAdditionalLocationsSpecialCoinsuranceGeneralInformation","TotalIncLocsLimit","TEXT","&nbsp;&nbsp;&nbsp;&nbsp;Total Incidental Location Limit","True","False","True","True","False","True","","","","","","","","","False","False","","",1300,"False","A"
"CW","Additional Location - Special Coinsurance Provisions General Information","CommercialPropertyAdditionalLocationsSpecialCoinsuranceGeneralInformation","PolicyTermPremium","TEXT","Premium","True","False","True","True","False","True","","","","","","","","","False","False","","",1400,"False","A"
"CW","Additional Location - Special Coinsurance Provisions General Information","CommercialPropertyAdditionalLocationsSpecialCoinsuranceGeneralInformation","PrsnlPropPremium","TEXT","Additional Location Personal Property Premium","True","False","True","True","False","True","0","0","99999999","","","","","","False","False","","",1500,"False","A"
"CW","Blanket Insurance Detail","CommercialPropertyBlanketRatingDetail","UnitNumber","TEXT","Blanket ID Number","True","False","True","True","False","True","","","","","","","","","False","False","","",100,"False","A"
"CW","Blanket Insurance Detail","CommercialPropertyBlanketRatingDetail","Type","SELECT","Type","False","True","True","False","True","True","","","","","","","","","False","False","","BlanketType",200,"False","A"
"CW","Blanket Insurance Detail","CommercialPropertyBlanketRatingDetail","BlktWeight","SELECT","Blanket Weight","False","True","True","False","True","True","","","","Pertains to Business Income only blankets.","","","","","False","False","","BlktWeightBlkt",225,"False","A"
"CW","Blanket Insurance Detail","CommercialPropertyBlanketRatingDetail","TotalLimit","TEXT","Limit","False","True","True","False","True","True","","","","Enter the desired Blanket Limit.","","","","","False","False","","BlanketLimitBuilding",250,"False","A"
"CW","Blanket Insurance Detail","CommercialPropertyBlanketRatingDetail","CauseOfLoss","SELECT","Cause of Loss","False","True","True","False","True","True","","","","","","","","","False","False","","CauseOfLossForBlanket",300,"False","A"
"CW","Blanket Insurance Detail","CommercialPropertyBlanketRatingDetail","EQCauseOfLossIncludedInBlkt","SELECT","Include EQ Cause of Loss","False","True","True","False","True","True","","","","","","","","","False","False","","EQCauseOfLossIncludedInBlkt",400,"False","A"
"CW","Blanket Insurance Detail","CommercialPropertyBlanketRatingDetail","RadioactiveContamination","SELECT","Radioactive Contamination","False","True","True","False","True","True","No","","","Does Radioactive Contamination apply to ALL items in the blanket?","","","","","False","False","","RadioactiveContaminationBlanket",450,"False","A"
"CW","Blanket Insurance Detail","CommercialPropertyBlanketRatingDetail","RadioactiveContaminationTypeOfCov","SELECT","Radioactive Contamination Type of Coverage","False","True","True","False","True","True","","","","","","","","","False","False","","RadioactiveContaminationTypeOfCovBlkt",475,"False","A"
