"StateCode","Name","ParentName","TableName","Type","AttachmentType","Comment","HidePremium","Condition","Number","MinOccurs","MaxOccurs","Variable","Scheduled","Sequence","Status"
"CW","Policy Detail","","CommercialProperty","Detail","","","False","","",0,1,"False","False",1000,"A"
"CW","Policy Changes","Policy Detail","CommercialPropertyPolicyChanges","Form","Optional","To recognize mid-term changes","True","","IL 12 01 11 85",0,1,"True","False",1100,"A"
"CW","Commercial Property Coverage Part Policy Changes","Policy Detail","CommercialPropertyCoveragePartPolicyChanges","Form","Optional","To recognize mid-term changes","True","","CP 12 01 11 85",0,1,"True","False",1150,"A"
"CW","Blanket Insurance","Policy Detail","CommercialPropertyBlanketRating","Form","Conditional","","True","","",0,0,"False","False",1200,"A"
"CW","Blanket Insurance Summary","Blanket Insurance","CommercialPropertyBlanketRatingDetail","Summary","","","False","","",1,99,"False","False",1201,"A"
"CW","Blanket Insurance Detail","Blanket Insurance Summary","CommercialPropertyBlanketRatingDetail","Detail","","","False","","",0,1,"False","False",1202,"A"
"CW","Calculation Of Premium","Policy Detail","CommercialPropertyCalculationOfPremium","Form","Mandatory","Policy Level","True","","IL 00 03 09 08",1,1,"False","False",1225,"A"
"CW","Higher Limits","Policy Detail","CommercialPropertyHigherLimits","Form","Conditional","Higher Limits - Policy","True","","CP 04 08 10 12",0,0,"True","True",1234,"A"
"CW","Cap On Losses From Certified Acts Of Terrorism","Policy Detail","CommercialPropertyCapOnLossesFromCertifiedActsOfTerrorism","Form","Conditional","Policy Level","True","","IL 09 52 01 15",0,0,"False","False",1250,"A"
"CW","Changes - Fungus, Wet Rot, Dry Rot And Bacteria","Policy Detail","CommercialPropertyChangesFungusWetRotDryRotBacteria","Coverage","Conditional","Policy Level","False","","CP 04 31 04 02",0,0,"True","True",1251,"A"
"CW","Exclusion Of Loss Due To Virus Or Bacteria","Policy Detail","CommercialPropertyExclusionOfLossDueToVirusOrBacteriaEndorsement","Form","Mandatory","","True","","CP 01 40 07 06",1,1,"False","False",1260,"A"
"CW","Changes","Policy Detail","CommercialPropertyChanges","Form","Mandatory","","True","","",1,1,"False","False",1275,"A"
"CW","Changes - Cancellation And Nonrenewal","Policy Detail","CommercialPropertyChangesCancellationAndNonrenewal","Form","Mandatory","","True","","",1,1,"False","False",1280,"A"
"CW","Common Policy Conditions","Policy Detail","CommercialPropertyCommonPolicyConditions","Form","Conditional","","True","","IL 00 17 11 98",0,0,"False","False",1300,"A"
"CW","Commercial Property Conditions","Policy Detail","CommercialPropertyCommercialPropertyConditions","Form","Conditional","Rule 14.  Can't be attached if Mortgageholders E & O is attached.","True","","CP 00 90 07 88",0,0,"False","False",1400,"A"
"CW","Disclosure Pursuant To Terrorism Risk Insurance Act","Policy Detail","CommercialPropertyZzDisclosurePursuantToTerrorismRiskInsAct2002","Coverage","Conditional","Policy Level","False","","IL 09 85 12 20",0,0,"True","True",1750,"A"
"CW","Earthquake And Volcanic Eruption Sub Limit Blanket Rating","Policy Detail","CommercialPropertyEQSubLimitBlanketRating","Form","Conditional","","True","","",0,0,"False","False",1800,"A"
"CW","Earthquake And Volcanic Eruption Sub Limit Blanket Rating Summary","Earthquake And Volcanic Eruption Sub Limit Blanket Rating","CommercialPropertyEQSubLimitBlanketRatingDetail","Summary","","","False","","",1,99,"False","False",1801,"A"
"CW","Earthquake And Volcanic Eruption Sub Limit Blanket Rating Detail","Earthquake And Volcanic Eruption Sub Limit Blanket Rating Summary","CommercialPropertyEQSubLimitBlanketRatingDetail","Detail","","","False","","",0,1,"False","False",1802,"A"
"CW","Electronic Commerce (E-Commerce)","Policy Detail","CommercialPropertyElectronicCommerce","Coverage","Optional","Policy Level","False","","CP 04 30 06 07",0,1,"True","True",1825,"A"
"CW","Exclusion Of Certain Computer-Related Losses","Policy Detail","CommercialPropertyExclusionOfCertainComputerRelatedLosses","Form","Mandatory","Policy Level","True","","IL 09 35 07 02",1,1,"False","False",1850,"A"
"CW","Flood Coverage Endorsement Blanket Rating","Policy Detail","CommercialPropertyFloodCovEndtBlanketRating","Coverage","Conditional","","False","","",0,0,"False","False",1900,"A"
"CW","Flood Coverage Endorsement Blanket Rating Summary","Flood Coverage Endorsement Blanket Rating","CommercialPropertyFloodCovEndtBlanketRatingDetail","Summary","","","False","","",1,99,"False","False",1901,"A"
"CW","Flood Coverage Endorsement Blanket Rating Detail","Flood Coverage Endorsement Blanket Rating Summary","CommercialPropertyFloodCovEndtBlanketRatingDetail","Detail","","","False","","",0,1,"False","False",1902,"A"
"CW","Individual Risk Premium Modification (IRPM)","Policy Detail","CommercialPropertyIRPM","Form","Conditional","","True","","",0,0,"False","False",2000,"A"
"CW","Exclusion Of Certified Acts Of Terrorism","Policy Detail","CommercialPropertyExclCertfdActsTerrsmCovFireLosses","Form","Conditional","","True","","IL 09 53 01 15",0,0,"True","True",2001,"A"
"CW","Mortgageholders Errors And Omissions Coverage Form","Policy Detail","CommercialPropertyMortgageholdersErrorsAndOmissionsCoverageForm","Coverage","Optional","","False","","CP 00 70 10 12",0,1,"False","False",3000,"A"
"CW","Peak Season Limit Of Insurance General Blanket Rating Information","Policy Detail","CommercialPropertyPeakSeasonGeneralInformation","Form","Optional","Policy Level","True","","",0,1,"False","False",3050,"A"
"CW","Peak Season Limit Of Insurance General Blanket Rating Information Summary","Peak Season Limit Of Insurance General Blanket Rating Information","CommercialPropertyPeakSeasonGeneralInformationDetail","Summary","","Policy Level","False","","",1,99,"False","False",3051,"A"
"CW","Peak Season Limit Of Insurance General Blanket Rating Information Detail","Peak Season Limit Of Insurance General Blanket Rating Information Summary","CommercialPropertyPeakSeasonGeneralInformationDetail","Detail","","Policy Level","False","","",0,1,"False","False",3052,"A"
"CW","Limitation Of Coverage For Certified Acts Of Terrorism (Sub-Limit On Annual Aggregate Basis)","Policy Detail","CommercialPropertyLimitationOfCoverageForCertifiedActsOfTerrorismSubLimitOnAnnualAggregateBasis","Form","Conditional","Policy Level","True","","IL 09 87 01 15",0,0,"True","True",3101,"A"
"CW","Exclusion Of Certified Acts Of Terrorism Involving Nuclear, Bio, Chem Or Radiological Terr; Cap On Covered Certified Acts Losses","Policy Detail","CommercialPropertyExclCertfdActsOfTerrsmInvolvingNuclearBiologicalChmclTerrsmCapOnCovdCertfdActsLosses","Form","Conditional","Policy Level","True","","IL 09 86 01 15",0,0,"True","True",3103,"A"
"CW","Resident Agent Countersignature Endorsement","Policy Detail","CommercialPropertyResidentAgentCountersignatureEndorsement","Form","Optional","","True","","IL 09 17 11 85",0,1,"True","False",4000,"A"
"CW","Additional Location - Special Coinsurance Provisions General Information","Policy Detail","CommercialPropertyAdditionalLocationsSpecialCoinsuranceGeneralInformation","Coverage","Optional","Policy Level, used with Additional Locations - Special Coinsurance Provisions","False","","",0,1,"False","False",4001,"A"
"CW","Value Reporting Form General Information","Policy Detail","CommercialPropertyValueReportingFormGeneralInformation","Coverage","Optional","Policy Level, used with Value Reporting Form","False","","",0,1,"False","False",4002,"A"
"CW","Standard Property Policy","Policy Detail","CommercialPropertyStandardPropertyPolicy","Form","Conditional","","True","","CP 00 99 10 12",0,0,"False","False",4500,"A"
"CW","Vacancy Changes","Policy Detail","CommercialPropertyVacancyChangesPolicy","Form","Optional","Policy level.  Can only be attached if CP 00 70 is attached.","True","","CP 04 60 10 12",0,1,"True","True",5001,"A"
"CW","Location","Policy Detail","CommercialPropertyLocation","Summary","","","False","","",0,99,"False","False",10000,"A"
"CW","Location Detail","Location","CommercialPropertyLocation","Detail","","","False","","",0,1,"False","False",10010,"A"
"CW","Flood Coverage General Information","Location Detail","CommercialPropertyFloodCovEndtLocation","Form","Conditional","Location Level","True","","",0,0,"False","False",10100,"A"
"CW","Pollutant Clean Up And Removal Additional Aggregate Limit Of Insurance","Location Detail","CommercialPropertyPollutantCleanUpAndRemovalAdditionalAggregateLimitOfInsuranceLocation","Coverage","Optional","Location Level","False","","CP 04 07 10 91",0,1,"True","True",10123,"A"
