"StateCode","Page","TableName","ColumnName","DomainTableName","RelatedField","RelatedXPath","Status"
"CW","Additional Location - Special Coinsurance Provisions General Information","CommercialPropertyAdditionalLocationsSpecialCoinsuranceGeneralInformation","CauseOfLoss","CauseOfLossDS04","","../../@PolicyType","A"
"CW","Blanket Insurance Detail","CommercialPropertyBlanketRatingDetail","Type","BlanketType","","../../../../@PolicyType","A"
"CW","Blanket Insurance Detail","CommercialPropertyBlanketRatingDetail","BlktWeight","BlktWeightBlkt","Type","","A"
"CW","Blanket Insurance Detail","CommercialPropertyBlanketRatingDetail","TotalLimit","BlanketLimitBuilding","Type","","A"
"CW","Blanket Insurance Detail","CommercialPropertyBlanketRatingDetail","CauseOfLoss","CauseOfLossForBlanket","","../../../../@PolicyType","A"
"CW","Blanket Insurance Detail","CommercialPropertyBlanketRatingDetail","EQCauseOfLossIncludedInBlkt","EQCauseOfLossIncludedInBlkt","CauseOfLoss","","A"
"CW","Blanket Insurance Detail","CommercialPropertyBlanketRatingDetail","RadioactiveContamination","RadioactiveContaminationBlanket","CauseOfLoss","","A"
"CW","Blanket Insurance Detail","CommercialPropertyBlanketRatingDetail","RadioactiveContaminationTypeOfCov","RadioactiveContaminationTypeOfCovBlkt","RadioactiveContamination","","A"
"CW","Blanket Insurance Detail","CommercialPropertyBlanketRatingDetail","Coinsurance","CoinsuranceForBlanket","EQCauseOfLossIncludedInBlkt","","A"
"CW","Blanket Insurance Detail","CommercialPropertyBlanketRatingDetail","Coinsurance","CoinsuranceForBlanket","CauseOfLoss","","A"
"CW","Blanket Insurance Detail","CommercialPropertyBlanketRatingDetail","Coinsurance","CoinsuranceForBlanket","Type","","A"
"CW","Blanket Insurance Detail","CommercialPropertyBlanketRatingDetail","AgreedVal","AgreedValueBlanket","Coinsurance","","A"
"CW","Blanket Insurance Detail","CommercialPropertyBlanketRatingDetail","AgreedVal","AgreedValueBlanket","","../../../../@PolicyType","A"
"CW","Blanket Insurance Detail","CommercialPropertyBlanketRatingDetail","AgreedVal","AgreedValueBlanket","Type","","A"
"CW","Blanket Insurance Detail","CommercialPropertyBlanketRatingDetail","TypeOfBlanketRating","TypeOfBlanketRating","Type","","A"
"CW","Blanket Insurance Detail","CommercialPropertyBlanketRatingDetail","InflationGuard","InflationGuardPctBlanket","","../../../../@PolicyType","A"
"CW","Blanket Insurance Detail","CommercialPropertyBlanketRatingDetail","InflationGuard","InflationGuardPctBlanket","Type","","A"
"CW","Blanket Insurance Detail","CommercialPropertyBlanketRatingDetail","PeakSeasonIndicator","PeakSeasonBlkt","Type","","A"
"CW","Blanket Insurance Detail","CommercialPropertyBlanketRatingDetail","PeakSeasonIndicator","PeakSeasonBlkt","Coinsurance","","A"
"CW","Changes - Fungus, Wet Rot, Dry Rot And Bacteria","CommercialPropertyChangesFungusWetRotDryRotBacteria","SubLimit","FungusWetRotDryRotBacteriaSublimitPolicy","","../../@FungusWetRotDryRotBacteriaCov","A"
"CW","Flood Coverage General Information","CommercialPropertyFloodCovEndtLocation","FloodZone","FloodZone","NFIPFloodZone","","A"
"CW","Flood Coverage General Information","CommercialPropertyFloodCovEndtLocation","CommunityRatingSystemCRSGrade","CommunityRatingSystemGrade","NFIPFloodZone","","A"
"CW","Additional Covered Property Detail","CommercialPropertyAdditionalCoveredPropertySpecialClassDetail","WatercraftExclBuybackConstrctnOption","WatercraftExclBuybackConstrctnOptionSpecialClass","Type","","A"
"CW","Flood Coverage Endorsement","CommercialPropertyFloodCoverageEndorsementSpecialClass","IncludedInBlkt","IncludedInBlkt","","../../../../../../@FloodCovEndtBlktIndicator","A"
"CW","Flood Coverage Endorsement","CommercialPropertyFloodCoverageEndorsementSpecialClass","BlanketIDNum","BlktIDNum","IncludedInBlkt","","A"
"CW","Limited Coverage For Unmanned Aircraft (Scheduled And/Or Blanket Coverage) Detail","CommercialPropertyLimitedCoverageForUnmannedAircraftScheduledAndOrBlanketCoverageSpecialClassDetail","EQDeductible","EarthquakeDeductible","","../../../../../../@EQCauseOfLossForm","A"
"CW","Limited Coverage For Unmanned Aircraft (Scheduled And/Or Blanket Coverage) Detail","CommercialPropertyLimitedCoverageForUnmannedAircraftScheduledAndOrBlanketCoverageSpecialClassDetail","EQDeductible","EarthquakeDeductible","","../../../../@EQClass","A"
"CW","Pier And Wharf Additional Covered Causes Of Loss","CommercialPropertyPierAndWharfAdditionalCoveredCausesOfLossSpecialClass","ConstructionOptionConverted","WatercraftExclBuybackConstrctnOptionsConverted","Construction","","A"
"CW","Radioactive Contamination","CommercialPropertyRadioactiveContaminationSpecialClass","TypeOfCov","RadioactiveContaminationTypeOfCov","","../../@BlktCauseOfLossValue","A"
"CW","Radioactive Contamination","CommercialPropertyRadioactiveContaminationSpecialClass","TypeOfCov","RadioactiveContaminationTypeOfCov","","../../@CauseOfLoss","A"
"CW","Radioactive Contamination","CommercialPropertyRadioactiveContaminationSpecialClass","Limit","LimitRadioactiveContaminationNonBldg","","../../@BlktRadioactiveContaminationValue","A"
"CW","Radioactive Contamination","CommercialPropertyRadioactiveContaminationSpecialClass","Limit","LimitRadioactiveContaminationNonBldg","","../../@IncludedInBlkt","A"
"CW","Business Income Changes - Educational Institutions","CommercialPropertyBusinessIncomeChangesEducationalInstitutionsSpclClassBusnIncome","NumOfMonths","ExtOfRecoveryNumOfMonths","ExtensionOfRecoveryPeriodOption","","A"
"CW","Business Income From Dependent Properties - Broad Form Detail","CommercialPropertyBusinessIncomeFromDependentPropertiesBroadFormSpclClassBusnIncomeDetail","ConstructionTypeToUse","ConstructionTypeToUse","ConstructionType","","A"
"CW","Business Income From Dependent Properties - Broad Form Detail","CommercialPropertyBusinessIncomeFromDependentPropertiesBroadFormSpclClassBusnIncomeDetail","ExtendedPeriodApply","ExtendedPeriodBusnIncomeFromDependentProp","","../../../../@ExtendedPeriod","A"
