"StateCode","AdditionalExpenseCoveragePercentage","Percentage"
"CW","1%",0.01
"CW","2%",0.02
"CW","3%",0.03
"CW","4%",0.04
"CW","5%",0.05
"CW","6%",0.06
"CW","7%",0.07
"CW","8%",0.08
"CW","9%",0.09
"CW","10%",0.1
"CW","11%",0.11
"CW","12%",0.12
"CW","13%",0.13
"CW","14%",0.14
"CW","15%",0.15
"CW","16%",0.16
"CW","17%",0.17
"CW","18%",0.18
"CW","19%",0.19
"CW","20%",0.2
"CW","21%",0.21
"CW","22%",0.22
"CW","23%",0.23
"CW","24%",0.24
"CW","25%",0.25
"CW","26%",0.26
"CW","27%",0.27
"CW","28%",0.28
"CW","29%",0.29
"CW","30%",0.3
"CW","31%",0.31
"CW","32%",0.32
"CW","33%",0.33
"CW","34%",0.34
"CW","35%",0.35
"CW","36%",0.36
"CW","37%",0.37
"CW","38%",0.38
"CW","39%",0.39
"CW","40%",0.4
"CW","41%",0.41
"CW","42%",0.42
"CW","43%",0.43
"CW","44%",0.44
"CW","45%",0.45
"CW","46%",0.46
"CW","47%",0.47
"CW","48%",0.48
"CW","49%",0.49
"CW","50%",0.5
"CW","51%",0.51
"CW","52%",0.52
"CW","53%",0.53
"CW","54%",0.54
"CW","55%",0.55
"CW","56%",0.56
"CW","57%",0.57
"CW","58%",0.58
"CW","59%",0.59
"CW","60%",0.6
"CW","61%",0.61
"CW","62%",0.62
"CW","63%",0.63
"CW","64%",0.64
"CW","65%",0.65
"CW","66%",0.66
"CW","67%",0.67
"CW","68%",0.68
"CW","69%",0.69
"CW","70%",0.7
"CW","71%",0.71
"CW","72%",0.72
"CW","73%",0.73
"CW","74%",0.74
"CW","75%",0.75
"CW","76%",0.76
"CW","77%",0.77
"CW","78%",0.78
"CW","79%",0.79
"CW","80%",0.8
"CW","81%",0.81
"CW","82%",0.82
"CW","83%",0.83
"CW","84%",0.84
"CW","85%",0.85
"CW","86%",0.86
"CW","87%",0.87
"CW","88%",0.88
"CW","89%",0.89
"CW","90%",0.9
"CW","91%",0.91
"CW","92%",0.92
"CW","93%",0.93
"CW","94%",0.94
"CW","95%",0.95
"CW","96%",0.96
"CW","97%",0.97
"CW","98%",0.98
"CW","99%",0.99
"CW","100%",1
