"StateCode","PeriodOfRestoration","Factor"
"CW","1st 30 day period of restoration",2.21
"CW","2nd 30 day period of restoration",1.57
"CW","3rd 30 day period of restoration",1.19
"CW","4th 30 day period of restoration",1.02
"CW","5th 30 day period of restoration",0.89
"CW","6th 30 day period of restoration",0.77
"CW","7th 30 day period of restoration",0.68
"CW","8th 30 day period of restoration",0.6
"CW","9th 30 day period of restoration",0.51
"CW","10th 30 day period of restoration",0.43
"CW","11th 30 day period of restoration",0.38
"CW","12th 30 day period of restoration",0.34
