"StateCode","AllOtherDeductible","Code"
"CW","No Coverage","01"
"CW","No Deductible","01"
"CW","Not Applicable","01"
"CW","50","02"
"CW","100","03"
"CW","250","04"
"CW","500","05"
"CW","750","06"
"CW","1,000","07"
"CW","2,500","08"
"CW","5,000","09"
"CW","10,000","10"
"CW","25,000","11"
"CW","50,000","12"
"CW","75,000","13"
"CW","100,000","14"
"CW","200,000","15"
"CW","250,000","16"
"CW","300,000","17"
"CW","400,000","18"
"CW","500,000","20"
"CW","750,000","22"
"CW","1,000,000","23"
"CW","Over 1,000,000","24"
