"StateCode","ConstructionTypeBldg","NumOfStoriesInBldg","Code"
"CW","Frame","1-3","11"
"CW","Frame","4","11"
"CW","Frame","5-7","11"
"CW","Frame","8","11"
"CW","Frame","9-20","11"
"CW","Frame","over 20","11"
"CW","Joisted Masonry - Reinforced","1-3","23"
"CW","Joisted Masonry - Reinforced","4","23"
"CW","Joisted Masonry - Reinforced","5-7","24"
"CW","Joisted Masonry - Reinforced","8","24"
"CW","Joisted Masonry - Reinforced","9-20","24"
"CW","Joisted Masonry - Reinforced","over 20","24"
"CW","Joisted Masonry - Reinforced - Superior Roofing","1-3","73"
"CW","Joisted Masonry - Reinforced - Superior Roofing","4","73"
"CW","Joisted Masonry - Reinforced - Superior Roofing","5-7","74"
"CW","Joisted Masonry - Reinforced - Superior Roofing","8","74"
"CW","Joisted Masonry - Reinforced - Superior Roofing","9-20","74"
"CW","Joisted Masonry - Reinforced - Superior Roofing","over 20","74"
"CW","Joisted Masonry - Other Than Reinforced","1-3","21"
"CW","Joisted Masonry - Other Than Reinforced","4","21"
"CW","Joisted Masonry - Other Than Reinforced","5-7","22"
"CW","Joisted Masonry - Other Than Reinforced","8","22"
"CW","Joisted Masonry - Other Than Reinforced","9-20","22"
"CW","Joisted Masonry - Other Than Reinforced","over 20","22"
"CW","Joisted Masonry - Other Than Reinforced - Superior Roofing","1-3","71"
"CW","Joisted Masonry - Other Than Reinforced - Superior Roofing","4","71"
"CW","Joisted Masonry - Other Than Reinforced - Superior Roofing","5-7","72"
"CW","Joisted Masonry - Other Than Reinforced - Superior Roofing","8","72"
"CW","Joisted Masonry - Other Than Reinforced - Superior Roofing","9-20","72"
"CW","Joisted Masonry - Other Than Reinforced - Superior Roofing","over 20","72"
"CW","Non-Combustible - Light Steel","1-3","31"
"CW","Non-Combustible - Light Steel","4","31"
"CW","Non-Combustible - Light Steel","5-7","32"
"CW","Non-Combustible - Light Steel","8","32"
"CW","Non-Combustible - Light Steel","9-20","32"
"CW","Non-Combustible - Light Steel","over 20","32"
"CW","Non-Combustible - Light Steel - Superior Roofing","1-3","81"
"CW","Non-Combustible - Light Steel - Superior Roofing","4","81"
"CW","Non-Combustible - Light Steel - Superior Roofing","5-7","82"
"CW","Non-Combustible - Light Steel - Superior Roofing","8","82"
