"StateCode","ConstructionTypeBldg","NumOfStoriesInBldg","Symbol"
"CW","Frame","1-3","B"
"CW","Frame","4","B"
"CW","Frame","5-7","B"
"CW","Frame","8","B"
"CW","Frame","9-20","B"
"CW","Frame","over 20","B"
"CW","Joisted Masonry - Other Than Reinforced","1-3","B"
"CW","Joisted Masonry - Other Than Reinforced","4","B"
"CW","Joisted Masonry - Other Than Reinforced","5-7","AB"
"CW","Joisted Masonry - Other Than Reinforced","8","AB"
"CW","Joisted Masonry - Other Than Reinforced","9-20","AB"
"CW","Joisted Masonry - Other Than Reinforced","over 20","AB"
"CW","Joisted Masonry - Other Than Reinforced - Superior Roofing","1-3","AB"
"CW","Joisted Masonry - Other Than Reinforced - Superior Roofing","4","AB"
"CW","Joisted Masonry - Other Than Reinforced - Superior Roofing","5-7","AB"
"CW","Joisted Masonry - Other Than Reinforced - Superior Roofing","8","AB"
"CW","Joisted Masonry - Other Than Reinforced - Superior Roofing","9-20","AB"
"CW","Joisted Masonry - Other Than Reinforced - Superior Roofing","over 20","AB"
"CW","Joisted Masonry - Reinforced","1-3","AB"
"CW","Joisted Masonry - Reinforced","4","AB"
"CW","Joisted Masonry - Reinforced","5-7","AB"
"CW","Joisted Masonry - Reinforced","8","AB"
"CW","Joisted Masonry - Reinforced","9-20","AB"
"CW","Joisted Masonry - Reinforced","over 20","AB"
"CW","Joisted Masonry - Reinforced - Superior Roofing","1-3","AB"
"CW","Joisted Masonry - Reinforced - Superior Roofing","4","AB"
"CW","Joisted Masonry - Reinforced - Superior Roofing","5-7","AB"
"CW","Joisted Masonry - Reinforced - Superior Roofing","8","AB"
"CW","Joisted Masonry - Reinforced - Superior Roofing","9-20","AB"
"CW","Joisted Masonry - Reinforced - Superior Roofing","over 20","AB"
"CW","Non-Combustible - Light Steel","1-3","B"
"CW","Non-Combustible - Light Steel","4","B"
"CW","Non-Combustible - Light Steel","5-7","AB"
"CW","Non-Combustible - Light Steel","8","AB"
"CW","Non-Combustible - Light Steel","9-20","AB"
"CW","Non-Combustible - Light Steel","over 20","AB"
"CW","Non-Combustible - Light Steel - Superior Roofing","1-3","AB"
"CW","Non-Combustible - Light Steel - Superior Roofing","4","AB"
"CW","Non-Combustible - Light Steel - Superior Roofing","5-7","AB"
"CW","Non-Combustible - Light Steel - Superior Roofing","8","AB"
"CW","Non-Combustible - Light Steel - Superior Roofing","9-20","AB"
"CW","Non-Combustible - Light Steel - Superior Roofing","over 20","AB"
"CW","Non-Combustible - Other Than Light Steel","1-3","AB"
"CW","Non-Combustible - Other Than Light Steel","4","AB"
"CW","Non-Combustible - Other Than Light Steel","5-7","AB"
"CW","Non-Combustible - Other Than Light Steel","8","AB"
