"StateCode","ClassificationCode","ConstructionCode","Symbol"
"CW","OpenSides",1,"B"
"CW","OpenSides",2,"B"
"CW","OpenSides",3,"B"
"CW","OpenSides",4,"AB"
"CW","OpenSides",5,"A"
"CW","OpenSides",6,"A"
"CW","0580",1,"B"
"CW","0580",2,"B"
"CW","0580",3,"B"
"CW","0580",4,"N/A"
"CW","0580",5,"N/A"
"CW","0580",6,"N/A"
"CW","1150",1,"B"
"CW","1150",2,"B"
"CW","1150",3,"B"
"CW","1150",4,"AB"
"CW","1150",5,"A"
"CW","1150",6,"A"
"CW","1300",1,"B"
"CW","1300",2,"B"
"CW","1300",3,"B"
"CW","1300",4,"N/A"
"CW","1300",5,"N/A"
"CW","1300",6,"N/A"
"CW","1650",1,"B"
"CW","1650",2,"B"
"CW","1650",3,"B"
"CW","1650",4,"N/A"
"CW","1650",5,"N/A"
"CW","1650",6,"N/A"
