"StateCode","SpecialClassDescConvertedOption","ProtectionClassToUse","Rate"
"CW","Option1","1 to 4",0.044
"CW","Option1","5 to 8",0.044
"CW","Option1","9 to 10",0.044
"CW","Option2","1 to 4",0.26
"CW","Option2","5 to 8",0.34
"CW","Option2","9 to 10",0.421
"CW","Option3","1 to 4",0.502
"CW","Option3","5 to 8",0.664
"CW","Option3","9 to 10",0.826
"CW","Option4","1 to 4",0.286
"CW","Option4","5 to 8",0.368
"CW","Option4","9 to 10",0.448
"CW","Option5","1 to 4",0.055
"CW","Option5","5 to 8",0.055
"CW","Option5","9 to 10",0.055
"CW","Option6","1 to 4",0.556
"CW","Option6","5 to 8",0.556
"CW","Option6","9 to 10",0.556
"CW","Option7","1 to 4",0.286
"CW","Option7","5 to 8",0.286
"CW","Option7","9 to 10",0.286
"CW","Option8","1 to 4",1.636
"CW","Option8","5 to 8",2.176
"CW","Option8","9 to 10",2.716
"CW","Option9","1 to 4",0.167
"CW","Option9","5 to 8",0.189
"CW","Option9","9 to 10",0.205
"CW","Option10","1 to 4",0.055
"CW","Option10","5 to 8",0.055
"CW","Option10","9 to 10",0.055
"CW","Option11","1 to 4",0.502
"CW","Option11","5 to 8",0.664
"CW","Option11","9 to 10",0.826
"CW","Option12","1 to 4",0.513
"CW","Option12","5 to 8",0.513
"CW","Option12","9 to 10",0.513
"CW","Option13","1 to 4",1.188
"CW","Option13","5 to 8",1.188
"CW","Option13","9 to 10",1.188
"CW","Option14","1 to 4",0.502
"CW","Option14","5 to 8",0.664
"CW","Option14","9 to 10",0.826
"CW","Option15","1 to 4",0.502
"CW","Option15","5 to 8",0.664
"CW","Option15","9 to 10",0.826
"CW","Option16","1 to 4",0.049
"CW","Option16","5 to 8",0.049
"CW","Option16","9 to 10",0.049
"CW","Option17","1 to 4",0.152
"CW","Option17","5 to 8",0.152
"CW","Option17","9 to 10",0.152
"CW","Option18","1 to 4",0.448
"CW","Option18","5 to 8",0.502
"CW","Option18","9 to 10",0.556
"CW","Option19","1 to 4",0.124
"CW","Option19","5 to 8",0.124
"CW","Option19","9 to 10",0.124
"CW","Option20","1 to 4",0.286
"CW","Option20","5 to 8",0.286
"CW","Option20","9 to 10",0.286
"CW","Option21","1 to 4",0.502
"CW","Option21","5 to 8",0.664
"CW","Option21","9 to 10",0.826
"CW","Option22","1 to 4",1.096
"CW","Option22","5 to 8",1.232
"CW","Option22","9 to 10",1.367
"CW","Option23","1 to 4",0.124
"CW","Option23","5 to 8",0.124
"CW","Option23","9 to 10",0.152
"CW","Option24","1 to 4",0.07
"CW","Option24","5 to 8",0.07
"CW","Option24","9 to 10",0.07
"CW","Option25","1 to 4",0.044
"CW","Option25","5 to 8",0.044
"CW","Option25","9 to 10",0.044
"CW","Option26","1 to 4",0.152
"CW","Option26","5 to 8",0.152
"CW","Option26","9 to 10",0.152
"CW","Option27","1 to 4",0.502
"CW","Option27","5 to 8",0.502
"CW","Option27","9 to 10",0.826
"CW","Option28","1 to 4",0.07
"CW","Option28","5 to 8",0.07
"CW","Option28","9 to 10",0.07
"CW","Option29","1 to 4",0.152
"CW","Option29","5 to 8",0.152
"CW","Option29","9 to 10",0.152
"CW","Option30","1 to 4",0.055
"CW","Option30","5 to 8",0.055
"CW","Option30","9 to 10",0.055
"CW","Option31","1 to 4",0.34
"CW","Option31","5 to 8",0.448
"CW","Option31","9 to 10",0.556
"CW","Option32","1 to 4",0.664
"CW","Option32","5 to 8",0.88
"CW","Option32","9 to 10",1.096
"CW","Option33","1 to 4",5.417
"CW","Option33","5 to 8",5.417
"CW","Option33","9 to 10",5.417
