"StateCode","BldgCodeEffectivenessGradeClass","BldgCodeEffectivenessGrade","Code"
"CW","Building Individually Inspected and Certified as Best Grade 1","1","11"
"CW","Building Individually Inspected and Certified as Best Grade 1","2","12"
"CW","Building Individually Inspected and Certified as Best Grade 1","3","13"
"CW","Building Individually Inspected and Certified as Best Grade 1","4","14"
"CW","Building Individually Inspected and Certified as Best Grade 1","5","15"
"CW","Building Individually Inspected and Certified as Best Grade 1","6","16"
"CW","Building Individually Inspected and Certified as Best Grade 1","7","17"
"CW","Building Individually Inspected and Certified as Best Grade 1","8","18"
"CW","Building Individually Inspected and Certified as Best Grade 1","9","19"
"CW","Building Individually Inspected and Certified as Best Grade 1","10","20"
"CW","Graded-Building Constructed Before Year of Community Grading","Not Eligible","99"
"CW","Graded-Building Constructed During or After Year of Community Grading","1","1"
"CW","Graded-Building Constructed During or After Year of Community Grading","2","2"
"CW","Graded-Building Constructed During or After Year of Community Grading","3","3"
"CW","Graded-Building Constructed During or After Year of Community Grading","4","4"
"CW","Graded-Building Constructed During or After Year of Community Grading","5","5"
"CW","Graded-Building Constructed During or After Year of Community Grading","6","6"
"CW","Graded-Building Constructed During or After Year of Community Grading","7","7"
"CW","Graded-Building Constructed During or After Year of Community Grading","8","8"
"CW","Graded-Building Constructed During or After Year of Community Grading","9","9"
"CW","Graded-Building Constructed During or After Year of Community Grading","10","10"
"CW","Not Graded","Ungraded","99"
