"StateCode","Limit_From","Limit_ToLessThan","Factor_From","Factor_ToLessThan",
"CW",0,50000,1.453,1.453
"CW",50000,75000,1.453,1.322
"CW",75000,100000,1.322,1.237
"CW",100000,125000,1.237,1.174
"CW",125000,150000,1.174,1.126
"CW",150000,175000,1.126,1.086
"CW",175000,200000,1.086,1.053
"CW",200000,225000,1.053,1.025
"CW",225000,250000,1.025,1
"CW",250000,275000,1,0.978
"CW",275000,300000,0.978,0.959
"CW",300000,325000,0.959,0.941
"CW",325000,350000,0.941,0.925
"CW",350000,375000,0.925,0.91
"CW",375000,400000,0.91,0.897
"CW",400000,425000,0.897,0.884
"CW",425000,450000,0.884,0.873
"CW",450000,475000,0.873,0.862
"CW",475000,500000,0.862,0.851
"CW",500000,550000,0.851,0.833
"CW",550000,600000,0.833,0.816
"CW",600000,650000,0.816,0.801
"CW",650000,700000,0.801,0.788
"CW",700000,750000,0.788,0.775
"CW",750000,800000,0.775,0.763
"CW",800000,850000,0.763,0.753
"CW",850000,900000,0.753,0.743
"CW",900000,950000,0.743,0.734
"CW",950000,1000000,0.734,0.725
"CW",1000000,1250000,0.725,0.688
"CW",1250000,1500000,0.688,0.66
"CW",1500000,1750000,0.66,0.637
"CW",1750000,2000000,0.637,0.617
"CW",2000000,2250000,0.617,0.601
"CW",2250000,2500000,0.601,0.586
"CW",2500000,2750000,0.586,0.573
"CW",2750000,3000000,0.573,0.562
"CW",3000000,3250000,0.562,0.552
"CW",3250000,3500000,0.552,0.542
"CW",3500000,3750000,0.542,0.534
"CW",3750000,4000000,0.534,0.526
"CW",4000000,4250000,0.526,0.518
"CW",4250000,4500000,0.518,0.511
"CW",4500000,4750000,0.511,0.505
"CW",4750000,5000000,0.505,0.499
"CW",5000000,5500000,0.499,0.488
"CW",5500000,6000000,0.488,0.478
"CW",6000000,6500000,0.478,0.47
"CW",6500000,7000000,0.47,0.462
"CW",7000000,7500000,0.462,0.454
"CW",7500000,8000000,0.454,0.448
"CW",8000000,8500000,0.448,0.441
"CW",8500000,9000000,0.441,0.435
"CW",9000000,9500000,0.435,0.43
"CW",9500000,10000000,0.43,0.425
"CW",10000000,999999999,0.425,0.425
"CW",999999999,2147483647,0.425,0.425
