"StateCode","ConstructionTypeBldg","Value"
"CW","Frame","Frame"
"CW","Joisted Masonry - Reinforced","Joisted Masonry"
"CW","Joisted Masonry - Reinforced - Superior Roofing","Joisted Masonry"
"CW","Joisted Masonry - Other Than Reinforced","Joisted Masonry"
"CW","Joisted Masonry - Other Than Reinforced - Superior Roofing","Joisted Masonry"
"CW","Non-Combustible - Light Steel","Non-Combustible"
"CW","Non-Combustible - Light Steel - Superior Roofing","Non-Combustible"
"CW","Non-Combustible - Other Than Light Steel","Non-Combustible"
"CW","Non-Combustible - Other Than Light Steel - Superior Roofing","Non-Combustible"
"CW","Masonry Non-Combustible - Reinforced - Light Steel","Masonry Non-Combustible"
"CW","Masonry Non-Combustible - Reinforced - Light Steel - Superior Roofing","Masonry Non-Combustible"
"CW","Masonry Non-Combustible - Other Than Reinforced - Light Steel","Masonry Non-Combustible"
"CW","Masonry Non-Combustible - Other Than Reinforced - Light Steel - Superior Roofing","Masonry Non-Combustible"
"CW","Masonry Non-Combustible - Reinforced - Other Than Light Steel","Masonry Non-Combustible"
"CW","Masonry Non-Combustible - Reinforced - Other Than Light Steel - Superior Roofing","Masonry Non-Combustible"
"CW","Masonry Non-Combustible - Other Than Reinforced - Other Than Light Steel","Masonry Non-Combustible"
"CW","Masonry Non-Combustible - OT Reinforced - OT Light Steel - Superior Roofing","Masonry Non-Combustible"
"CW","Modified Fire Resistive - Reinforced Masonry - Light Steel","Modified Fire Resistive"
"CW","Modified Fire Resistive - Other Than Reinforced Masonry - Light Steel","Modified Fire Resistive"
"CW","Modified Fire Resistive - Reinforced Masonry - Other Than Light Steel","Modified Fire Resistive"
"CW","Modified Fire Resistive - Other Than Reinforced Masonry - Other Than Light Steel","Modified Fire Resistive"
"CW","Fire Resistive - Reinforced Masonry - Light Steel","Fire Resistive"
"CW","Fire Resistive - Other Than Reinforced Masonry - Light Steel","Fire Resistive"
"CW","Fire Resistive - Reinforced Masonry - Other Than Light Steel","Fire Resistive"
"CW","Fire Resistive - Other Than Reinforced Masonry - Other Than Light Steel","Fire Resistive"
