"StateCode","Deductible","Limit_FromGreaterThan","Limit_To","CauseOfLossDeductible","Factor"
"CW","500",-2147483648,50000,"Basic Group I",1
"CW","500",50000,100000,"Basic Group I",1
"CW","500",100000,250000,"Basic Group I",1
"CW","500",250000,500000,"Basic Group I",1
"CW","500",500000,1000000,"Basic Group I",1
"CW","500",1000000,3500000,"Basic Group I",1
"CW","500",3500000,5000000,"Basic Group I",1
"CW","500",5000000,5500000,"Basic Group I",1
"CW","500",5500000,10000000,"Basic Group I",1
"CW","500",10000000,999999999,"Basic Group I",1
"CW","500",-2147483648,50000,"Basic Group II",1
"CW","500",50000,100000,"Basic Group II",1
"CW","500",100000,250000,"Basic Group II",1
"CW","500",250000,500000,"Basic Group II",1
"CW","500",500000,1000000,"Basic Group II",1
"CW","500",1000000,3500000,"Basic Group II",1
"CW","500",3500000,5000000,"Basic Group II",1
"CW","500",5000000,5500000,"Basic Group II",1
"CW","500",5500000,10000000,"Basic Group II",1
"CW","500",10000000,999999999,"Basic Group II",1
"CW","500",-2147483648,50000,"Other Cause Of Loss",1
"CW","500",50000,100000,"Other Cause Of Loss",1
"CW","500",100000,250000,"Other Cause Of Loss",1
"CW","500",250000,500000,"Other Cause Of Loss",1
"CW","500",500000,1000000,"Other Cause Of Loss",1
"CW","500",1000000,3500000,"Other Cause Of Loss",1
"CW","500",3500000,5000000,"Other Cause Of Loss",1
"CW","500",5000000,5500000,"Other Cause Of Loss",1
"CW","500",5500000,10000000,"Other Cause Of Loss",1
"CW","500",10000000,999999999,"Other Cause Of Loss",1
"CW","1,000",-2147483648,50000,"Basic Group I",0.94
"CW","1,000",50000,100000,"Basic Group I",0.96
"CW","1,000",100000,250000,"Basic Group I",0.97
"CW","1,000",250000,500000,"Basic Group I",0.99
"CW","1,000",500000,1000000,"Basic Group I",0.99
"CW","1,000",1000000,3500000,"Basic Group I",0.99
"CW","1,000",3500000,5000000,"Basic Group I",0.99
"CW","1,000",5000000,5500000,"Basic Group I",0.99
"CW","1,000",5500000,10000000,"Basic Group I",0.99
"CW","1,000",10000000,999999999,"Basic Group I",0.99
"CW","1,000",-2147483648,50000,"Basic Group II",0.89
"CW","1,000",50000,100000,"Basic Group II",0.92
"CW","1,000",100000,250000,"Basic Group II",0.93
"CW","1,000",250000,500000,"Basic Group II",0.96
"CW","1,000",500000,1000000,"Basic Group II",0.96
"CW","1,000",1000000,3500000,"Basic Group II",0.96
"CW","1,000",3500000,5000000,"Basic Group II",0.96
"CW","1,000",5000000,5500000,"Basic Group II",0.96
"CW","1,000",5500000,10000000,"Basic Group II",0.96
"CW","1,000",10000000,999999999,"Basic Group II",0.96
"CW","1,000",-2147483648,50000,"Other Cause Of Loss",0.89
"CW","1,000",50000,100000,"Other Cause Of Loss",0.92
"CW","1,000",100000,250000,"Other Cause Of Loss",0.93
"CW","1,000",250000,500000,"Other Cause Of Loss",0.96
"CW","1,000",500000,1000000,"Other Cause Of Loss",0.96
"CW","1,000",1000000,3500000,"Other Cause Of Loss",0.96
"CW","1,000",3500000,5000000,"Other Cause Of Loss",0.96
"CW","1,000",5000000,5500000,"Other Cause Of Loss",0.96
"CW","1,000",5500000,10000000,"Other Cause Of Loss",0.96
"CW","1,000",10000000,999999999,"Other Cause Of Loss",0.96
"CW","2,500",-2147483648,50000,"Basic Group I",0.84
"CW","2,500",50000,100000,"Basic Group I",0.84
"CW","2,500",100000,250000,"Basic Group I",0.9
"CW","2,500",250000,500000,"Basic Group I",0.93
"CW","2,500",500000,1000000,"Basic Group I",0.96
"CW","2,500",1000000,3500000,"Basic Group I",0.96
"CW","2,500",3500000,5000000,"Basic Group I",0.96
"CW","2,500",5000000,5500000,"Basic Group I",0.96
"CW","2,500",5500000,10000000,"Basic Group I",0.96
"CW","2,500",10000000,999999999,"Basic Group I",0.96
