"StateCode","EQDeductibleTier","EQClass","EQDeductible","TotalPropertyValue_From","TotalPropertyValue_ToLessThan","Factor"
"CW",1,"1C","500",0,50001,1.093
"CW",1,"1C","500",50001,100001,1.158
"CW",1,"1C","500",100001,250001,1.187
"CW",1,"1C","500",250001,2147483647,1.228
"CW",1,"1C","1,000",0,50001,1.027
"CW",1,"1C","1,000",50001,100001,1.122
"CW",1,"1C","1,000",100001,250001,1.165
"CW",1,"1C","1,000",250001,2147483647,1.227
"CW",1,"1C","2,500",0,100001,1
"CW",1,"1C","2,500",100001,250001,1.117
"CW",1,"1C","2,500",250001,500001,1.158
"CW",1,"1C","2,500",500001,2147483647,1.226
"CW",1,"1C","5,000",0,100001,1.027
"CW",1,"1C","5,000",100001,250001,1.122
"CW",1,"1C","5,000",250001,500001,1.158
"CW",1,"1C","5,000",500001,2147483647,1.225
"CW",1,"1C","10,000",0,250001,0.934
"CW",1,"1C","10,000",250001,500001,1.068
"CW",1,"1C","10,000",500001,1000001,1.122
"CW",1,"1C","10,000",1000001,5000001,1.183
"CW",1,"1C","10,000",5000001,2147483647,1.223
"CW",1,"1C","25,000",0,500001,0.897
"CW",1,"1C","25,000",500001,1000001,1.046
"CW",1,"1C","25,000",1000001,5000001,1.148
"CW",1,"1C","25,000",5000001,10000001,1.183
"CW",1,"1C","25,000",10000001,2147483647,1.22
"CW",1,"1C","50,000",0,1000001,0.896
"CW",1,"1C","50,000",1000001,3500001,1.084
"CW",1,"1C","50,000",3500001,5500001,1.133
"CW",1,"1C","50,000",5500001,10000001,1.16
"CW",1,"1C","50,000",10000001,2147483647,1.215
"CW",1,"1C","75,000",0,1000001,0.82
"CW",1,"1C","75,000",1000001,3500001,1.046
"CW",1,"1C","75,000",3500001,5500001,1.107
"CW",1,"1C","75,000",5500001,10000001,1.141
"CW",1,"1C","75,000",10000001,2147483647,1.211
"CW",1,"1C","100,000",0,1000001,0.756
"CW",1,"1C","100,000",1000001,3500001,1.014
"CW",1,"1C","100,000",3500001,5500001,1.084
"CW",1,"1C","100,000",5500001,10000001,1.124
"CW",1,"1C","100,000",10000001,2147483647,1.207
"CW",1,"1C","250,000",0,1000001,0.486
"CW",1,"1C","250,000",1000001,3500001,0.878
"CW",1,"1C","250,000",3500001,5500001,0.986
"CW",1,"1C","250,000",5500001,10000001,1.05
"CW",1,"1C","250,000",10000001,2147483647,1.19
"CW",1,"1C","500,000",0,1000001,0.362
"CW",1,"1C","500,000",1000001,3500001,0.731
"CW",1,"1C","500,000",3500001,5500001,0.878
"CW",1,"1C","500,000",5500001,10000001,0.966
"CW",1,"1C","500,000",10000001,2147483647,1.17
"CW",1,"1C","750,000",0,1000001,0.299
"CW",1,"1C","750,000",1000001,3500001,0.621
"CW",1,"1C","750,000",3500001,5500001,0.797
"CW",1,"1C","750,000",5500001,10000001,0.902
"CW",1,"1C","750,000",10000001,2147483647,1.153
"CW",1,"1C","1,000,000",0,1000001,0
"CW",1,"1C","1,000,000",1000001,3500001,0.529
"CW",1,"1C","1,000,000",3500001,5500001,0.731
"CW",1,"1C","1,000,000",5500001,10000001,0.85
"CW",1,"1C","1,000,000",10000001,2147483647,1.139
"CW",1,"1D","500",0,50001,1.093
"CW",1,"1D","500",50001,100001,1.158
"CW",1,"1D","500",100001,250001,1.187
"CW",1,"1D","500",250001,2147483647,1.228
"CW",1,"1D","1,000",0,50001,1.027
"CW",1,"1D","1,000",50001,100001,1.122
"CW",1,"1D","1,000",100001,250001,1.165
"CW",1,"1D","1,000",250001,2147483647,1.227
"CW",1,"1D","2,500",0,100001,1
"CW",1,"1D","2,500",100001,250001,1.117
"CW",1,"1D","2,500",250001,500001,1.158
"CW",1,"1D","2,500",500001,2147483647,1.226
"CW",1,"1D","5,000",0,100001,1.027
"CW",1,"1D","5,000",100001,250001,1.122
"CW",1,"1D","5,000",250001,500001,1.158
"CW",1,"1D","5,000",500001,2147483647,1.225
"CW",1,"1D","10,000",0,250001,0.934
"CW",1,"1D","10,000",250001,500001,1.068
"CW",1,"1D","10,000",500001,1000001,1.122
"CW",1,"1D","10,000",1000001,5000001,1.183
"CW",1,"1D","10,000",5000001,2147483647,1.223
"CW",1,"1D","25,000",0,500001,0.897
"CW",1,"1D","25,000",500001,1000001,1.046
"CW",1,"1D","25,000",1000001,5000001,1.148
"CW",1,"1D","25,000",5000001,10000001,1.183
"CW",1,"1D","25,000",10000001,2147483647,1.22
"CW",1,"1D","50,000",0,1000001,0.896
"CW",1,"1D","50,000",1000001,3500001,1.084
"CW",1,"1D","50,000",3500001,5500001,1.133
"CW",1,"1D","50,000",5500001,10000001,1.16
"CW",1,"1D","50,000",10000001,2147483647,1.215
"CW",1,"1D","75,000",0,1000001,0.82
"CW",1,"1D","75,000",1000001,3500001,1.046
"CW",1,"1D","75,000",3500001,5500001,1.107
"CW",1,"1D","75,000",5500001,10000001,1.141
"CW",1,"1D","75,000",10000001,2147483647,1.211
"CW",1,"1D","100,000",0,1000001,0.756
"CW",1,"1D","100,000",1000001,3500001,1.014
"CW",1,"1D","100,000",3500001,5500001,1.084
"CW",1,"1D","100,000",5500001,10000001,1.124
"CW",1,"1D","100,000",10000001,2147483647,1.207
"CW",1,"1D","250,000",0,1000001,0.486
"CW",1,"1D","250,000",1000001,3500001,0.878
"CW",1,"1D","250,000",3500001,5500001,0.986
"CW",1,"1D","250,000",5500001,10000001,1.05
"CW",1,"1D","250,000",10000001,2147483647,1.19
"CW",1,"1D","500,000",0,1000001,0.362
"CW",1,"1D","500,000",1000001,3500001,0.731
"CW",1,"1D","500,000",3500001,5500001,0.878
"CW",1,"1D","500,000",5500001,10000001,0.966
"CW",1,"1D","500,000",10000001,2147483647,1.17
"CW",1,"1D","750,000",0,1000001,0.299
"CW",1,"1D","750,000",1000001,3500001,0.621
"CW",1,"1D","750,000",3500001,5500001,0.797
"CW",1,"1D","750,000",5500001,10000001,0.902
"CW",1,"1D","750,000",10000001,2147483647,1.153
"CW",1,"1D","1,000,000",0,1000001,0
"CW",1,"1D","1,000,000",1000001,3500001,0.529
"CW",1,"1D","1,000,000",3500001,5500001,0.731
"CW",1,"1D","1,000,000",5500001,10000001,0.85
"CW",1,"1D","1,000,000",10000001,2147483647,1.139
"CW",1,"2A","500",0,50001,1.107
"CW",1,"2A","500",50001,100001,1.183
"CW",1,"2A","500",100001,250001,1.216
"CW",1,"2A","500",250001,2147483647,1.262
"CW",1,"2A","1,000",0,50001,1.031
"CW",1,"2A","1,000",50001,100001,1.14
"CW",1,"2A","1,000",100001,250001,1.19
"CW",1,"2A","1,000",250001,2147483647,1.261
"CW",1,"2A","2,500",0,100001,1
"CW",1,"2A","2,500",100001,250001,1.135
"CW",1,"2A","2,500",250001,500001,1.183
"CW",1,"2A","2,500",500001,2147483647,1.26
"CW",1,"2A","5,000",0,100001,1.031
"CW",1,"2A","5,000",100001,250001,1.14
"CW",1,"2A","5,000",250001,500001,1.183
"CW",1,"2A","5,000",500001,2147483647,1.259
"CW",1,"2A","10,000",0,250001,0.924
